"","gene","abundance","mice","day","background","pool"
"1","PBANKA_010720",9.24371801975035,"m1",7,"P_BL6","PbSTM155_PbSTM158"
"2","PBANKA_140160",0.0570348401394909,"m1",7,"P_BL6","PbSTM155_PbSTM158"
"3","PBANKA_010780",0.00896261773620572,"m1",7,"P_BL6","PbSTM155_PbSTM158"
"4","PBANKA_133690",0.964296190072679,"m1",7,"P_BL6","PbSTM155_PbSTM158"
"5","PBANKA_103780",1.50857152168953,"m1",7,"P_BL6","PbSTM155_PbSTM158"
"6","PBANKA_101610",1.57334680441939,"m1",7,"P_BL6","PbSTM155_PbSTM158"
"7","PBANKA_041850",7.17579767297852,"m1",7,"P_BL6","PbSTM155_PbSTM158"
"8","PBANKA_083610",0.00407391715282078,"m1",7,"P_BL6","PbSTM155_PbSTM158"
"9","PBANKA_041190",1.14273376136623,"m1",7,"P_BL6","PbSTM155_PbSTM158"
"10","PBANKA_104030",0.280692891829352,"m1",7,"P_BL6","PbSTM155_PbSTM158"
"11","PBANKA_020760",0.380911253788743,"m1",7,"P_BL6","PbSTM155_PbSTM158"
"12","PBANKA_051500",1.79700485610925,"m1",7,"P_BL6","PbSTM155_PbSTM158"
"13","PBANKA_132420",0.298618127301763,"m1",7,"P_BL6","PbSTM155_PbSTM158"
"14","PBANKA_110420",NA,"m1",7,"P_BL6","PbSTM155_PbSTM158"
"15","PBANKA_112510",0.608643222631425,"m1",7,"P_BL6","PbSTM155_PbSTM158"
"16","PBANKA_041065",1.17939901574162,"m1",7,"P_BL6","PbSTM155_PbSTM158"
"17","PBANKA_051700",1.66786168236483,"m1",7,"P_BL6","PbSTM155_PbSTM158"
"18","PBANKA_140060",NA,"m1",7,"P_BL6","PbSTM155_PbSTM158"
"19","PBANKA_120070",0.00774044259035948,"m1",7,"P_BL6","PbSTM155_PbSTM158"
"20","PBANKA_062350",0.0122217514584623,"m1",7,"P_BL6","PbSTM155_PbSTM158"
"21","PBANKA_094130",0.0109995763126161,"m1",7,"P_BL6","PbSTM155_PbSTM158"
"22","PBANKA_120790",0.451797412247825,"m1",7,"P_BL6","PbSTM155_PbSTM158"
"23","PBANKA_083660",2.1844343773425,"m1",7,"P_BL6","PbSTM155_PbSTM158"
"24","PBANKA_070120",0.4705374311508,"m1",7,"P_BL6","PbSTM155_PbSTM158"
"25","PBANKA_061580",0.0073330508750774,"m1",7,"P_BL6","PbSTM155_PbSTM158"
"26","PBANKA_083210",0.334061206531304,"m1",7,"P_BL6","PbSTM155_PbSTM158"
"27","PBANKA_102390",0.469315256004954,"m1",7,"P_BL6","PbSTM155_PbSTM158"
"28","PBANKA_120520",5.75196362806766,"m1",7,"P_BL6","PbSTM155_PbSTM158"
"29","PBANKA_143540",0.0281100283544634,"m1",7,"P_BL6","PbSTM155_PbSTM158"
"30","PBANKA_093830",0.0301469869308738,"m1",7,"P_BL6","PbSTM155_PbSTM158"
"31","PBANKA_091510",0.713750285174201,"m1",7,"P_BL6","PbSTM155_PbSTM158"
"32","PBANKA_052320",0.152364501515497,"m1",7,"P_BL6","PbSTM155_PbSTM158"
"33","PBANKA_051810",0.927630935697292,"m1",7,"P_BL6","PbSTM155_PbSTM158"
"34","PBANKA_100860",0.112440113417854,"m1",7,"P_BL6","PbSTM155_PbSTM158"
"35","PBANKA_051080",0.00814783430564156,"m1",7,"P_BL6","PbSTM155_PbSTM158"
"36","PBANKA_090270",5.85870025747156,"m1",7,"P_BL6","PbSTM155_PbSTM158"
"37","PBANKA_092770",0.167845386696216,"m1",7,"P_BL6","PbSTM155_PbSTM158"
"38","PBANKA_100120",1.83733663592217,"m1",7,"P_BL6","PbSTM155_PbSTM158"
"39","PBANKA_111210",0.590310595443731,"m1",7,"P_BL6","PbSTM155_PbSTM158"
"40","PBANKA_111760",2.40198155330313,"m1",7,"P_BL6","PbSTM155_PbSTM158"
"41","PBANKA_110130",0.0309617703614379,"m1",7,"P_BL6","PbSTM155_PbSTM158"
"42","PBANKA_134910",0.000407391715282078,"m1",7,"P_BL6","PbSTM155_PbSTM158"
"43","PBANKA_133870",0.00651826744451325,"m1",7,"P_BL6","PbSTM155_PbSTM158"
"44","PBANKA_031000",0.296581168725353,"m1",7,"P_BL6","PbSTM155_PbSTM158"
"45","PBANKA_103440",0.0138513183195907,"m1",7,"P_BL6","PbSTM155_PbSTM158"
"46","PBANKA_100060",0.117328814001238,"m1",7,"P_BL6","PbSTM155_PbSTM158"
"47","PBANKA_060880",0.655493269888864,"m1",7,"P_BL6","PbSTM155_PbSTM158"
"48","PBANKA_135130",NA,"m1",7,"P_BL6","PbSTM155_PbSTM158"
"49","PBANKA_131150",3.44123781898771,"m1",7,"P_BL6","PbSTM155_PbSTM158"
"50","PBANKA_052480",0.0684418081673891,"m1",7,"P_BL6","PbSTM155_PbSTM158"
"51","PBANKA_050120",1.51671935599518,"m1",7,"P_BL6","PbSTM155_PbSTM158"
"52","PBANKA_062320",0.0342209040836946,"m1",7,"P_BL6","PbSTM155_PbSTM158"
"53","PBANKA_100760",0.393947788677769,"m1",7,"P_BL6","PbSTM155_PbSTM158"
"54","PBANKA_133500",0.450575237101978,"m1",7,"P_BL6","PbSTM155_PbSTM158"
"55","PBANKA_140040",0.77445165075123,"m1",7,"P_BL6","PbSTM155_PbSTM158"
"56","PBANKA_110100",2.02107029951439,"m1",7,"P_BL6","PbSTM155_PbSTM158"
"57","PBANKA_021550",3.23998631163837,"m1",7,"P_BL6","PbSTM155_PbSTM158"
"58","PBANKA_021460",0.110403154841443,"m1",7,"P_BL6","PbSTM155_PbSTM158"
"59","PBANKA_110090",0.961851839780986,"m1",7,"P_BL6","PbSTM155_PbSTM158"
"60","PBANKA_110430",0.461982205129876,"m1",7,"P_BL6","PbSTM155_PbSTM158"
"61","PBANKA_132070",0.0338135123684125,"m1",7,"P_BL6","PbSTM155_PbSTM158"
"62","PBANKA_050060",3.72315288596291,"m1",7,"P_BL6","PbSTM155_PbSTM158"
"63","PBANKA_124380",0.914594400808265,"m1",7,"P_BL6","PbSTM155_PbSTM158"
"64","PBANKA_070440",1.5322002411759,"m1",7,"P_BL6","PbSTM155_PbSTM158"
"65","PBANKA_071420",0.0277026366391813,"m1",7,"P_BL6","PbSTM155_PbSTM158"
"66","PBANKA_114590",0.555274907929472,"m1",7,"P_BL6","PbSTM155_PbSTM158"
"67","PBANKA_051900",0.363393410031614,"m1",7,"P_BL6","PbSTM155_PbSTM158"
"68","PBANKA_132380",1.81085617442884,"m1",7,"P_BL6","PbSTM155_PbSTM158"
"69","PBANKA_100850",0.0839226933481081,"m1",7,"P_BL6","PbSTM155_PbSTM158"
"70","PBANKA_041540",2.70915490662582,"m1",7,"P_BL6","PbSTM155_PbSTM158"
"71","PBANKA_133090",0.946778346315549,"m1",7,"P_BL6","PbSTM155_PbSTM158"
"72","PBANKA_123820",0.0073330508750774,"m1",7,"P_BL6","PbSTM155_PbSTM158"
"73","PBANKA_144790",0.447723495095004,"m1",7,"P_BL6","PbSTM155_PbSTM158"
"74","PBANKA_122090",0.298618127301763,"m1",7,"P_BL6","PbSTM155_PbSTM158"
"75","PBANKA_104020",0.303099436169866,"m1",7,"P_BL6","PbSTM155_PbSTM158"
"76","PBANKA_052430",0.00651826744451325,"m1",7,"P_BL6","PbSTM155_PbSTM158"
"77","PBANKA_120060",2.58612260861063,"m1",7,"P_BL6","PbSTM155_PbSTM158"
"78","PBANKA_031660",0.0321839455072842,"m1",7,"P_BL6","PbSTM155_PbSTM158"
"79","PBANKA_100010",3.07377049180328,"m1",7,"P_BL6","PbSTM155_PbSTM158"
"80","PBANKA_132960",0.0073330508750774,"m1",7,"P_BL6","PbSTM155_PbSTM158"
"81","PBANKA_110140",0.402095622983411,"m1",7,"P_BL6","PbSTM155_PbSTM158"
"82","PBANKA_083680",1.74445132483786,"m1",7,"P_BL6","PbSTM155_PbSTM158"
"83","PBANKA_051490",0.730453345500766,"m1",7,"P_BL6","PbSTM155_PbSTM158"
"84","PBANKA_133270",NA,"m1",7,"P_BL6","PbSTM155_PbSTM158"
"85","PBANKA_133490",1.33746700127106,"m1",7,"P_BL6","PbSTM155_PbSTM158"
"86","PBANKA_102910",1.98277547827787,"m1",7,"P_BL6","PbSTM155_PbSTM158"
"87","PBANKA_030060",0.0114069680278982,"m1",7,"P_BL6","PbSTM155_PbSTM158"
"88","PBANKA_082530",1.11543851644233,"m1",7,"P_BL6","PbSTM155_PbSTM158"
"89","PBANKA_120710",0.716194635465893,"m1",7,"P_BL6","PbSTM155_PbSTM158"
"90","PBANKA_135800",0.399243880976436,"m1",7,"P_BL6","PbSTM155_PbSTM158"
"91","PBANKA_010220",0.567496659387935,"m1",7,"P_BL6","PbSTM155_PbSTM158"
"92","PBANKA_140330",0.0598865821464655,"m1",7,"P_BL6","PbSTM155_PbSTM158"
"93","PBANKA_133810",1.58923508131539,"m1",7,"P_BL6","PbSTM155_PbSTM158"
"94","PBANKA_080040",0.310025095329661,"m1",7,"P_BL6","PbSTM155_PbSTM158"
"95","PBANKA_070070",0.745119447250921,"m1",7,"P_BL6","PbSTM155_PbSTM158"
"96","PBANKA_124660",1.32361568295147,"m1",7,"P_BL6","PbSTM155_PbSTM158"
"97","PBANKA_113870",0.184548447022781,"m1",7,"P_BL6","PbSTM155_PbSTM158"
"98","PBANKA_050100",0.266026790079197,"m1",7,"P_BL6","PbSTM155_PbSTM158"
"99","PBANKA_140070",0.231805885995502,"m1",7,"P_BL6","PbSTM155_PbSTM158"
"100","PBANKA_082420",1.80230094840791,"m1",7,"P_BL6","PbSTM155_PbSTM158"
"101","PBANKA_010720",9.4305417905517,"m1",8,"P_BL6","PbSTM155_PbSTM158"
"102","PBANKA_140160",0.025189957053188,"m1",8,"P_BL6","PbSTM155_PbSTM158"
"103","PBANKA_010780",0.000825900231252065,"m1",8,"P_BL6","PbSTM155_PbSTM158"
"104","PBANKA_133690",1.06954079947142,"m1",8,"P_BL6","PbSTM155_PbSTM158"
"105","PBANKA_103780",1.70383217707301,"m1",8,"P_BL6","PbSTM155_PbSTM158"
"106","PBANKA_101610",1.41352824578791,"m1",8,"P_BL6","PbSTM155_PbSTM158"
"107","PBANKA_041850",6.86942517343905,"m1",8,"P_BL6","PbSTM155_PbSTM158"
"108","PBANKA_083610",0.00660720185001652,"m1",8,"P_BL6","PbSTM155_PbSTM158"
"109","PBANKA_041190",1.12281136438718,"m1",8,"P_BL6","PbSTM155_PbSTM158"
"110","PBANKA_104030",0.243227618103733,"m1",8,"P_BL6","PbSTM155_PbSTM158"
"111","PBANKA_020760",0.41005946481665,"m1",8,"P_BL6","PbSTM155_PbSTM158"
"112","PBANKA_051500",1.74554013875124,"m1",8,"P_BL6","PbSTM155_PbSTM158"
"113","PBANKA_132420",0.216798810703667,"m1",8,"P_BL6","PbSTM155_PbSTM158"
"114","PBANKA_110420",NA,"m1",8,"P_BL6","PbSTM155_PbSTM158"
"115","PBANKA_112510",0.499256689791873,"m1",8,"P_BL6","PbSTM155_PbSTM158"
"116","PBANKA_041065",1.20003303600925,"m1",8,"P_BL6","PbSTM155_PbSTM158"
"117","PBANKA_051700",1.68029402048233,"m1",8,"P_BL6","PbSTM155_PbSTM158"
"118","PBANKA_140060",NA,"m1",8,"P_BL6","PbSTM155_PbSTM158"
"119","PBANKA_120070",0.00619425173439049,"m1",8,"P_BL6","PbSTM155_PbSTM158"
"120","PBANKA_062350",0.0119755533531549,"m1",8,"P_BL6","PbSTM155_PbSTM158"
"121","PBANKA_094130",0.0181698050875454,"m1",8,"P_BL6","PbSTM155_PbSTM158"
"122","PBANKA_120790",0.543442352163859,"m1",8,"P_BL6","PbSTM155_PbSTM158"
"123","PBANKA_083660",1.98876775685497,"m1",8,"P_BL6","PbSTM155_PbSTM158"
"124","PBANKA_070120",0.580607862570202,"m1",8,"P_BL6","PbSTM155_PbSTM158"
"125","PBANKA_061580",NA,"m1",8,"P_BL6","PbSTM155_PbSTM158"
"126","PBANKA_083210",0.330360092500826,"m1",8,"P_BL6","PbSTM155_PbSTM158"
"127","PBANKA_102390",0.465807730426165,"m1",8,"P_BL6","PbSTM155_PbSTM158"
"128","PBANKA_120520",6.67286091840106,"m1",8,"P_BL6","PbSTM155_PbSTM158"
"129","PBANKA_143540",0.0181698050875454,"m1",8,"P_BL6","PbSTM155_PbSTM158"
"130","PBANKA_093830",0.0177568549719194,"m1",8,"P_BL6","PbSTM155_PbSTM158"
"131","PBANKA_091510",0.68384539147671,"m1",8,"P_BL6","PbSTM155_PbSTM158"
"132","PBANKA_052320",0.174677898909812,"m1",8,"P_BL6","PbSTM155_PbSTM158"
"133","PBANKA_051810",1.06252064750578,"m1",8,"P_BL6","PbSTM155_PbSTM158"
"134","PBANKA_100860",0.100346878097126,"m1",8,"P_BL6","PbSTM155_PbSTM158"
"135","PBANKA_051080",0.0222993062438057,"m1",8,"P_BL6","PbSTM155_PbSTM158"
"136","PBANKA_090270",6.09596960687149,"m1",8,"P_BL6","PbSTM155_PbSTM158"
"137","PBANKA_092770",0.237033366369343,"m1",8,"P_BL6","PbSTM155_PbSTM158"
"138","PBANKA_100120",2.25718533201189,"m1",8,"P_BL6","PbSTM155_PbSTM158"
"139","PBANKA_111210",0.552527254707631,"m1",8,"P_BL6","PbSTM155_PbSTM158"
"140","PBANKA_111760",2.60819293029402,"m1",8,"P_BL6","PbSTM155_PbSTM158"
"141","PBANKA_110130",0.0202345556656756,"m1",8,"P_BL6","PbSTM155_PbSTM158"
"142","PBANKA_134910",0.000825900231252065,"m1",8,"P_BL6","PbSTM155_PbSTM158"
"143","PBANKA_133870",0.00578130161876445,"m1",8,"P_BL6","PbSTM155_PbSTM158"
"144","PBANKA_031000",0.383630657416584,"m1",8,"P_BL6","PbSTM155_PbSTM158"
"145","PBANKA_103440",0.0317971589032045,"m1",8,"P_BL6","PbSTM155_PbSTM158"
"146","PBANKA_100060",0.103237528906508,"m1",8,"P_BL6","PbSTM155_PbSTM158"
"147","PBANKA_060880",0.614469772051536,"m1",8,"P_BL6","PbSTM155_PbSTM158"
"148","PBANKA_135130",NA,"m1",8,"P_BL6","PbSTM155_PbSTM158"
"149","PBANKA_131150",3.05170135447638,"m1",8,"P_BL6","PbSTM155_PbSTM158"
"150","PBANKA_052480",0.124297984803436,"m1",8,"P_BL6","PbSTM155_PbSTM158"
"151","PBANKA_050120",1.51841757515692,"m1",8,"P_BL6","PbSTM155_PbSTM158"
"152","PBANKA_062320",0.0289065080938223,"m1",8,"P_BL6","PbSTM155_PbSTM158"
"153","PBANKA_100760",0.526511397423191,"m1",8,"P_BL6","PbSTM155_PbSTM158"
"154","PBANKA_133500",0.453006276841757,"m1",8,"P_BL6","PbSTM155_PbSTM158"
"155","PBANKA_140040",0.574000660720185,"m1",8,"P_BL6","PbSTM155_PbSTM158"
"156","PBANKA_110100",2.14032044928973,"m1",8,"P_BL6","PbSTM155_PbSTM158"
"157","PBANKA_021550",2.73827221671622,"m1",8,"P_BL6","PbSTM155_PbSTM158"
"158","PBANKA_021460",0.111083581103403,"m1",8,"P_BL6","PbSTM155_PbSTM158"
"159","PBANKA_110090",0.846547737033366,"m1",8,"P_BL6","PbSTM155_PbSTM158"
"160","PBANKA_110430",0.455483977535514,"m1",8,"P_BL6","PbSTM155_PbSTM158"
"161","PBANKA_132070",0.0222993062438057,"m1",8,"P_BL6","PbSTM155_PbSTM158"
"162","PBANKA_050060",3.62115956392468,"m1",8,"P_BL6","PbSTM155_PbSTM158"
"163","PBANKA_124380",0.751982160555005,"m1",8,"P_BL6","PbSTM155_PbSTM158"
"164","PBANKA_070440",1.53452262966634,"m1",8,"P_BL6","PbSTM155_PbSTM158"
"165","PBANKA_071420",0.0243640568219359,"m1",8,"P_BL6","PbSTM155_PbSTM158"
"166","PBANKA_114590",0.611579121242154,"m1",8,"P_BL6","PbSTM155_PbSTM158"
"167","PBANKA_051900",0.356788899900892,"m1",8,"P_BL6","PbSTM155_PbSTM158"
"168","PBANKA_132380",2.05277502477701,"m1",8,"P_BL6","PbSTM155_PbSTM158"
"169","PBANKA_100850",0.0776346217376941,"m1",8,"P_BL6","PbSTM155_PbSTM158"
"170","PBANKA_041540",2.64411959035349,"m1",8,"P_BL6","PbSTM155_PbSTM158"
"171","PBANKA_133090",0.929137760158573,"m1",8,"P_BL6","PbSTM155_PbSTM158"
"172","PBANKA_123820",0.00578130161876445,"m1",8,"P_BL6","PbSTM155_PbSTM158"
"173","PBANKA_144790",0.435662371985464,"m1",8,"P_BL6","PbSTM155_PbSTM158"
"174","PBANKA_122090",0.191608853650479,"m1",8,"P_BL6","PbSTM155_PbSTM158"
"175","PBANKA_104020",0.30186653452263,"m1",8,"P_BL6","PbSTM155_PbSTM158"
"176","PBANKA_052430",0.00660720185001652,"m1",8,"P_BL6","PbSTM155_PbSTM158"
"177","PBANKA_120060",2.23529897588371,"m1",8,"P_BL6","PbSTM155_PbSTM158"
"178","PBANKA_031660",0.0272547076313181,"m1",8,"P_BL6","PbSTM155_PbSTM158"
"179","PBANKA_100010",3.30071027419888,"m1",8,"P_BL6","PbSTM155_PbSTM158"
"180","PBANKA_132960",0.00908490254377271,"m1",8,"P_BL6","PbSTM155_PbSTM158"
"181","PBANKA_110140",0.333250743310208,"m1",8,"P_BL6","PbSTM155_PbSTM158"
"182","PBANKA_083680",1.85992732077965,"m1",8,"P_BL6","PbSTM155_PbSTM158"
"183","PBANKA_051490",0.830855632639577,"m1",8,"P_BL6","PbSTM155_PbSTM158"
"184","PBANKA_133270",NA,"m1",8,"P_BL6","PbSTM155_PbSTM158"
"185","PBANKA_133490",1.37594978526594,"m1",8,"P_BL6","PbSTM155_PbSTM158"
"186","PBANKA_102910",1.99578790882061,"m1",8,"P_BL6","PbSTM155_PbSTM158"
"187","PBANKA_030060",0.0309712586719524,"m1",8,"P_BL6","PbSTM155_PbSTM158"
"188","PBANKA_082530",0.981169474727453,"m1",8,"P_BL6","PbSTM155_PbSTM158"
"189","PBANKA_120710",0.796993723158242,"m1",8,"P_BL6","PbSTM155_PbSTM158"
"190","PBANKA_135800",0.235381565906838,"m1",8,"P_BL6","PbSTM155_PbSTM158"
"191","PBANKA_010220",0.211017509084903,"m1",8,"P_BL6","PbSTM155_PbSTM158"
"192","PBANKA_140330",0.0685497191939214,"m1",8,"P_BL6","PbSTM155_PbSTM158"
"193","PBANKA_133810",1.65551701354476,"m1",8,"P_BL6","PbSTM155_PbSTM158"
"194","PBANKA_080040",0.183349851337958,"m1",8,"P_BL6","PbSTM155_PbSTM158"
"195","PBANKA_070070",0.503799141063759,"m1",8,"P_BL6","PbSTM155_PbSTM158"
