"","gene","abundance","mice","day","background","pool"
"1","PBANKA_010720",9.72675194754719,"m1",7,"P_RAG1KO","PbSTM155_PbSTM158"
"2","PBANKA_140160",0.0506953715125809,"m1",7,"P_RAG1KO","PbSTM155_PbSTM158"
"3","PBANKA_010780",NA,"m1",7,"P_RAG1KO","PbSTM155_PbSTM158"
"4","PBANKA_133690",0.950031262145766,"m1",7,"P_RAG1KO","PbSTM155_PbSTM158"
"5","PBANKA_103780",1.51038410193149,"m1",7,"P_RAG1KO","PbSTM155_PbSTM158"
"6","PBANKA_101610",1.36235361711476,"m1",7,"P_RAG1KO","PbSTM155_PbSTM158"
"7","PBANKA_041850",6.12535275529344,"m1",7,"P_RAG1KO","PbSTM155_PbSTM158"
"8","PBANKA_083610",0.00304172229075485,"m1",7,"P_RAG1KO","PbSTM155_PbSTM158"
"9","PBANKA_041190",1.2454162934924,"m1",7,"P_RAG1KO","PbSTM155_PbSTM158"
"10","PBANKA_104030",0.333237575409365,"m1",7,"P_RAG1KO","PbSTM155_PbSTM158"
"11","PBANKA_020760",0.56609831522382,"m1",7,"P_RAG1KO","PbSTM155_PbSTM158"
"12","PBANKA_051500",1.85984419622488,"m1",7,"P_RAG1KO","PbSTM155_PbSTM158"
"13","PBANKA_132420",0.204133362623992,"m1",7,"P_RAG1KO","PbSTM155_PbSTM158"
"14","PBANKA_110420",NA,"m1",7,"P_RAG1KO","PbSTM155_PbSTM158"
"15","PBANKA_112510",0.553593456917383,"m1",7,"P_RAG1KO","PbSTM155_PbSTM158"
"16","PBANKA_041065",1.05209794345776,"m1",7,"P_RAG1KO","PbSTM155_PbSTM158"
"17","PBANKA_051700",1.12408537100563,"m1",7,"P_RAG1KO","PbSTM155_PbSTM158"
"18","PBANKA_120070",0.00912516687226456,"m1",7,"P_RAG1KO","PbSTM155_PbSTM158"
"19","PBANKA_062350",0.0294033154772969,"m1",7,"P_RAG1KO","PbSTM155_PbSTM158"
"20","PBANKA_094130",0.0270375314733765,"m1",7,"P_RAG1KO","PbSTM155_PbSTM158"
"21","PBANKA_120790",0.580968957534177,"m1",7,"P_RAG1KO","PbSTM155_PbSTM158"
"22","PBANKA_083660",2.18936411105666,"m1",7,"P_RAG1KO","PbSTM155_PbSTM158"
"23","PBANKA_141030",NA,"m1",7,"P_RAG1KO","PbSTM155_PbSTM158"
"24","PBANKA_070120",0.366358551464251,"m1",7,"P_RAG1KO","PbSTM155_PbSTM158"
"25","PBANKA_061580",NA,"m1",7,"P_RAG1KO","PbSTM155_PbSTM158"
"26","PBANKA_083210",0.32783006911469,"m1",7,"P_RAG1KO","PbSTM155_PbSTM158"
"27","PBANKA_102390",0.463017726481572,"m1",7,"P_RAG1KO","PbSTM155_PbSTM158"
"28","PBANKA_120520",5.89147810804874,"m1",7,"P_RAG1KO","PbSTM155_PbSTM158"
"29","PBANKA_143540",0.0145326731669399,"m1",7,"P_RAG1KO","PbSTM155_PbSTM158"
"30","PBANKA_093830",NA,"m1",7,"P_RAG1KO","PbSTM155_PbSTM158"
"31","PBANKA_091510",0.817209388782804,"m1",7,"P_RAG1KO","PbSTM155_PbSTM158"
"32","PBANKA_052320",0.217314159217263,"m1",7,"P_RAG1KO","PbSTM155_PbSTM158"
"33","PBANKA_051810",0.882099464318908,"m1",7,"P_RAG1KO","PbSTM155_PbSTM158"
"34","PBANKA_100860",0.199401794616152,"m1",7,"P_RAG1KO","PbSTM155_PbSTM158"
"35","PBANKA_051080",0.0128428274498538,"m1",7,"P_RAG1KO","PbSTM155_PbSTM158"
"36","PBANKA_090270",5.90465890464201,"m1",7,"P_RAG1KO","PbSTM155_PbSTM158"
"37","PBANKA_092770",0.193656319178059,"m1",7,"P_RAG1KO","PbSTM155_PbSTM158"
"38","PBANKA_100120",2.32488973756696,"m1",7,"P_RAG1KO","PbSTM155_PbSTM158"
"39","PBANKA_111210",0.699596126873616,"m1",7,"P_RAG1KO","PbSTM155_PbSTM158"
"40","PBANKA_111760",2.67705358500769,"m1",7,"P_RAG1KO","PbSTM155_PbSTM158"
"41","PBANKA_110130",0.011490950876185,"m1",7,"P_RAG1KO","PbSTM155_PbSTM158"
"42","PBANKA_134910",0.000675938286834412,"m1",7,"P_RAG1KO","PbSTM155_PbSTM158"
"43","PBANKA_133870",0.00405562972100647,"m1",7,"P_RAG1KO","PbSTM155_PbSTM158"
"44","PBANKA_031000",0.31566317995167,"m1",7,"P_RAG1KO","PbSTM155_PbSTM158"
"45","PBANKA_103440",0.0280514389036281,"m1",7,"P_RAG1KO","PbSTM155_PbSTM158"
"46","PBANKA_100060",0.161211281410007,"m1",7,"P_RAG1KO","PbSTM155_PbSTM158"
"47","PBANKA_060880",0.581306926677594,"m1",7,"P_RAG1KO","PbSTM155_PbSTM158"
"48","PBANKA_135130",0.000675938286834412,"m1",7,"P_RAG1KO","PbSTM155_PbSTM158"
"49","PBANKA_131150",3.15392804636937,"m1",7,"P_RAG1KO","PbSTM155_PbSTM158"
"50","PBANKA_052480",0.0888858847187252,"m1",7,"P_RAG1KO","PbSTM155_PbSTM158"
"51","PBANKA_050120",1.41304898862734,"m1",7,"P_RAG1KO","PbSTM155_PbSTM158"
"52","PBANKA_062320",0.0128428274498538,"m1",7,"P_RAG1KO","PbSTM155_PbSTM158"
"53","PBANKA_100760",0.392720144650793,"m1",7,"P_RAG1KO","PbSTM155_PbSTM158"
"54","PBANKA_133500",0.491407134528618,"m1",7,"P_RAG1KO","PbSTM155_PbSTM158"
"55","PBANKA_140040",0.499180424827213,"m1",7,"P_RAG1KO","PbSTM155_PbSTM158"
"56","PBANKA_110100",2.32522770671038,"m1",7,"P_RAG1KO","PbSTM155_PbSTM158"
"57","PBANKA_021550",2.92579887456275,"m1",7,"P_RAG1KO","PbSTM155_PbSTM158"
"58","PBANKA_021460",0.101728712168579,"m1",7,"P_RAG1KO","PbSTM155_PbSTM158"
"59","PBANKA_061310",0.0057454754380925,"m1",7,"P_RAG1KO","PbSTM155_PbSTM158"
"60","PBANKA_110090",0.763472294979468,"m1",7,"P_RAG1KO","PbSTM155_PbSTM158"
"61","PBANKA_110430",0.391368268077125,"m1",7,"P_RAG1KO","PbSTM155_PbSTM158"
"62","PBANKA_132070",0.0290653463338797,"m1",7,"P_RAG1KO","PbSTM155_PbSTM158"
"63","PBANKA_050060",3.34995014955135,"m1",7,"P_RAG1KO","PbSTM155_PbSTM158"
"64","PBANKA_124380",1.08961251837707,"m1",7,"P_RAG1KO","PbSTM155_PbSTM158"
"65","PBANKA_070440",1.97711948899065,"m1",7,"P_RAG1KO","PbSTM155_PbSTM158"
"66","PBANKA_071420",0.0287273771904625,"m1",7,"P_RAG1KO","PbSTM155_PbSTM158"
"67","PBANKA_114590",0.717846460618146,"m1",7,"P_RAG1KO","PbSTM155_PbSTM158"
"68","PBANKA_051900",0.404211095526978,"m1",7,"P_RAG1KO","PbSTM155_PbSTM158"
"69","PBANKA_132380",2.20862835223144,"m1",7,"P_RAG1KO","PbSTM155_PbSTM158"
"70","PBANKA_100850",0.0932794835831489,"m1",7,"P_RAG1KO","PbSTM155_PbSTM158"
"71","PBANKA_041540",3.01062912956047,"m1",7,"P_RAG1KO","PbSTM155_PbSTM158"
"72","PBANKA_133090",0.951721107862852,"m1",7,"P_RAG1KO","PbSTM155_PbSTM158"
"73","PBANKA_123820",0.0192642411747807,"m1",7,"P_RAG1KO","PbSTM155_PbSTM158"
"74","PBANKA_144790",0.383257008635112,"m1",7,"P_RAG1KO","PbSTM155_PbSTM158"
"75","PBANKA_122090",0.244013721547223,"m1",7,"P_RAG1KO","PbSTM155_PbSTM158"
"76","PBANKA_104020",0.295047062203221,"m1",7,"P_RAG1KO","PbSTM155_PbSTM158"
"77","PBANKA_052430",0.00405562972100647,"m1",7,"P_RAG1KO","PbSTM155_PbSTM158"
"78","PBANKA_120060",2.38606215252547,"m1",7,"P_RAG1KO","PbSTM155_PbSTM158"
"79","PBANKA_031660",0.021292056035284,"m1",7,"P_RAG1KO","PbSTM155_PbSTM158"
"80","PBANKA_100010",3.02245804958007,"m1",7,"P_RAG1KO","PbSTM155_PbSTM158"
"81","PBANKA_132960",0.0348108217719722,"m1",7,"P_RAG1KO","PbSTM155_PbSTM158"
"82","PBANKA_110140",0.948003447285263,"m1",7,"P_RAG1KO","PbSTM155_PbSTM158"
"83","PBANKA_083680",1.72702232286192,"m1",7,"P_RAG1KO","PbSTM155_PbSTM158"
"84","PBANKA_051490",0.888858847187252,"m1",7,"P_RAG1KO","PbSTM155_PbSTM158"
"85","PBANKA_133270",0.00236578400392044,"m1",7,"P_RAG1KO","PbSTM155_PbSTM158"
"86","PBANKA_133490",1.46847592814776,"m1",7,"P_RAG1KO","PbSTM155_PbSTM158"
"87","PBANKA_102910",2.06228771313179,"m1",7,"P_RAG1KO","PbSTM155_PbSTM158"
"88","PBANKA_030060",0.0135187657366882,"m1",7,"P_RAG1KO","PbSTM155_PbSTM158"
"89","PBANKA_082530",0.934484681548575,"m1",7,"P_RAG1KO","PbSTM155_PbSTM158"
"90","PBANKA_120710",1.05547763489193,"m1",7,"P_RAG1KO","PbSTM155_PbSTM158"
"91","PBANKA_135800",0.34472852628555,"m1",7,"P_RAG1KO","PbSTM155_PbSTM158"
"92","PBANKA_010220",0.432600503574024,"m1",7,"P_RAG1KO","PbSTM155_PbSTM158"
"93","PBANKA_140330",0.134511719080048,"m1",7,"P_RAG1KO","PbSTM155_PbSTM158"
"94","PBANKA_133810",1.73175389086976,"m1",7,"P_RAG1KO","PbSTM155_PbSTM158"
"95","PBANKA_080040",0.1983878871859,"m1",7,"P_RAG1KO","PbSTM155_PbSTM158"
"96","PBANKA_070070",0.370414181185258,"m1",7,"P_RAG1KO","PbSTM155_PbSTM158"
"97","PBANKA_124660",1.11597411156361,"m1",7,"P_RAG1KO","PbSTM155_PbSTM158"
"98","PBANKA_113870",0.142285009378644,"m1",7,"P_RAG1KO","PbSTM155_PbSTM158"
"99","PBANKA_050100",0.286259864474374,"m1",7,"P_RAG1KO","PbSTM155_PbSTM158"
"100","PBANKA_140070",0.0969971441607381,"m1",7,"P_RAG1KO","PbSTM155_PbSTM158"
"101","PBANKA_082420",1.61109890666982,"m1",7,"P_RAG1KO","PbSTM155_PbSTM158"
"102","PBANKA_010720",10.3243480907769,"m1",8,"P_RAG1KO","PbSTM155_PbSTM158"
"103","PBANKA_140160",0.01894003449792,"m1",8,"P_RAG1KO","PbSTM155_PbSTM158"
"104","PBANKA_010780",0.00236750431224,"m1",8,"P_RAG1KO","PbSTM155_PbSTM158"
"105","PBANKA_133690",0.917577028443873,"m1",8,"P_RAG1KO","PbSTM155_PbSTM158"
"106","PBANKA_103780",1.46176480535732,"m1",8,"P_RAG1KO","PbSTM155_PbSTM158"
"107","PBANKA_101610",1.47427875672202,"m1",8,"P_RAG1KO","PbSTM155_PbSTM158"
"108","PBANKA_041850",6.12371901105963,"m1",8,"P_RAG1KO","PbSTM155_PbSTM158"
"109","PBANKA_083610",0.00879358744546285,"m1",8,"P_RAG1KO","PbSTM155_PbSTM158"
"110","PBANKA_041190",1.11306524165455,"m1",8,"P_RAG1KO","PbSTM155_PbSTM158"
"111","PBANKA_104030",0.247573308079954,"m1",8,"P_RAG1KO","PbSTM155_PbSTM158"
"112","PBANKA_020760",0.572259613758582,"m1",8,"P_RAG1KO","PbSTM155_PbSTM158"
"113","PBANKA_051500",1.76615821693104,"m1",8,"P_RAG1KO","PbSTM155_PbSTM158"
"114","PBANKA_132420",0.212737173199851,"m1",8,"P_RAG1KO","PbSTM155_PbSTM158"
"115","PBANKA_110420",0.000676429803497142,"m1",8,"P_RAG1KO","PbSTM155_PbSTM158"
"116","PBANKA_112510",0.543173132208205,"m1",8,"P_RAG1KO","PbSTM155_PbSTM158"
"117","PBANKA_041065",1.13843135928569,"m1",8,"P_RAG1KO","PbSTM155_PbSTM158"
"118","PBANKA_051700",0.815774343017553,"m1",8,"P_RAG1KO","PbSTM155_PbSTM158"
"119","PBANKA_120070",0.00845537254371428,"m1",8,"P_RAG1KO","PbSTM155_PbSTM158"
"120","PBANKA_062350",0.0290864815503771,"m1",8,"P_RAG1KO","PbSTM155_PbSTM158"
"121","PBANKA_094130",0.0145432407751886,"m1",8,"P_RAG1KO","PbSTM155_PbSTM158"
"122","PBANKA_120790",0.648696181553759,"m1",8,"P_RAG1KO","PbSTM155_PbSTM158"
"123","PBANKA_083660",2.10538776338485,"m1",8,"P_RAG1KO","PbSTM155_PbSTM158"
"124","PBANKA_141030",0.000676429803497142,"m1",8,"P_RAG1KO","PbSTM155_PbSTM158"
"125","PBANKA_070120",0.368654242905942,"m1",8,"P_RAG1KO","PbSTM155_PbSTM158"
"126","PBANKA_061580",NA,"m1",8,"P_RAG1KO","PbSTM155_PbSTM158"
"127","PBANKA_083210",0.355802076639497,"m1",8,"P_RAG1KO","PbSTM155_PbSTM158"
"128","PBANKA_102390",0.481618020089965,"m1",8,"P_RAG1KO","PbSTM155_PbSTM158"
