"","gene","abundance","mice","day","background","pool"
"1","PBANKA_101810",0.297821088360889,"m1",7,"P_RAG1KO","poolC2"
"2","PBANKA_082040",0.400197087484945,"m1",7,"P_RAG1KO","poolC2"
"3","PBANKA_142220",0.23157779481003,"m1",7,"P_RAG1KO","poolC2"
"4","PBANKA_101700",0.123179678090441,"m1",7,"P_RAG1KO","poolC2"
"5","PBANKA_131140",1.2383663637359,"m1",7,"P_RAG1KO","poolC2"
"6","PBANKA_031580",0.123727143326399,"m1",7,"P_RAG1KO","poolC2"
"7","PBANKA_051490",3.99047410489434,"m1",7,"P_RAG1KO","poolC2"
"8","PBANKA_123360",0.839264206722873,"m1",7,"P_RAG1KO","poolC2"
"9","PBANKA_082710",0.0799299244497974,"m1",7,"P_RAG1KO","poolC2"
"10","PBANKA_135260",3.58425489981386,"m1",7,"P_RAG1KO","poolC2"
"11","PBANKA_121260",0.270447826563013,"m1",7,"P_RAG1KO","poolC2"
"12","PBANKA_113980",0.781780356947334,"m1",7,"P_RAG1KO","poolC2"
"13","PBANKA_112810",0.047629475528304,"m1",7,"P_RAG1KO","poolC2"
"14","PBANKA_103520",0.048724406000219,"m1",7,"P_RAG1KO","poolC2"
"15","PBANKA_051300",0.370086499507281,"m1",7,"P_RAG1KO","poolC2"
"16","PBANKA_031480",1.75243622030001,"m1",7,"P_RAG1KO","poolC2"
"17","PBANKA_080690",0.104565860067886,"m1",7,"P_RAG1KO","poolC2"
"18","PBANKA_082320",1.3363626409723,"m1",7,"P_RAG1KO","poolC2"
"19","PBANKA_100640",2.67874739954013,"m1",7,"P_RAG1KO","poolC2"
"20","PBANKA_103780",0.116610095258951,"m1",7,"P_RAG1KO","poolC2"
"21","PBANKA_145770",0.823387714880105,"m1",7,"P_RAG1KO","poolC2"
"22","PBANKA_140160",NA,"m1",7,"P_RAG1KO","poolC2"
"23","PBANKA_133580",0.675024635935618,"m1",7,"P_RAG1KO","poolC2"
"24","PBANKA_093290",2.97383116172123,"m1",7,"P_RAG1KO","poolC2"
"25","PBANKA_132910",0.763714004160736,"m1",7,"P_RAG1KO","poolC2"
"26","PBANKA_146060",2.40227745538158,"m1",7,"P_RAG1KO","poolC2"
"27","PBANKA_031590",2.39844519872988,"m1",7,"P_RAG1KO","poolC2"
"28","PBANKA_051760",0.212963976787474,"m1",7,"P_RAG1KO","poolC2"
"29","PBANKA_070700",2.19150333953794,"m1",7,"P_RAG1KO","poolC2"
"30","PBANKA_030240",0.483959268586445,"m1",7,"P_RAG1KO","poolC2"
"31","PBANKA_133090",1.07193693200482,"m1",7,"P_RAG1KO","poolC2"
"32","PBANKA_111060",0.0186138180225556,"m1",7,"P_RAG1KO","poolC2"
"33","PBANKA_143630",0.97448812000438,"m1",7,"P_RAG1KO","poolC2"
"34","PBANKA_052230",0.74510018613818,"m1",7,"P_RAG1KO","poolC2"
"35","PBANKA_143060",0.0990912077083105,"m1",7,"P_RAG1KO","poolC2"
"36","PBANKA_131530",1.46063724953465,"m1",7,"P_RAG1KO","poolC2"
"37","PBANKA_134630",1.02813971312822,"m1",7,"P_RAG1KO","poolC2"
"38","PBANKA_103240",0.850213511442024,"m1",7,"P_RAG1KO","poolC2"
"39","PBANKA_062030",0.289061644585569,"m1",7,"P_RAG1KO","poolC2"
"40","PBANKA_093080",0.0273732617978758,"m1",7,"P_RAG1KO","poolC2"
"41","PBANKA_143440",0.682141684003066,"m1",7,"P_RAG1KO","poolC2"
"42","PBANKA_102460",0.508595204204533,"m1",7,"P_RAG1KO","poolC2"
"43","PBANKA_010110",2.95193255228293,"m1",7,"P_RAG1KO","poolC2"
"44","PBANKA_120290",0.295083762181101,"m1",7,"P_RAG1KO","poolC2"
"45","PBANKA_071020",0.390342713237709,"m1",7,"P_RAG1KO","poolC2"
"46","PBANKA_093100",0.221723420562794,"m1",7,"P_RAG1KO","poolC2"
"47","PBANKA_083210",0.31752983685536,"m1",7,"P_RAG1KO","poolC2"
"48","PBANKA_011160",8.48297383116172,"m1",7,"P_RAG1KO","poolC2"
