"","gene","abundance","mice","day","background","pool"
"1","PBANKA_010720",9.63245526432115,"m1",7,"NP_BL6","PbSTM139_PbSTM145"
"2","PBANKA_140160",0.0353628788002816,"m1",7,"NP_BL6","PbSTM139_PbSTM145"
"3","PBANKA_010780",0.0032743406296557,"m1",7,"NP_BL6","PbSTM139_PbSTM145"
"4","PBANKA_133690",0.806797531147165,"m1",7,"NP_BL6","PbSTM139_PbSTM145"
"5","PBANKA_103780",2.03663987164585,"m1",7,"NP_BL6","PbSTM139_PbSTM145"
"6","PBANKA_101610",0.783877146739575,"m1",7,"NP_BL6","PbSTM139_PbSTM145"
"7","PBANKA_041850",19.2128485126308,"m1",7,"NP_BL6","PbSTM139_PbSTM145"
"8","PBANKA_041190",0.539938769830225,"m1",7,"NP_BL6","PbSTM139_PbSTM145"
"9","PBANKA_104030",0.289451711661564,"m1",7,"NP_BL6","PbSTM139_PbSTM145"
"10","PBANKA_051500",0.314009266383982,"m1",7,"NP_BL6","PbSTM139_PbSTM145"
"11","PBANKA_132420",0.000654868125931141,"m1",7,"NP_BL6","PbSTM139_PbSTM145"
"12","PBANKA_110420",0.000654868125931141,"m1",7,"NP_BL6","PbSTM139_PbSTM145"
"13","PBANKA_112510",0.923364057562908,"m1",7,"NP_BL6","PbSTM139_PbSTM145"
"14","PBANKA_041065",1.39879831698892,"m1",7,"NP_BL6","PbSTM139_PbSTM145"
"15","PBANKA_051700",2.47343691164192,"m1",7,"NP_BL6","PbSTM139_PbSTM145"
"16","PBANKA_120070",0.0170265712742097,"m1",7,"NP_BL6","PbSTM139_PbSTM145"
"17","PBANKA_062350",0.0111327581408294,"m1",7,"NP_BL6","PbSTM139_PbSTM145"
"18","PBANKA_094130",NA,"m1",7,"NP_BL6","PbSTM139_PbSTM145"
"19","PBANKA_120790",2.18955157905077,"m1",7,"NP_BL6","PbSTM139_PbSTM145"
"20","PBANKA_083660",0.784859448928472,"m1",7,"NP_BL6","PbSTM139_PbSTM145"
"21","PBANKA_083210",0.270787970072527,"m1",7,"NP_BL6","PbSTM139_PbSTM145"
"22","PBANKA_060990",0.0569735269560092,"m1",7,"NP_BL6","PbSTM139_PbSTM145"
"23","PBANKA_102390",0.111000147345328,"m1",7,"NP_BL6","PbSTM139_PbSTM145"
"24","PBANKA_120520",1.98850706438991,"m1",7,"NP_BL6","PbSTM139_PbSTM145"
"25","PBANKA_143540",0.0625399060264239,"m1",7,"NP_BL6","PbSTM139_PbSTM145"
"26","PBANKA_091510",0.989505738281954,"m1",7,"NP_BL6","PbSTM139_PbSTM145"
"27","PBANKA_051810",0.336929650791572,"m1",7,"NP_BL6","PbSTM139_PbSTM145"
"28","PBANKA_100860",0.24983219004273,"m1",7,"NP_BL6","PbSTM139_PbSTM145"
"29","PBANKA_051080",0.0654868125931141,"m1",7,"NP_BL6","PbSTM139_PbSTM145"
"30","PBANKA_090270",5.68360046495637,"m1",7,"NP_BL6","PbSTM139_PbSTM145"
"31","PBANKA_092770",0.19809760809417,"m1",7,"NP_BL6","PbSTM139_PbSTM145"
"32","PBANKA_100120",1.51340023902687,"m1",7,"NP_BL6","PbSTM139_PbSTM145"
"33","PBANKA_111210",0.460044858466626,"m1",7,"NP_BL6","PbSTM139_PbSTM145"
"34","PBANKA_111760",1.65812609485765,"m1",7,"NP_BL6","PbSTM139_PbSTM145"
"35","PBANKA_110130",0.032743406296557,"m1",7,"NP_BL6","PbSTM139_PbSTM145"
"36","PBANKA_134910",0.0032743406296557,"m1",7,"NP_BL6","PbSTM139_PbSTM145"
