"","gene","abundance","mice","day","background","pool"
"1","PBANKA_101810",0.354646306256137,"m1",7,"NP_BL6","poolC1"
"2","PBANKA_082040",0.353913565953955,"m1",7,"NP_BL6","poolC1"
"3","PBANKA_142220",0.353913565953955,"m1",7,"NP_BL6","poolC1"
"4","PBANKA_101700",0.381757697436874,"m1",7,"NP_BL6","poolC1"
"5","PBANKA_131140",1.22514178524847,"m1",7,"NP_BL6","poolC1"
"6","PBANKA_031580",0.184650556149889,"m1",7,"NP_BL6","poolC1"
"7","PBANKA_051490",2.46493837654059,"m1",7,"NP_BL6","poolC1"
"8","PBANKA_123360",1.45888594164456,"m1",7,"NP_BL6","poolC1"
"9","PBANKA_082710",0.021982209065463,"m1",7,"NP_BL6","poolC1"
"10","PBANKA_135260",2.00697568767677,"m1",7,"NP_BL6","poolC1"
"11","PBANKA_121260",0.604510749300233,"m1",7,"NP_BL6","poolC1"
"12","PBANKA_113980",1.34164749329543,"m1",7,"NP_BL6","poolC1"
"13","PBANKA_112810",0.0322405732960124,"m1",7,"NP_BL6","poolC1"
"14","PBANKA_103520",0.0498263405483828,"m1",7,"NP_BL6","poolC1"
"15","PBANKA_051300",0.70123246918827,"m1",7,"NP_BL6","poolC1"
"16","PBANKA_031480",2.25903835162742,"m1",7,"NP_BL6","poolC1"
"17","PBANKA_080690",0.130427773788414,"m1",7,"NP_BL6","poolC1"
"18","PBANKA_082320",1.82452335243343,"m1",7,"NP_BL6","poolC1"
"19","PBANKA_100640",2.70894089716723,"m1",7,"NP_BL6","poolC1"
"20","PBANKA_103780",0.00879288362618521,"m1",7,"NP_BL6","poolC1"
"21","PBANKA_145770",1.29182115274704,"m1",7,"NP_BL6","poolC1"
"22","PBANKA_140160",0.00879288362618521,"m1",7,"NP_BL6","poolC1"
"23","PBANKA_133580",1.6662514471621,"m1",7,"NP_BL6","poolC1"
"24","PBANKA_093290",2.20115186775503,"m1",7,"NP_BL6","poolC1"
"25","PBANKA_132910",0.705628911001363,"m1",7,"NP_BL6","poolC1"
"26","PBANKA_146060",3.85567947008221,"m1",7,"NP_BL6","poolC1"
"27","PBANKA_031590",3.80218942802292,"m1",7,"NP_BL6","poolC1"
"28","PBANKA_051760",0.233011416093908,"m1",7,"NP_BL6","poolC1"
"29","PBANKA_070700",1.49698843735803,"m1",7,"NP_BL6","poolC1"
"30","PBANKA_030240",0.265984729692103,"m1",7,"NP_BL6","poolC1"
"31","PBANKA_133090",0.943036768908363,"m1",7,"NP_BL6","poolC1"
"32","PBANKA_111060",0.029309612087284,"m1",7,"NP_BL6","poolC1"
"33","PBANKA_143630",0.800152409982854,"m1",7,"NP_BL6","poolC1"
"34","PBANKA_052230",0.793557747263215,"m1",7,"NP_BL6","poolC1"
"35","PBANKA_143060",0.266717469994285,"m1",7,"NP_BL6","poolC1"
"36","PBANKA_131530",1.96374400984803,"m1",7,"NP_BL6","poolC1"
"37","PBANKA_134630",1.35044037692161,"m1",7,"NP_BL6","poolC1"
"38","PBANKA_103240",1.1093688175037,"m1",7,"NP_BL6","poolC1"
"39","PBANKA_062030",0.252062663950643,"m1",7,"NP_BL6","poolC1"
"40","PBANKA_093080",0.0857306153553058,"m1",7,"NP_BL6","poolC1"
"41","PBANKA_143440",0.609639931415508,"m1",7,"NP_BL6","poolC1"
"42","PBANKA_102460",0.36270644958014,"m1",7,"NP_BL6","poolC1"
"43","PBANKA_010110",3.12000820669138,"m1",7,"NP_BL6","poolC1"
"44","PBANKA_120290",0.222753051863359,"m1",7,"NP_BL6","poolC1"
"45","PBANKA_071020",0.370766592904143,"m1",7,"NP_BL6","poolC1"
"46","PBANKA_093100",0.150211761947331,"m1",7,"NP_BL6","poolC1"
"47","PBANKA_083210",0.401541685595791,"m1",7,"NP_BL6","poolC1"
"48","PBANKA_011160",6.76172750853643,"m1",7,"NP_BL6","poolC1"
"49","PBANKA_010940",0.0857306153553058,"m1",7,"NP_BL6","poolC1"
"50","PBANKA_141230",0.12896229318405,"m1",7,"NP_BL6","poolC1"
"51","PBANKA_093380",0.334129577795038,"m1",7,"NP_BL6","poolC1"
"52","PBANKA_061640",0.93131292407345,"m1",7,"NP_BL6","poolC1"
"53","PBANKA_135820",1.64133827688791,"m1",7,"NP_BL6","poolC1"
"54","PBANKA_140450",1.32332898574087,"m1",7,"NP_BL6","poolC1"
"55","PBANKA_070850",0.309949147823029,"m1",7,"NP_BL6","poolC1"
"56","PBANKA_120740",1.50065213886894,"m1",7,"NP_BL6","poolC1"
"57","PBANKA_050720",0.20223632340226,"m1",7,"NP_BL6","poolC1"
"58","PBANKA_091240",1.1093688175037,"m1",7,"NP_BL6","poolC1"
"59","PBANKA_100010",3.07238008704955,"m1",7,"NP_BL6","poolC1"
