"","gene","abundance","mice","day","background","pool"
"1","PBANKA_101810",0.123642282530441,"m1",7,"NP_RAG1KO","poolC2"
"2","PBANKA_082040",0.1267724668983,"m1",7,"NP_RAG1KO","poolC2"
"3","PBANKA_142220",0.245719472876952,"m1",7,"NP_RAG1KO","poolC2"
"4","PBANKA_101700",0.0923404388518484,"m1",7,"NP_RAG1KO","poolC2"
"5","PBANKA_131140",0.63855761104329,"m1",7,"NP_RAG1KO","poolC2"
"6","PBANKA_031580",0.621341597020064,"m1",7,"NP_RAG1KO","poolC2"
"7","PBANKA_051490",2.55579553635709,"m1",7,"NP_RAG1KO","poolC2"
"8","PBANKA_123360",0.47109274736282,"m1",7,"NP_RAG1KO","poolC2"
"9","PBANKA_082710",1.01104955081854,"m1",7,"NP_RAG1KO","poolC2"
"10","PBANKA_135260",1.33658872507591,"m1",7,"NP_RAG1KO","poolC2"
"11","PBANKA_121260",0.187811062071556,"m1",7,"NP_RAG1KO","poolC2"
"12","PBANKA_113980",0.358406110119886,"m1",7,"NP_RAG1KO","poolC2"
"13","PBANKA_112810",0.181550693335837,"m1",7,"NP_RAG1KO","poolC2"
"14","PBANKA_103520",0.0156509218392963,"m1",7,"NP_RAG1KO","poolC2"
"15","PBANKA_051300",0.161204494944752,"m1",7,"NP_RAG1KO","poolC2"
"16","PBANKA_031480",1.31154725013303,"m1",7,"NP_RAG1KO","poolC2"
"17","PBANKA_080690",0.0782546091964817,"m1",7,"NP_RAG1KO","poolC2"
"18","PBANKA_082320",0.239459104141234,"m1",7,"NP_RAG1KO","poolC2"
"19","PBANKA_100640",0.42883525839672,"m1",7,"NP_RAG1KO","poolC2"
"20","PBANKA_103780",0.85454033242558,"m1",7,"NP_RAG1KO","poolC2"
"21","PBANKA_145770",0.303627883682349,"m1",7,"NP_RAG1KO","poolC2"
"22","PBANKA_140160",0.194071430807275,"m1",7,"NP_RAG1KO","poolC2"
"23","PBANKA_133580",0.356841017935956,"m1",7,"NP_RAG1KO","poolC2"
"24","PBANKA_093290",1.4101480577206,"m1",7,"NP_RAG1KO","poolC2"
"25","PBANKA_132910",0.774720631045169,"m1",7,"NP_RAG1KO","poolC2"
"26","PBANKA_146060",1.24737847059192,"m1",7,"NP_RAG1KO","poolC2"
"27","PBANKA_031590",1.08460888346324,"m1",7,"NP_RAG1KO","poolC2"
"28","PBANKA_051760",0.0219112905750149,"m1",7,"NP_RAG1KO","poolC2"
"29","PBANKA_070700",1.44458008576705,"m1",7,"NP_RAG1KO","poolC2"
"30","PBANKA_030240",0.0688640560929039,"m1",7,"NP_RAG1KO","poolC2"
"31","PBANKA_133090",0.17216014023226,"m1",7,"NP_RAG1KO","poolC2"
"32","PBANKA_111060",0.0344320280464519,"m1",7,"NP_RAG1KO","poolC2"
"33","PBANKA_143630",0.804457382539832,"m1",7,"NP_RAG1KO","poolC2"
"34","PBANKA_052230",0.801327198171972,"m1",7,"NP_RAG1KO","poolC2"
"35","PBANKA_143060",0.115816821610793,"m1",7,"NP_RAG1KO","poolC2"
"36","PBANKA_131530",1.25207374714371,"m1",7,"NP_RAG1KO","poolC2"
"37","PBANKA_134630",1.03922121012928,"m1",7,"NP_RAG1KO","poolC2"
"38","PBANKA_103240",0.564998278398598,"m1",7,"NP_RAG1KO","poolC2"
"39","PBANKA_062030",0.626036873571853,"m1",7,"NP_RAG1KO","poolC2"
"40","PBANKA_093080",0.104861176323285,"m1",7,"NP_RAG1KO","poolC2"
"41","PBANKA_143440",0.525870973800357,"m1",7,"NP_RAG1KO","poolC2"
"42","PBANKA_102460",1.34441418599556,"m1",7,"NP_RAG1KO","poolC2"
"43","PBANKA_010110",10.0228503458854,"m1",7,"NP_RAG1KO","poolC2"
"44","PBANKA_120290",0.389707953798479,"m1",7,"NP_RAG1KO","poolC2"
"45","PBANKA_071020",2.67161235796788,"m1",7,"NP_RAG1KO","poolC2"
"46","PBANKA_093100",0.272326040003756,"m1",7,"NP_RAG1KO","poolC2"
"47","PBANKA_083210",0.0438225811500297,"m1",7,"NP_RAG1KO","poolC2"
"48","PBANKA_011160",6.88797070147432,"m1",7,"NP_RAG1KO","poolC2"
"49","PBANKA_010940",0.80915265909162,"m1",7,"NP_RAG1KO","poolC2"
"50","PBANKA_141230",0.649513256330798,"m1",7,"NP_RAG1KO","poolC2"
"51","PBANKA_093380",0.564998278398598,"m1",7,"NP_RAG1KO","poolC2"
"52","PBANKA_061640",1.1143456349579,"m1",7,"NP_RAG1KO","poolC2"
"53","PBANKA_135820",3.18183240992894,"m1",7,"NP_RAG1KO","poolC2"
"54","PBANKA_140450",2.81403574670548,"m1",7,"NP_RAG1KO","poolC2"
"55","PBANKA_070850",0.093905531035778,"m1",7,"NP_RAG1KO","poolC2"
"56","PBANKA_120740",1.15190784737221,"m1",7,"NP_RAG1KO","poolC2"
"57","PBANKA_050720",0.134597927817948,"m1",7,"NP_RAG1KO","poolC2"
"58","PBANKA_091240",1.1299965567972,"m1",7,"NP_RAG1KO","poolC2"
"59","PBANKA_100010",0.575953923686105,"m1",7,"NP_RAG1KO","poolC2"
"60","PBANKA_145980",0.0359971202303816,"m1",7,"NP_RAG1KO","poolC2"
"61","PBANKA_110700",0.179985601151908,"m1",7,"NP_RAG1KO","poolC2"
"62","PBANKA_121060",0.466397470811031,"m1",7,"NP_RAG1KO","poolC2"
"63","PBANKA_133690",0.0187811062071556,"m1",7,"NP_RAG1KO","poolC2"
"64","PBANKA_120060",0.0125207374714371,"m1",7,"NP_RAG1KO","poolC2"
"65","PBANKA_050060",0.00626036873571853,"m1",7,"NP_RAG1KO","poolC2"
"66","PBANKA_080060",1.21294644254547,"m1",7,"NP_RAG1KO","poolC2"
"67","PBANKA_083200",1.0564372241525,"m1",7,"NP_RAG1KO","poolC2"
"68","PBANKA_112120",0.228503458853726,"m1",7,"NP_RAG1KO","poolC2"
"69","PBANKA_070210",1.27555012990265,"m1",7,"NP_RAG1KO","poolC2"
"70","PBANKA_070270",8.57827026011832,"m1",7,"NP_RAG1KO","poolC2"
"71","PBANKA_131070",9.59244999530472,"m1",7,"NP_RAG1KO","poolC2"
"72","PBANKA_141470",9.75052430588162,"m1",7,"NP_RAG1KO","poolC2"
"73","PBANKA_093150",3.00341190096097,"m1",7,"NP_RAG1KO","poolC2"
"74","PBANKA_124430",0.064168779541115,"m1",7,"NP_RAG1KO","poolC2"
"75","PBANKA_133730",0.00313018436785927,"m1",7,"NP_RAG1KO","poolC2"
"76","PBANKA_093260",2.12696027796037,"m1",7,"NP_RAG1KO","poolC2"
"77","PBANKA_070690",0.100165899771497,"m1",7,"NP_RAG1KO","poolC2"
"78","PBANKA_120710",0.0313018436785927,"m1",7,"NP_RAG1KO","poolC2"
"79","PBANKA_080550",0.178420508967978,"m1",7,"NP_RAG1KO","poolC2"
"80","PBANKA_080610",0.0657338717250446,"m1",7,"NP_RAG1KO","poolC2"
"81","PBANKA_041160",0.0422574889661001,"m1",7,"NP_RAG1KO","poolC2"
"82","PBANKA_140900",0.158074310576893,"m1",7,"NP_RAG1KO","poolC2"
"83","PBANKA_081940",0.0719942404607631,"m1",7,"NP_RAG1KO","poolC2"
"84","PBANKA_132420",0.195636522991204,"m1",7,"NP_RAG1KO","poolC2"
"85","PBANKA_132900",0.436660719316368,"m1",7,"NP_RAG1KO","poolC2"
"86","PBANKA_143500",0.422574889661001,"m1",7,"NP_RAG1KO","poolC2"
"87","PBANKA_102720",0.12833755908223,"m1",7,"NP_RAG1KO","poolC2"
"88","PBANKA_093750",1.26146430024728,"m1",7,"NP_RAG1KO","poolC2"
"89","PBANKA_136410",0.655773625066516,"m1",7,"NP_RAG1KO","poolC2"
"90","PBANKA_101910",0.330234450809153,"m1",7,"NP_RAG1KO","poolC2"
"91","PBANKA_131270",0.201896891726923,"m1",7,"NP_RAG1KO","poolC2"
"92","PBANKA_041350",0.194071430807275,"m1",7,"NP_RAG1KO","poolC2"
"93","PBANKA_124020",0.0719942404607631,"m1",7,"NP_RAG1KO","poolC2"
"94","PBANKA_101810",0.114552871272375,"m1",8,"NP_RAG1KO","poolC2"
"95","PBANKA_082040",0.339933317190381,"m1",8,"NP_RAG1KO","poolC2"
"96","PBANKA_142220",0.199303369530799,"m1",8,"NP_RAG1KO","poolC2"
"97","PBANKA_101700",0.258908115558701,"m1",8,"NP_RAG1KO","poolC2"
"98","PBANKA_131140",1.334587516531,"m1",8,"NP_RAG1KO","poolC2"
"99","PBANKA_031580",0.037252966267439,"m1",8,"NP_RAG1KO","poolC2"
"100","PBANKA_051490",3.78583269692849,"m1",8,"NP_RAG1KO","poolC2"
"101","PBANKA_123360",1.48825600238419,"m1",8,"NP_RAG1KO","poolC2"
"102","PBANKA_082710",0.212341907724403,"m1",8,"NP_RAG1KO","poolC2"
"103","PBANKA_135260",3.92925661705813,"m1",8,"NP_RAG1KO","poolC2"
"104","PBANKA_121260",0.365079069420903,"m1",8,"NP_RAG1KO","poolC2"
"105","PBANKA_113980",0.662171475403729,"m1",8,"NP_RAG1KO","poolC2"
"106","PBANKA_112810",0.00745059325348781,"m1",8,"NP_RAG1KO","poolC2"
"107","PBANKA_103520",0.00558794494011586,"m1",8,"NP_RAG1KO","poolC2"
"108","PBANKA_051300",0.468456050813046,"m1",8,"NP_RAG1KO","poolC2"
"109","PBANKA_031480",2.39815970346639,"m1",8,"NP_RAG1KO","poolC2"
"110","PBANKA_080690",0.0325963454840092,"m1",8,"NP_RAG1KO","poolC2"
"111","PBANKA_082320",1.3681151861717,"m1",8,"NP_RAG1KO","poolC2"
"112","PBANKA_100640",2.81353027734833,"m1",8,"NP_RAG1KO","poolC2"
"113","PBANKA_103780",0.00558794494011586,"m1",8,"NP_RAG1KO","poolC2"
"114","PBANKA_145770",1.03470113807812,"m1",8,"NP_RAG1KO","poolC2"
"115","PBANKA_140160",0.00558794494011586,"m1",8,"NP_RAG1KO","poolC2"
"116","PBANKA_133580",0.786037588242964,"m1",8,"NP_RAG1KO","poolC2"
"117","PBANKA_093290",3.78397004861512,"m1",8,"NP_RAG1KO","poolC2"
"118","PBANKA_132910",1.01514333078771,"m1",8,"NP_RAG1KO","poolC2"
"119","PBANKA_146060",3.48408367016224,"m1",8,"NP_RAG1KO","poolC2"
"120","PBANKA_031590",2.98675657049193,"m1",8,"NP_RAG1KO","poolC2"
"121","PBANKA_051760",0.132248030249409,"m1",8,"NP_RAG1KO","poolC2"
"122","PBANKA_070700",2.15229012610129,"m1",8,"NP_RAG1KO","poolC2"
"123","PBANKA_030240",0.385568200867994,"m1",8,"NP_RAG1KO","poolC2"
"124","PBANKA_133090",0.884757948851677,"m1",8,"NP_RAG1KO","poolC2"
"125","PBANKA_111060",0.0037252966267439,"m1",8,"NP_RAG1KO","poolC2"
"126","PBANKA_143630",0.882895300538305,"m1",8,"NP_RAG1KO","poolC2"
"127","PBANKA_052230",0.774861698362732,"m1",8,"NP_RAG1KO","poolC2"
"128","PBANKA_143060",0.117346843742433,"m1",8,"NP_RAG1KO","poolC2"
"129","PBANKA_131530",0.991860226870565,"m1",8,"NP_RAG1KO","poolC2"
"130","PBANKA_134630",0.722707545588317,"m1",8,"NP_RAG1KO","poolC2"
"131","PBANKA_103240",1.14366606441038,"m1",8,"NP_RAG1KO","poolC2"
"132","PBANKA_062030",0.270084005438933,"m1",8,"NP_RAG1KO","poolC2"
"133","PBANKA_093080",0.00186264831337195,"m1",8,"NP_RAG1KO","poolC2"
"134","PBANKA_143440",0.690111200104308,"m1",8,"NP_RAG1KO","poolC2"
"135","PBANKA_102460",0.264496060498817,"m1",8,"NP_RAG1KO","poolC2"
"136","PBANKA_010110",2.35997541304226,"m1",8,"NP_RAG1KO","poolC2"
"137","PBANKA_120290",0.158325106636616,"m1",8,"NP_RAG1KO","poolC2"
"138","PBANKA_071020",0.108964926332259,"m1",8,"NP_RAG1KO","poolC2"
"139","PBANKA_093100",0.17136364483022,"m1",8,"NP_RAG1KO","poolC2"
"140","PBANKA_083210",0.301749026766256,"m1",8,"NP_RAG1KO","poolC2"
"141","PBANKA_011160",8.27015851137147,"m1",8,"NP_RAG1KO","poolC2"
"142","PBANKA_010940",0.0307336971706372,"m1",8,"NP_RAG1KO","poolC2"
"143","PBANKA_141230",0.00838191741017378,"m1",8,"NP_RAG1KO","poolC2"
"144","PBANKA_093380",0.0186264831337195,"m1",8,"NP_RAG1KO","poolC2"
"145","PBANKA_061640",0.892208542105165,"m1",8,"NP_RAG1KO","poolC2"
"146","PBANKA_135820",0.231899715014808,"m1",8,"NP_RAG1KO","poolC2"
"147","PBANKA_140450",0.995585523497308,"m1",8,"NP_RAG1KO","poolC2"
"148","PBANKA_070850",0.344589937973811,"m1",8,"NP_RAG1KO","poolC2"
"149","PBANKA_120740",0.940637398252836,"m1",8,"NP_RAG1KO","poolC2"
"150","PBANKA_050720",0.141561271816268,"m1",8,"NP_RAG1KO","poolC2"
"151","PBANKA_091240",1.47521746419059,"m1",8,"NP_RAG1KO","poolC2"
"152","PBANKA_100010",3.81656639409913,"m1",8,"NP_RAG1KO","poolC2"
"153","PBANKA_145980",0.0577420977145305,"m1",8,"NP_RAG1KO","poolC2"
"154","PBANKA_110700",0.0419095870508689,"m1",8,"NP_RAG1KO","poolC2"
"155","PBANKA_121060",0.526198148527577,"m1",8,"NP_RAG1KO","poolC2"
"156","PBANKA_133690",0.112690222959003,"m1",8,"NP_RAG1KO","poolC2"
"157","PBANKA_120060",0.0810252016316799,"m1",8,"NP_RAG1KO","poolC2"
"158","PBANKA_050060",0.118278167899119,"m1",8,"NP_RAG1KO","poolC2"
"159","PBANKA_080060",0.0651926909680183,"m1",8,"NP_RAG1KO","poolC2"
"160","PBANKA_083200",0.0596047460279025,"m1",8,"NP_RAG1KO","poolC2"
"161","PBANKA_112120",0.0037252966267439,"m1",8,"NP_RAG1KO","poolC2"
"162","PBANKA_070210",0.077299905004936,"m1",8,"NP_RAG1KO","poolC2"
"163","PBANKA_070270",5.28805856166297,"m1",8,"NP_RAG1KO","poolC2"
"164","PBANKA_131070",3.07988898616052,"m1",8,"NP_RAG1KO","poolC2"
"165","PBANKA_141470",3.72064000596047,"m1",8,"NP_RAG1KO","poolC2"
"166","PBANKA_093150",1.0030361167508,"m1",8,"NP_RAG1KO","poolC2"
"167","PBANKA_124430",0.0428409112075549,"m1",8,"NP_RAG1KO","poolC2"
"168","PBANKA_133730",0.0428409112075549,"m1",8,"NP_RAG1KO","poolC2"
"169","PBANKA_093260",9.05992139624118,"m1",8,"NP_RAG1KO","poolC2"
"170","PBANKA_070690",0.0298023730139512,"m1",8,"NP_RAG1KO","poolC2"
"171","PBANKA_120710",0.128522733622665,"m1",8,"NP_RAG1KO","poolC2"
"172","PBANKA_080550",1.91666511445974,"m1",8,"NP_RAG1KO","poolC2"
"173","PBANKA_080610",0.0037252966267439,"m1",8,"NP_RAG1KO","poolC2"
"174","PBANKA_041160",0.0828878499450519,"m1",8,"NP_RAG1KO","poolC2"
"175","PBANKA_140900",0.0689179875947622,"m1",8,"NP_RAG1KO","poolC2"
"176","PBANKA_081940",0.118278167899119,"m1",8,"NP_RAG1KO","poolC2"
"177","PBANKA_132420",1.50315718889117,"m1",8,"NP_RAG1KO","poolC2"
"178","PBANKA_132900",1.18836962393131,"m1",8,"NP_RAG1KO","poolC2"
"179","PBANKA_143500",0.897796487045281,"m1",8,"NP_RAG1KO","poolC2"
"180","PBANKA_102720",0.00651926909680183,"m1",8,"NP_RAG1KO","poolC2"
"181","PBANKA_093750",5.81611935850392,"m1",8,"NP_RAG1KO","poolC2"
"182","PBANKA_136410",0.631437778233092,"m1",8,"NP_RAG1KO","poolC2"
"183","PBANKA_101910",0.910835025238885,"m1",8,"NP_RAG1KO","poolC2"
"184","PBANKA_131270",0.0540168010877866,"m1",8,"NP_RAG1KO","poolC2"
"185","PBANKA_041350",0.644476316426696,"m1",8,"NP_RAG1KO","poolC2"
"186","PBANKA_124020",0.00931324156685976,"m1",8,"NP_RAG1KO","poolC2"
"187","PBANKA_101810",0.0847391133777952,"m1",9,"NP_RAG1KO","poolC2"
"188","PBANKA_082040",0.301294625343272,"m1",9,"NP_RAG1KO","poolC2"
"189","PBANKA_142220",0.158493526873284,"m1",9,"NP_RAG1KO","poolC2"
"190","PBANKA_101700",0.193016869360534,"m1",9,"NP_RAG1KO","poolC2"
"191","PBANKA_131140",1.38956453511181,"m1",9,"NP_RAG1KO","poolC2"
"192","PBANKA_031580",0.0156924284032954,"m1",9,"NP_RAG1KO","poolC2"
"193","PBANKA_051490",6.96194586112201,"m1",9,"NP_RAG1KO","poolC2"
"194","PBANKA_123360",1.14005492349941,"m1",9,"NP_RAG1KO","poolC2"
"195","PBANKA_082710",0.0141231855629659,"m1",9,"NP_RAG1KO","poolC2"
"196","PBANKA_135260",3.97253825029423,"m1",9,"NP_RAG1KO","poolC2"
"197","PBANKA_121260",0.377402903099255,"m1",9,"NP_RAG1KO","poolC2"
"198","PBANKA_113980",0.514711651628089,"m1",9,"NP_RAG1KO","poolC2"
"199","PBANKA_112810",0.00470772852098862,"m1",9,"NP_RAG1KO","poolC2"
"200","PBANKA_103520",0.00627697136131816,"m1",9,"NP_RAG1KO","poolC2"
"201","PBANKA_051300",0.326402510788545,"m1",9,"NP_RAG1KO","poolC2"
"202","PBANKA_031480",1.98509219301687,"m1",9,"NP_RAG1KO","poolC2"
"203","PBANKA_080690",0.00627697136131816,"m1",9,"NP_RAG1KO","poolC2"
"204","PBANKA_082320",1.31267163593566,"m1",9,"NP_RAG1KO","poolC2"
"205","PBANKA_100640",2.74225186347587,"m1",9,"NP_RAG1KO","poolC2"
"206","PBANKA_103780",0.00313848568065908,"m1",9,"NP_RAG1KO","poolC2"
"207","PBANKA_145770",0.911730090231463,"m1",9,"NP_RAG1KO","poolC2"
"208","PBANKA_140160",0.00156924284032954,"m1",9,"NP_RAG1KO","poolC2"
"209","PBANKA_133580",0.728128677912907,"m1",9,"NP_RAG1KO","poolC2"
"210","PBANKA_093290",3.43664182032169,"m1",9,"NP_RAG1KO","poolC2"
"211","PBANKA_132910",1.15339348764221,"m1",9,"NP_RAG1KO","poolC2"
"212","PBANKA_146060",3.31424087877599,"m1",9,"NP_RAG1KO","poolC2"
"213","PBANKA_031590",2.85052961945861,"m1",9,"NP_RAG1KO","poolC2"
"214","PBANKA_051760",0.165555119654767,"m1",9,"NP_RAG1KO","poolC2"
"215","PBANKA_070700",2.03530796390741,"m1",9,"NP_RAG1KO","poolC2"
"216","PBANKA_030240",0.360925853275794,"m1",9,"NP_RAG1KO","poolC2"
"217","PBANKA_133090",0.947038054138878,"m1",9,"NP_RAG1KO","poolC2"
"218","PBANKA_111060",0.00156924284032954,"m1",9,"NP_RAG1KO","poolC2"
"219","PBANKA_143630",0.920360925853276,"m1",9,"NP_RAG1KO","poolC2"
"220","PBANKA_052230",0.663789721459396,"m1",9,"NP_RAG1KO","poolC2"
"221","PBANKA_143060",0.100431541781091,"m1",9,"NP_RAG1KO","poolC2"
"222","PBANKA_131530",0.849744998038446,"m1",9,"NP_RAG1KO","poolC2"
"223","PBANKA_134630",0.7171439780306,"m1",9,"NP_RAG1KO","poolC2"
"224","PBANKA_103240",1.05374656728129,"m1",9,"NP_RAG1KO","poolC2"
"225","PBANKA_062030",0.208709297763829,"m1",9,"NP_RAG1KO","poolC2"
"226","PBANKA_093080",NA,"m1",9,"NP_RAG1KO","poolC2"
"227","PBANKA_143440",0.653589642997254,"m1",9,"NP_RAG1KO","poolC2"
"228","PBANKA_102460",0.345233424872499,"m1",9,"NP_RAG1KO","poolC2"
"229","PBANKA_010110",2.32797175362887,"m1",9,"NP_RAG1KO","poolC2"
"230","PBANKA_120290",0.150647312671636,"m1",9,"NP_RAG1KO","poolC2"
"231","PBANKA_071020",0.0878775990584543,"m1",9,"NP_RAG1KO","poolC2"
"232","PBANKA_093100",0.200078462142016,"m1",9,"NP_RAG1KO","poolC2"
