"","gene","abundance","mice","day","background","pool"
"1","PBANKA_051490",0.773898324535231,"m1",7,"P_RAG1KO","pool3"
"2","PBANKA_134230",0.393045673628644,"m1",7,"P_RAG1KO","pool3"
"3","PBANKA_051500",1.14901308239614,"m1",7,"P_RAG1KO","pool3"
"4","PBANKA_103780",0.560879045214597,"m1",7,"P_RAG1KO","pool3"
"5","PBANKA_140160",0.152054165710351,"m1",7,"P_RAG1KO","pool3"
"6","PBANKA_102460",0.842753041083314,"m1",7,"P_RAG1KO","pool3"
"7","PBANKA_010110",4.94964998852421,"m1",7,"P_RAG1KO","pool3"
"8","PBANKA_120290",0.329211613495524,"m1",7,"P_RAG1KO","pool3"
"9","PBANKA_071020",1.98459375717237,"m1",7,"P_RAG1KO","pool3"
"10","PBANKA_145540",0.715084920817076,"m1",7,"P_RAG1KO","pool3"
"11","PBANKA_133820",0.862118430112463,"m1",7,"P_RAG1KO","pool3"
"12","PBANKA_020900",NA,"m1",7,"P_RAG1KO","pool3"
"13","PBANKA_112920",0.497762221712187,"m1",7,"P_RAG1KO","pool3"
"14","PBANKA_011160",5.37640578379619,"m1",7,"P_RAG1KO","pool3"
"15","PBANKA_120400",0.0645512967638283,"m1",7,"P_RAG1KO","pool3"
"16","PBANKA_010940",0.563030755106725,"m1",7,"P_RAG1KO","pool3"
"17","PBANKA_141230",0.45042460408538,"m1",7,"P_RAG1KO","pool3"
"18","PBANKA_121220",0.147033509295387,"m1",7,"P_RAG1KO","pool3"
"19","PBANKA_030140",1.48970048198302,"m1",7,"P_RAG1KO","pool3"
"20","PBANKA_093380",0.405955932981409,"m1",7,"P_RAG1KO","pool3"
"21","PBANKA_061640",0.824104888684875,"m1",7,"P_RAG1KO","pool3"
"22","PBANKA_135820",2.66955473949966,"m1",7,"P_RAG1KO","pool3"
"23","PBANKA_140450",1.82249827863209,"m1",7,"P_RAG1KO","pool3"
"24","PBANKA_101210",0.0286894652283681,"m1",7,"P_RAG1KO","pool3"
"25","PBANKA_092600",NA,"m1",7,"P_RAG1KO","pool3"
"26","PBANKA_113280",2.59352765664448,"m1",7,"P_RAG1KO","pool3"
"27","PBANKA_041590",0.185047050722975,"m1",7,"P_RAG1KO","pool3"
"28","PBANKA_080640",0.775332797796649,"m1",7,"P_RAG1KO","pool3"
"29","PBANKA_121140",1.37494262106954,"m1",7,"P_RAG1KO","pool3"
"30","PBANKA_030770",0.192936653660776,"m1",7,"P_RAG1KO","pool3"
"31","PBANKA_144170",0.446838420931834,"m1",7,"P_RAG1KO","pool3"
"32","PBANKA_120740",0.880049345880193,"m1",7,"P_RAG1KO","pool3"
"33","PBANKA_134420",1.98244204728024,"m1",7,"P_RAG1KO","pool3"
"34","PBANKA_142710",0.0322756483819142,"m1",7,"P_RAG1KO","pool3"
"35","PBANKA_050720",0.0788960293780124,"m1",7,"P_RAG1KO","pool3"
"36","PBANKA_091240",0.773181087904521,"m1",7,"P_RAG1KO","pool3"
"37","PBANKA_145980",NA,"m1",7,"P_RAG1KO","pool3"
"38","PBANKA_110700",0.0753098462244664,"m1",7,"P_RAG1KO","pool3"
"39","PBANKA_131420",NA,"m1",7,"P_RAG1KO","pool3"
"40","PBANKA_102760",0.451859077346798,"m1",7,"P_RAG1KO","pool3"
"41","PBANKA_100250",1.49472113839798,"m1",7,"P_RAG1KO","pool3"
"42","PBANKA_103210",0.325625430341978,"m1",7,"P_RAG1KO","pool3"
"43","PBANKA_121060",0.238839798026165,"m1",7,"P_RAG1KO","pool3"
"44","PBANKA_020830",0.317018590773468,"m1",7,"P_RAG1KO","pool3"
"45","PBANKA_123740",0.758119118659628,"m1",7,"P_RAG1KO","pool3"
"46","PBANKA_040750",0.000717236630709204,"m1",7,"P_RAG1KO","pool3"
"47","PBANKA_135330",1.41008721597429,"m1",7,"P_RAG1KO","pool3"
"48","PBANKA_112390",5.05149759008492,"m1",7,"P_RAG1KO","pool3"
"49","PBANKA_131600",0.088220105577232,"m1",7,"P_RAG1KO","pool3"
"50","PBANKA_114320",1.41295616249713,"m1",7,"P_RAG1KO","pool3"
"51","PBANKA_142930",0.492741565297223,"m1",7,"P_RAG1KO","pool3"
"52","PBANKA_031340",0.0487720908882258,"m1",7,"P_RAG1KO","pool3"
"53","PBANKA_142520",2.00682809272435,"m1",7,"P_RAG1KO","pool3"
"54","PBANKA_121960",0.143447326141841,"m1",7,"P_RAG1KO","pool3"
