"","gene","abundance","mice","day","background","pool"
"1","PBANKA_101810",0.148137064192728,"m1",7,"P_RAG1KO","poolC1"
"2","PBANKA_082040",0.481819542121802,"m1",7,"P_RAG1KO","poolC1"
"3","PBANKA_142220",0.383435582822086,"m1",7,"P_RAG1KO","poolC1"
"4","PBANKA_101700",0.363609157563968,"m1",7,"P_RAG1KO","poolC1"
"5","PBANKA_131140",1.25953912913362,"m1",7,"P_RAG1KO","poolC1"
"6","PBANKA_031580",0.163100404010175,"m1",7,"P_RAG1KO","poolC1"
"7","PBANKA_051490",4.67379919197965,"m1",7,"P_RAG1KO","poolC1"
"8","PBANKA_123360",0.51623522370193,"m1",7,"P_RAG1KO","poolC1"
"9","PBANKA_082710",0.0613496932515337,"m1",7,"P_RAG1KO","poolC1"
"10","PBANKA_135260",3.40191530749663,"m1",7,"P_RAG1KO","poolC1"
"11","PBANKA_121260",0.233054017656741,"m1",7,"P_RAG1KO","poolC1"
"12","PBANKA_113980",0.627712105341912,"m1",7,"P_RAG1KO","poolC1"
"13","PBANKA_112810",NA,"m1",7,"P_RAG1KO","poolC1"
"14","PBANKA_103520",0.121203052521323,"m1",7,"P_RAG1KO","poolC1"
"15","PBANKA_051300",0.171704324405207,"m1",7,"P_RAG1KO","poolC1"
"16","PBANKA_031480",2.02416579380518,"m1",7,"P_RAG1KO","poolC1"
"17","PBANKA_080690",0.0269340116714051,"m1",7,"P_RAG1KO","poolC1"
"18","PBANKA_082320",1.06913062995661,"m1",7,"P_RAG1KO","poolC1"
"19","PBANKA_100640",1.95907526559928,"m1",7,"P_RAG1KO","poolC1"
"20","PBANKA_103780",0.092772706868173,"m1",7,"P_RAG1KO","poolC1"
"21","PBANKA_145770",2.03725871614544,"m1",7,"P_RAG1KO","poolC1"
"22","PBANKA_140160",0.0632201107287147,"m1",7,"P_RAG1KO","poolC1"
"23","PBANKA_133580",0.704773305401766,"m1",7,"P_RAG1KO","poolC1"
"24","PBANKA_093290",3.55678587460721,"m1",7,"P_RAG1KO","poolC1"
"25","PBANKA_132910",1.12299865329942,"m1",7,"P_RAG1KO","poolC1"
"26","PBANKA_146060",3.76702079904235,"m1",7,"P_RAG1KO","poolC1"
"27","PBANKA_031590",2.32605117462218,"m1",7,"P_RAG1KO","poolC1"
"28","PBANKA_051760",0.131677390393536,"m1",7,"P_RAG1KO","poolC1"
"29","PBANKA_070700",1.72751758192429,"m1",7,"P_RAG1KO","poolC1"
"30","PBANKA_030240",0.806524016160407,"m1",7,"P_RAG1KO","poolC1"
"31","PBANKA_133090",0.568980996558432,"m1",7,"P_RAG1KO","poolC1"
"32","PBANKA_111060",0.0463863534340865,"m1",7,"P_RAG1KO","poolC1"
"33","PBANKA_143630",1.03247044740386,"m1",7,"P_RAG1KO","poolC1"
"34","PBANKA_052230",1.2168936106539,"m1",7,"P_RAG1KO","poolC1"
"35","PBANKA_143060",0.258117611850965,"m1",7,"P_RAG1KO","poolC1"
"36","PBANKA_131530",0.823731856950471,"m1",7,"P_RAG1KO","poolC1"
"37","PBANKA_134630",1.84647613347299,"m1",7,"P_RAG1KO","poolC1"
"38","PBANKA_103240",0.964013167739039,"m1",7,"P_RAG1KO","poolC1"
"39","PBANKA_062030",0.47022295376328,"m1",7,"P_RAG1KO","poolC1"
"40","PBANKA_093080",0.106239712703875,"m1",7,"P_RAG1KO","poolC1"
"41","PBANKA_143440",1.03434086488104,"m1",7,"P_RAG1KO","poolC1"
"42","PBANKA_102460",0.648286697590902,"m1",7,"P_RAG1KO","poolC1"
"43","PBANKA_010110",2.75736944486009,"m1",7,"P_RAG1KO","poolC1"
"44","PBANKA_120290",0.209860840939698,"m1",7,"P_RAG1KO","poolC1"
"45","PBANKA_071020",0.665868621876403,"m1",7,"P_RAG1KO","poolC1"
"46","PBANKA_093100",0.676342959748616,"m1",7,"P_RAG1KO","poolC1"
"47","PBANKA_083210",0.253628609905731,"m1",7,"P_RAG1KO","poolC1"
"48","PBANKA_011160",7.40947179410444,"m1",7,"P_RAG1KO","poolC1"
"49","PBANKA_010940",NA,"m1",7,"P_RAG1KO","poolC1"
"50","PBANKA_141230",0.0467604369295227,"m1",7,"P_RAG1KO","poolC1"
"51","PBANKA_093380",0.0134670058357025,"m1",7,"P_RAG1KO","poolC1"
"52","PBANKA_061640",0.94044590752656,"m1",7,"P_RAG1KO","poolC1"
"53","PBANKA_135820",0.591051922789167,"m1",7,"P_RAG1KO","poolC1"
"54","PBANKA_140450",1.77390393535837,"m1",7,"P_RAG1KO","poolC1"
"55","PBANKA_070850",0.15674098458776,"m1",7,"P_RAG1KO","poolC1"
"56","PBANKA_120740",1.08895705521472,"m1",7,"P_RAG1KO","poolC1"
"57","PBANKA_050720",0.360242406105043,"m1",7,"P_RAG1KO","poolC1"
"58","PBANKA_091240",1.70469848870268,"m1",7,"P_RAG1KO","poolC1"
"59","PBANKA_100010",3.3622624569804,"m1",7,"P_RAG1KO","poolC1"
"60","PBANKA_145980",0.209486757444262,"m1",7,"P_RAG1KO","poolC1"
"61","PBANKA_110700",0.0579829417926081,"m1",7,"P_RAG1KO","poolC1"
"62","PBANKA_121060",0.475460122699387,"m1",7,"P_RAG1KO","poolC1"
"63","PBANKA_133690",0.135044141852461,"m1",7,"P_RAG1KO","poolC1"
"64","PBANKA_120060",0.208364506957953,"m1",7,"P_RAG1KO","poolC1"
"65","PBANKA_050060",0.138036809815951,"m1",7,"P_RAG1KO","poolC1"
"66","PBANKA_080060",0.149259314679036,"m1",7,"P_RAG1KO","poolC1"
"67","PBANKA_083200",0.0381565165344905,"m1",7,"P_RAG1KO","poolC1"
"68","PBANKA_112120",0.043393685470597,"m1",7,"P_RAG1KO","poolC1"
"69","PBANKA_070210",0.0463863534340865,"m1",7,"P_RAG1KO","poolC1"
"70","PBANKA_070270",5.8622624569804,"m1",7,"P_RAG1KO","poolC1"
"71","PBANKA_131070",3.28220858895705,"m1",7,"P_RAG1KO","poolC1"
"72","PBANKA_141470",3.63945832709861,"m1",7,"P_RAG1KO","poolC1"
"73","PBANKA_093150",0.879096214275026,"m1",7,"P_RAG1KO","poolC1"
"74","PBANKA_124430",0.163474487505611,"m1",7,"P_RAG1KO","poolC1"
"75","PBANKA_133730",0.203501421517283,"m1",7,"P_RAG1KO","poolC1"
"76","PBANKA_093260",6.23559778542571,"m1",7,"P_RAG1KO","poolC1"
"77","PBANKA_070690",0.0991321262905881,"m1",7,"P_RAG1KO","poolC1"
"78","PBANKA_120710",0.0527457728565016,"m1",7,"P_RAG1KO","poolC1"
"79","PBANKA_080550",0.830465359868323,"m1",7,"P_RAG1KO","poolC1"
"80","PBANKA_080610",NA,"m1",7,"P_RAG1KO","poolC1"
"81","PBANKA_041160",0.106987879694748,"m1",7,"P_RAG1KO","poolC1"
"82","PBANKA_140900",0.106613796199312,"m1",7,"P_RAG1KO","poolC1"
"83","PBANKA_081940",0.258865778841838,"m1",7,"P_RAG1KO","poolC1"
"84","PBANKA_132420",1.19070776597337,"m1",7,"P_RAG1KO","poolC1"
"85","PBANKA_132900",0.904533891964687,"m1",7,"P_RAG1KO","poolC1"
"86","PBANKA_143500",0.830465359868323,"m1",7,"P_RAG1KO","poolC1"
"87","PBANKA_102720",0.0568606913062996,"m1",7,"P_RAG1KO","poolC1"
"88","PBANKA_093750",6.13534340864881,"m1",7,"P_RAG1KO","poolC1"
"89","PBANKA_136410",0.880218464761335,"m1",7,"P_RAG1KO","poolC1"
"90","PBANKA_101910",1.10429447852761,"m1",7,"P_RAG1KO","poolC1"
"91","PBANKA_131270",0.168337572946282,"m1",7,"P_RAG1KO","poolC1"
"92","PBANKA_041350",0.45750411491845,"m1",7,"P_RAG1KO","poolC1"
"93","PBANKA_124020",NA,"m1",7,"P_RAG1KO","poolC1"
"94","PBANKA_101810",0.388716654079148,"m1",8,"P_RAG1KO","poolC1"
"95","PBANKA_082040",0.15210651681358,"m1",8,"P_RAG1KO","poolC1"
"96","PBANKA_142220",0.30315673837151,"m1",8,"P_RAG1KO","poolC1"
"97","PBANKA_101700",0.325867086367982,"m1",8,"P_RAG1KO","poolC1"
"98","PBANKA_131140",1.33093202211882,"m1",8,"P_RAG1KO","poolC1"
"99","PBANKA_031580",0.0105629525564986,"m1",8,"P_RAG1KO","poolC1"
"100","PBANKA_051490",6.89602357651011,"m1",8,"P_RAG1KO","poolC1"
"101","PBANKA_123360",0.997670868961292,"m1",8,"P_RAG1KO","poolC1"
"102","PBANKA_082710",0.0512303198990182,"m1",8,"P_RAG1KO","poolC1"
"103","PBANKA_135260",5.07232981763062,"m1",8,"P_RAG1KO","poolC1"
"104","PBANKA_121260",0.14999392630228,"m1",8,"P_RAG1KO","poolC1"
"105","PBANKA_113980",0.419349216492994,"m1",8,"P_RAG1KO","poolC1"
"106","PBANKA_112810",NA,"m1",8,"P_RAG1KO","poolC1"
"107","PBANKA_103520",0.0216540527408221,"m1",8,"P_RAG1KO","poolC1"
"108","PBANKA_051300",0.143656154768381,"m1",8,"P_RAG1KO","poolC1"
"109","PBANKA_031480",2.21135411770298,"m1",8,"P_RAG1KO","poolC1"
"110","PBANKA_080690",0.0269355290190714,"m1",8,"P_RAG1KO","poolC1"
"111","PBANKA_082320",0.917920577159728,"m1",8,"P_RAG1KO","poolC1"
"112","PBANKA_100640",1.74975309098399,"m1",8,"P_RAG1KO","poolC1"
"113","PBANKA_103780",0.0390829244590448,"m1",8,"P_RAG1KO","poolC1"
"114","PBANKA_145770",0.598391262325645,"m1",8,"P_RAG1KO","poolC1"
"115","PBANKA_140160",0.060208829572042,"m1",8,"P_RAG1KO","poolC1"
"116","PBANKA_133580",0.802256246666068,"m1",8,"P_RAG1KO","poolC1"
"117","PBANKA_093290",4.15335294521525,"m1",8,"P_RAG1KO","poolC1"
"118","PBANKA_132910",1.4767007673985,"m1",8,"P_RAG1KO","poolC1"
"119","PBANKA_146060",2.48335014603282,"m1",8,"P_RAG1KO","poolC1"
"120","PBANKA_031590",3.07698807970804,"m1",8,"P_RAG1KO","poolC1"
"121","PBANKA_051760",0.331148562646231,"m1",8,"P_RAG1KO","poolC1"
"122","PBANKA_070700",2.24198668011683,"m1",8,"P_RAG1KO","poolC1"
"123","PBANKA_030240",1.07794930839068,"m1",8,"P_RAG1KO","poolC1"
