"","gene","abundance","mice","day","background","pool"
"1","PBANKA_010720",10.6642232510288,"m1",8,"NP_BL6","PbSTM155_PbSTM158"
"2","PBANKA_140160",0.00643004115226337,"m1",8,"NP_BL6","PbSTM155_PbSTM158"
"3","PBANKA_010780",NA,"m1",8,"NP_BL6","PbSTM155_PbSTM158"
"4","PBANKA_133690",1.45961934156379,"m1",8,"NP_BL6","PbSTM155_PbSTM158"
"5","PBANKA_103780",1.21170553269319,"m1",8,"NP_BL6","PbSTM155_PbSTM158"
"6","PBANKA_101610",1.31672953818016,"m1",8,"NP_BL6","PbSTM155_PbSTM158"
"7","PBANKA_041850",7.57601737540009,"m1",8,"NP_BL6","PbSTM155_PbSTM158"
"8","PBANKA_083610",0.060728166438043,"m1",8,"NP_BL6","PbSTM155_PbSTM158"
"9","PBANKA_041190",1.35030864197531,"m1",8,"NP_BL6","PbSTM155_PbSTM158"
"10","PBANKA_104030",0.0317929812528578,"m1",8,"NP_BL6","PbSTM155_PbSTM158"
"11","PBANKA_020760",0.153249314128944,"m1",8,"NP_BL6","PbSTM155_PbSTM158"
"12","PBANKA_051500",1.80791323731139,"m1",8,"NP_BL6","PbSTM155_PbSTM158"
"13","PBANKA_132420",0.346864997713763,"m1",8,"NP_BL6","PbSTM155_PbSTM158"
"14","PBANKA_110420",NA,"m1",8,"NP_BL6","PbSTM155_PbSTM158"
"15","PBANKA_112510",0.435813900320073,"m1",8,"NP_BL6","PbSTM155_PbSTM158"
"16","PBANKA_041065",0.944501600365798,"m1",8,"NP_BL6","PbSTM155_PbSTM158"
"17","PBANKA_051700",2.33339048925469,"m1",8,"NP_BL6","PbSTM155_PbSTM158"
"18","PBANKA_140060",NA,"m1",8,"NP_BL6","PbSTM155_PbSTM158"
"19","PBANKA_120070",0.0160751028806584,"m1",8,"NP_BL6","PbSTM155_PbSTM158"
"20","PBANKA_062350",NA,"m1",8,"NP_BL6","PbSTM155_PbSTM158"
"21","PBANKA_094130",0.0643004115226337,"m1",8,"NP_BL6","PbSTM155_PbSTM158"
"22","PBANKA_120790",0.263988911751257,"m1",8,"NP_BL6","PbSTM155_PbSTM158"
"23","PBANKA_083660",1.75147176497485,"m1",8,"NP_BL6","PbSTM155_PbSTM158"
"24","PBANKA_070120",1.15490683584819,"m1",8,"NP_BL6","PbSTM155_PbSTM158"
"25","PBANKA_061580",NA,"m1",8,"NP_BL6","PbSTM155_PbSTM158"
"26","PBANKA_083210",0.559056355738455,"m1",8,"NP_BL6","PbSTM155_PbSTM158"
"27","PBANKA_060990",NA,"m1",8,"NP_BL6","PbSTM155_PbSTM158"
"28","PBANKA_102390",1.29493884316415,"m1",8,"NP_BL6","PbSTM155_PbSTM158"
"29","PBANKA_120520",4.7957390260631,"m1",8,"NP_BL6","PbSTM155_PbSTM158"
"30","PBANKA_143540",0.0167895518975766,"m1",8,"NP_BL6","PbSTM155_PbSTM158"
"31","PBANKA_093830",NA,"m1",8,"NP_BL6","PbSTM155_PbSTM158"
"32","PBANKA_091510",0.627643461362597,"m1",8,"NP_BL6","PbSTM155_PbSTM158"
"33","PBANKA_052320",0.192901234567901,"m1",8,"NP_BL6","PbSTM155_PbSTM158"
"34","PBANKA_051810",0.753386488340192,"m1",8,"NP_BL6","PbSTM155_PbSTM158"
"35","PBANKA_100860",0.227909236396891,"m1",8,"NP_BL6","PbSTM155_PbSTM158"
"36","PBANKA_051080",0.0492969821673525,"m1",8,"NP_BL6","PbSTM155_PbSTM158"
"37","PBANKA_090270",4.12558584819387,"m1",8,"NP_BL6","PbSTM155_PbSTM158"
"38","PBANKA_092770",0.0828760859625057,"m1",8,"NP_BL6","PbSTM155_PbSTM158"
"39","PBANKA_100120",1.63751714677641,"m1",8,"NP_BL6","PbSTM155_PbSTM158"
"40","PBANKA_111210",0.410450960219479,"m1",8,"NP_BL6","PbSTM155_PbSTM158"
"41","PBANKA_111760",2.61702674897119,"m1",8,"NP_BL6","PbSTM155_PbSTM158"
"42","PBANKA_110130",NA,"m1",8,"NP_BL6","PbSTM155_PbSTM158"
"43","PBANKA_134910",0.00464391860996799,"m1",8,"NP_BL6","PbSTM155_PbSTM158"
"44","PBANKA_133870",NA,"m1",8,"NP_BL6","PbSTM155_PbSTM158"
"45","PBANKA_031000",0.217192501143118,"m1",8,"NP_BL6","PbSTM155_PbSTM158"
"46","PBANKA_103440",0.0346507773205304,"m1",8,"NP_BL6","PbSTM155_PbSTM158"
"47","PBANKA_100060",0.0900205761316872,"m1",8,"NP_BL6","PbSTM155_PbSTM158"
"48","PBANKA_060880",0.754815386374028,"m1",8,"NP_BL6","PbSTM155_PbSTM158"
"49","PBANKA_135130",NA,"m1",8,"NP_BL6","PbSTM155_PbSTM158"
"50","PBANKA_131150",3.23181012802926,"m1",8,"NP_BL6","PbSTM155_PbSTM158"
"51","PBANKA_052480",0.0868055555555556,"m1",8,"NP_BL6","PbSTM155_PbSTM158"
"52","PBANKA_050120",2.19978852309099,"m1",8,"NP_BL6","PbSTM155_PbSTM158"
"53","PBANKA_062320",0.0414380429812529,"m1",8,"NP_BL6","PbSTM155_PbSTM158"
"54","PBANKA_100760",0.404020919067215,"m1",8,"NP_BL6","PbSTM155_PbSTM158"
