"","gene","abundance","mice","day","background","pool"
"1","PBANKA_101810",1.07502621205887,"m1",8,"NP_BL6","pool1"
"2","PBANKA_082040",0.840113076831194,"m1",8,"NP_BL6","pool1"
"3","PBANKA_142220",0.536185913175043,"m1",8,"NP_BL6","pool1"
"4","PBANKA_101700",0.652978884361687,"m1",8,"NP_BL6","pool1"
"5","PBANKA_131140",2.06643927429095,"m1",8,"NP_BL6","pool1"
"6","PBANKA_031580",6.48333709371309,"m1",8,"NP_BL6","pool1"
"7","PBANKA_051490",3.17862688627284,"m1",8,"NP_BL6","pool1"
"8","PBANKA_060800",1.28339549019868,"m1",8,"NP_BL6","pool1"
"9","PBANKA_143030",0.95425166230905,"m1",8,"NP_BL6","pool1"
"10","PBANKA_060620",2.15536119553532,"m1",8,"NP_BL6","pool1"
"11","PBANKA_123360",2.32524188089771,"m1",8,"NP_BL6","pool1"
"12","PBANKA_135260",2.58669887321327,"m1",8,"NP_BL6","pool1"
"13","PBANKA_121260",0.936998155201932,"m1",8,"NP_BL6","pool1"
"14","PBANKA_113980",0.960887626581019,"m1",8,"NP_BL6","pool1"
"15","PBANKA_100240",0.191115771032689,"m1",8,"NP_BL6","pool1"
"16","PBANKA_112810",0.392849084900527,"m1",8,"NP_BL6","pool1"
"17","PBANKA_101750",0.228277170955712,"m1",8,"NP_BL6","pool1"
"18","PBANKA_142590",0.0371613999230228,"m1",8,"NP_BL6","pool1"
"19","PBANKA_140410",0.126083321167399,"m1",8,"NP_BL6","pool1"
"20","PBANKA_051300",0.946288505182688,"m1",8,"NP_BL6","pool1"
"21","PBANKA_031480",5.14021792506669,"m1",8,"NP_BL6","pool1"
"22","PBANKA_051500",4.91194075411098,"m1",8,"NP_BL6","pool1"
"23","PBANKA_082320",0.987431483668892,"m1",8,"NP_BL6","pool1"
"24","PBANKA_111920",0.395503470609314,"m1",8,"NP_BL6","pool1"
"25","PBANKA_124120",1.14138585477856,"m1",8,"NP_BL6","pool1"
"26","PBANKA_100640",0.387540313482952,"m1",8,"NP_BL6","pool1"
"27","PBANKA_103780",3.1467742577674,"m1",8,"NP_BL6","pool1"
"28","PBANKA_110690",0.804278869762565,"m1",8,"NP_BL6","pool1"
"29","PBANKA_145770",1.9085033246181,"m1",8,"NP_BL6","pool1"
"30","PBANKA_091600",0.647670112944112,"m1",8,"NP_BL6","pool1"
"31","PBANKA_140160",0.0238894713790861,"m1",8,"NP_BL6","pool1"
"32","PBANKA_103440",0.0106175428351494,"m1",8,"NP_BL6","pool1"
"33","PBANKA_133580",1.35771829004473,"m1",8,"NP_BL6","pool1"
"34","PBANKA_093290",3.0206909366,"m1",8,"NP_BL6","pool1"
"35","PBANKA_132910",2.04520418862065,"m1",8,"NP_BL6","pool1"
"36","PBANKA_146060",2.9782207652594,"m1",8,"NP_BL6","pool1"
"37","PBANKA_110420",0.00530877141757469,"m1",8,"NP_BL6","pool1"
"38","PBANKA_031590",2.03193226007671,"m1",8,"NP_BL6","pool1"
"39","PBANKA_051220",0.371613999230228,"m1",8,"NP_BL6","pool1"
