"","gene","abundance","mice","day","background","pool"
"1","PBANKA_051490",0.575548569730524,"m1",8,"NP_RAG1KO","pool3"
"2","PBANKA_134230",0.208792755595177,"m1",8,"NP_RAG1KO","pool3"
"3","PBANKA_051500",0.30967015436588,"m1",8,"NP_RAG1KO","pool3"
"4","PBANKA_103780",0.165001016593941,"m1",8,"NP_RAG1KO","pool3"
"5","PBANKA_140160",0.0101659394110011,"m1",8,"NP_RAG1KO","pool3"
"6","PBANKA_102460",1.21756674330221,"m1",8,"NP_RAG1KO","pool3"
"7","PBANKA_010110",5.68823409812478,"m1",8,"NP_RAG1KO","pool3"
"8","PBANKA_120290",0.462941240870204,"m1",8,"NP_RAG1KO","pool3"
"9","PBANKA_071020",2.13328328563162,"m1",8,"NP_RAG1KO","pool3"
"10","PBANKA_145540",0.416803515851046,"m1",8,"NP_RAG1KO","pool3"
"11","PBANKA_133820",0.613084346017298,"m1",8,"NP_RAG1KO","pool3"
"12","PBANKA_112920",0.293248252240417,"m1",8,"NP_RAG1KO","pool3"
"13","PBANKA_011160",4.31817826365755,"m1",8,"NP_RAG1KO","pool3"
"14","PBANKA_120400",0.00312798135723111,"m1",8,"NP_RAG1KO","pool3"
"15","PBANKA_010940",0.445737343405433,"m1",8,"NP_RAG1KO","pool3"
"16","PBANKA_141230",0.158745053879479,"m1",8,"NP_RAG1KO","pool3"
"17","PBANKA_121220",0.0398817623046967,"m1",8,"NP_RAG1KO","pool3"
"18","PBANKA_030140",1.2566665102676,"m1",8,"NP_RAG1KO","pool3"
"19","PBANKA_093380",0.252584494596412,"m1",8,"NP_RAG1KO","pool3"
"20","PBANKA_061640",0.47154318960259,"m1",8,"NP_RAG1KO","pool3"
"21","PBANKA_135820",1.68676394688688,"m1",8,"NP_RAG1KO","pool3"
"22","PBANKA_140450",2.25449256322432,"m1",8,"NP_RAG1KO","pool3"
"23","PBANKA_101210",0.0218958695006178,"m1",8,"NP_RAG1KO","pool3"
"24","PBANKA_092600",0.0172038974647711,"m1",8,"NP_RAG1KO","pool3"
"25","PBANKA_113280",2.27638843272494,"m1",8,"NP_RAG1KO","pool3"
"26","PBANKA_041590",0.0547396737515444,"m1",8,"NP_RAG1KO","pool3"
"27","PBANKA_080640",0.487965091728053,"m1",8,"NP_RAG1KO","pool3"
"28","PBANKA_121140",0.621686294749683,"m1",8,"NP_RAG1KO","pool3"
"29","PBANKA_030770",0.153271086504324,"m1",8,"NP_RAG1KO","pool3"
"30","PBANKA_144170",0.487965091728053,"m1",8,"NP_RAG1KO","pool3"
"31","PBANKA_120740",0.565382630319523,"m1",8,"NP_RAG1KO","pool3"
"32","PBANKA_134420",1.85489294483805,"m1",8,"NP_RAG1KO","pool3"
"33","PBANKA_142710",0.148579114468478,"m1",8,"NP_RAG1KO","pool3"
"34","PBANKA_050720",0.08445549664524,"m1",8,"NP_RAG1KO","pool3"
"35","PBANKA_091240",0.905550602918407,"m1",8,"NP_RAG1KO","pool3"
"36","PBANKA_083290",NA,"m1",8,"NP_RAG1KO","pool3"
"37","PBANKA_145980",0.0946214360562411,"m1",8,"NP_RAG1KO","pool3"
"38","PBANKA_110700",0.0664696038411611,"m1",8,"NP_RAG1KO","pool3"
"39","PBANKA_131420",0.0367537809474656,"m1",8,"NP_RAG1KO","pool3"
"40","PBANKA_102760",0.54896072819406,"m1",8,"NP_RAG1KO","pool3"
"41","PBANKA_100250",1.83065108931951,"m1",8,"NP_RAG1KO","pool3"
"42","PBANKA_103210",0.0586496504480833,"m1",8,"NP_RAG1KO","pool3"
"43","PBANKA_121060",0.47154318960259,"m1",8,"NP_RAG1KO","pool3"
"44","PBANKA_020830",0.0899294640203944,"m1",8,"NP_RAG1KO","pool3"
