"","gene","abundance","mice","day","background","pool"
"1","PBANKA_101810",0.129612523004433,"m1",8,"NP_RAG1KO","poolC1"
"2","PBANKA_082040",0.305054888397173,"m1",8,"NP_RAG1KO","poolC1"
"3","PBANKA_142220",0.217691751344461,"m1",8,"NP_RAG1KO","poolC1"
"4","PBANKA_101700",0.257076772146913,"m1",8,"NP_RAG1KO","poolC1"
"5","PBANKA_131140",1.29254477360774,"m1",8,"NP_RAG1KO","poolC1"
"6","PBANKA_031580",0.0193344647575673,"m1",8,"NP_RAG1KO","poolC1"
"7","PBANKA_051490",7.23610245834139,"m1",8,"NP_RAG1KO","poolC1"
"8","PBANKA_123360",1.2123425494282,"m1",8,"NP_RAG1KO","poolC1"
"9","PBANKA_135260",3.80888955724076,"m1",8,"NP_RAG1KO","poolC1"
"10","PBANKA_121260",0.321524988005471,"m1",8,"NP_RAG1KO","poolC1"
"11","PBANKA_113980",0.662384440768509,"m1",8,"NP_RAG1KO","poolC1"
"12","PBANKA_112810",0.00286436514926923,"m1",8,"NP_RAG1KO","poolC1"
"13","PBANKA_103520",0.00859309544780769,"m1",8,"NP_RAG1KO","poolC1"
"14","PBANKA_051300",0.302906614535221,"m1",8,"NP_RAG1KO","poolC1"
"15","PBANKA_031480",1.8203040523606,"m1",8,"NP_RAG1KO","poolC1"
"16","PBANKA_080690",0.0171861908956154,"m1",8,"NP_RAG1KO","poolC1"
"17","PBANKA_082320",1.21950346230137,"m1",8,"NP_RAG1KO","poolC1"
"18","PBANKA_100640",2.53353097452863,"m1",8,"NP_RAG1KO","poolC1"
"19","PBANKA_103780",0.00143218257463461,"m1",8,"NP_RAG1KO","poolC1"
"20","PBANKA_145770",0.910868117467615,"m1",8,"NP_RAG1KO","poolC1"
"21","PBANKA_140160",0.00572873029853846,"m1",8,"NP_RAG1KO","poolC1"
"22","PBANKA_133580",0.594355768473365,"m1",8,"NP_RAG1KO","poolC1"
"23","PBANKA_093290",3.55968978925433,"m1",8,"NP_RAG1KO","poolC1"
"24","PBANKA_132910",1.10206449118134,"m1",8,"NP_RAG1KO","poolC1"
"25","PBANKA_146060",2.94241909958682,"m1",8,"NP_RAG1KO","poolC1"
"26","PBANKA_031590",2.87868697501558,"m1",8,"NP_RAG1KO","poolC1"
"27","PBANKA_051760",0.19406073886299,"m1",8,"NP_RAG1KO","poolC1"
"28","PBANKA_070700",1.90981546327526,"m1",8,"NP_RAG1KO","poolC1"
"29","PBANKA_030240",0.491238623099673,"m1",8,"NP_RAG1KO","poolC1"
"30","PBANKA_133090",1.03045536244961,"m1",8,"NP_RAG1KO","poolC1"
"31","PBANKA_143630",1.18513108051014,"m1",8,"NP_RAG1KO","poolC1"
"32","PBANKA_052230",0.648062615022163,"m1",8,"NP_RAG1KO","poolC1"
"33","PBANKA_143060",0.133192979441019,"m1",8,"NP_RAG1KO","poolC1"
"34","PBANKA_131530",0.842839445172471,"m1",8,"NP_RAG1KO","poolC1"
"35","PBANKA_134630",0.784119959612451,"m1",8,"NP_RAG1KO","poolC1"
"36","PBANKA_103240",1.20088508883112,"m1",8,"NP_RAG1KO","poolC1"
"37","PBANKA_062030",0.209814747183971,"m1",8,"NP_RAG1KO","poolC1"
"38","PBANKA_093080",0.00286436514926923,"m1",8,"NP_RAG1KO","poolC1"
"39","PBANKA_143440",0.701053370283644,"m1",8,"NP_RAG1KO","poolC1"
"40","PBANKA_102460",0.377380108416221,"m1",8,"NP_RAG1KO","poolC1"
"41","PBANKA_010110",2.60084355553646,"m1",8,"NP_RAG1KO","poolC1"
"42","PBANKA_120290",0.148946987762,"m1",8,"NP_RAG1KO","poolC1"
"43","PBANKA_071020",0.100252780224423,"m1",8,"NP_RAG1KO","poolC1"
"44","PBANKA_093100",0.155391809347856,"m1",8,"NP_RAG1KO","poolC1"
