"","gene","abundance","mice","day","background","pool"
"1","PBANKA_051490",2.09492482299285,"m1",8,"P_BL6","pool3"
"2","PBANKA_134230",0.922653415917229,"m1",8,"P_BL6","pool3"
"3","PBANKA_051500",3.61829443258565,"m1",8,"P_BL6","pool3"
"4","PBANKA_103780",0.850334184833957,"m1",8,"P_BL6","pool3"
"5","PBANKA_140160",NA,"m1",8,"P_BL6","pool3"
"6","PBANKA_102460",0.401255088591058,"m1",8,"P_BL6","pool3"
"7","PBANKA_010110",3.93789877640527,"m1",8,"P_BL6","pool3"
"8","PBANKA_120290",0.388424257269832,"m1",8,"P_BL6","pool3"
"9","PBANKA_071020",3.58330125625503,"m1",8,"P_BL6","pool3"
"10","PBANKA_145540",0.823506082980485,"m1",8,"P_BL6","pool3"
"11","PBANKA_133820",0.677701181602921,"m1",8,"P_BL6","pool3"
"12","PBANKA_020900",NA,"m1",8,"P_BL6","pool3"
"13","PBANKA_112920",0.90049107090784,"m1",8,"P_BL6","pool3"
"14","PBANKA_011160",3.04790565839661,"m1",8,"P_BL6","pool3"
"15","PBANKA_120400",0.141139144533483,"m1",8,"P_BL6","pool3"
"16","PBANKA_010940",0.358096837783299,"m1",8,"P_BL6","pool3"
"17","PBANKA_141230",0.530729841014336,"m1",8,"P_BL6","pool3"
"18","PBANKA_121220",NA,"m1",8,"P_BL6","pool3"
"19","PBANKA_030140",0.164467928753893,"m1",8,"P_BL6","pool3"
"20","PBANKA_093380",0.376759865159627,"m1",8,"P_BL6","pool3"
"21","PBANKA_061640",1.07195763492786,"m1",8,"P_BL6","pool3"
"22","PBANKA_135820",1.83364243972425,"m1",8,"P_BL6","pool3"
"23","PBANKA_140450",1.1652727718095,"m1",8,"P_BL6","pool3"
"24","PBANKA_101210",NA,"m1",8,"P_BL6","pool3"
"25","PBANKA_092600",NA,"m1",8,"P_BL6","pool3"
"26","PBANKA_113280",2.37487023363777,"m1",8,"P_BL6","pool3"
"27","PBANKA_041590",0.187796712974303,"m1",8,"P_BL6","pool3"
"28","PBANKA_080640",1.43005447271115,"m1",8,"P_BL6","pool3"
"29","PBANKA_121140",0.00583219605510259,"m1",8,"P_BL6","pool3"
"30","PBANKA_030770",NA,"m1",8,"P_BL6","pool3"
"31","PBANKA_144170",0.306773512498396,"m1",8,"P_BL6","pool3"
"32","PBANKA_120740",0.56222369971189,"m1",8,"P_BL6","pool3"
"33","PBANKA_134420",2.16841049328714,"m1",8,"P_BL6","pool3"
"34","PBANKA_142710",0.33710093198493,"m1",8,"P_BL6","pool3"
"35","PBANKA_050720",0.45141197466494,"m1",8,"P_BL6","pool3"
"36","PBANKA_091910",NA,"m1",8,"P_BL6","pool3"
"37","PBANKA_091240",NA,"m1",8,"P_BL6","pool3"
"38","PBANKA_145980",NA,"m1",8,"P_BL6","pool3"
"39","PBANKA_110700",NA,"m1",8,"P_BL6","pool3"
"40","PBANKA_131420",NA,"m1",8,"P_BL6","pool3"
"41","PBANKA_102760",0.198294665873488,"m1",8,"P_BL6","pool3"
"42","PBANKA_100250",0.96931098435805,"m1",8,"P_BL6","pool3"
"43","PBANKA_103210",0.0641541566061285,"m1",8,"P_BL6","pool3"
"44","PBANKA_121060",0.369761229893504,"m1",8,"P_BL6","pool3"
"45","PBANKA_020830",NA,"m1",8,"P_BL6","pool3"
"46","PBANKA_123740",0.975143180413153,"m1",8,"P_BL6","pool3"
"47","PBANKA_040750",NA,"m1",8,"P_BL6","pool3"
"48","PBANKA_135330",1.11045012889153,"m1",8,"P_BL6","pool3"
"49","PBANKA_112390",6.77234605918513,"m1",8,"P_BL6","pool3"
"50","PBANKA_131600",0.326602979085745,"m1",8,"P_BL6","pool3"
"51","PBANKA_114320",1.44638462166544,"m1",8,"P_BL6","pool3"
"52","PBANKA_142930",0.480572954940453,"m1",8,"P_BL6","pool3"
"53","PBANKA_031340",NA,"m1",8,"P_BL6","pool3"
"54","PBANKA_142520",2.25822631253572,"m1",8,"P_BL6","pool3"
"55","PBANKA_121960",0.307939951709417,"m1",8,"P_BL6","pool3"
"56","PBANKA_010240",0.114311042680011,"m1",8,"P_BL6","pool3"
"57","PBANKA_134980",0.398922210169017,"m1",8,"P_BL6","pool3"
"58","PBANKA_071330",0.488738029417597,"m1",8,"P_BL6","pool3"
"59","PBANKA_041450",NA,"m1",8,"P_BL6","pool3"
"60","PBANKA_081280",0.121309677946134,"m1",8,"P_BL6","pool3"
"61","PBANKA_060150",0.195961787451447,"m1",8,"P_BL6","pool3"
"62","PBANKA_071630",1.97011582741365,"m1",8,"P_BL6","pool3"
"63","PBANKA_080060",1.0462959722854,"m1",8,"P_BL6","pool3"
"64","PBANKA_092910",0.688199134502105,"m1",8,"P_BL6","pool3"
"65","PBANKA_083200",1.2620872263242,"m1",8,"P_BL6","pool3"
"66","PBANKA_081910",NA,"m1",8,"P_BL6","pool3"
"67","PBANKA_112120",0.619379221051895,"m1",8,"P_BL6","pool3"
"68","PBANKA_140170",2.53233952712554,"m1",8,"P_BL6","pool3"
"69","PBANKA_070210",1.67267382860342,"m1",8,"P_BL6","pool3"
"70","PBANKA_070270",3.3430147787848,"m1",8,"P_BL6","pool3"
"71","PBANKA_131070",7.0662887403623,"m1",8,"P_BL6","pool3"
"72","PBANKA_021330",3.76876509080729,"m1",8,"P_BL6","pool3"
"73","PBANKA_110490",0.827005400613547,"m1",8,"P_BL6","pool3"
"74","PBANKA_071550",0.127141874001236,"m1",8,"P_BL6","pool3"
"75","PBANKA_141470",4.93753718024985,"m1",8,"P_BL6","pool3"
"76","PBANKA_142530",5.60124109132053,"m1",8,"P_BL6","pool3"
"77","PBANKA_082380",1.82547736524711,"m1",8,"P_BL6","pool3"
"78","PBANKA_114340",1.44521818245442,"m1",8,"P_BL6","pool3"
"79","PBANKA_135970",6.88432422344309,"m1",8,"P_BL6","pool3"
"80","PBANKA_113420",0.186630273763283,"m1",8,"P_BL6","pool3"
"81","PBANKA_093150",0.92498629433927,"m1",8,"P_BL6","pool3"
"82","PBANKA_100210",1.08245558782704,"m1",8,"P_BL6","pool3"
"83","PBANKA_030600",0.877162286687429,"m1",8,"P_BL6","pool3"
"84","PBANKA_051490",0.482637583051272,"m1",9,"P_BL6","pool3"
"85","PBANKA_134230",0.379215243826,"m1",9,"P_BL6","pool3"
"86","PBANKA_051500",0.730224395136016,"m1",9,"P_BL6","pool3"
"87","PBANKA_103780",0.301909656930341,"m1",9,"P_BL6","pool3"
"88","PBANKA_140160",0.151477163511763,"m1",9,"P_BL6","pool3"
"89","PBANKA_102460",1.03683506748569,"m1",9,"P_BL6","pool3"
"90","PBANKA_010110",4.08361539425849,"m1",9,"P_BL6","pool3"
"91","PBANKA_120290",0.31757970832811,"m1",9,"P_BL6","pool3"
"92","PBANKA_071020",4.33694789185575,"m1",9,"P_BL6","pool3"
"93","PBANKA_145540",0.501963979775187,"m1",9,"P_BL6","pool3"
"94","PBANKA_133820",0.35414316158957,"m1",9,"P_BL6","pool3"
"95","PBANKA_020900",0.000522335046592286,"m1",9,"P_BL6","pool3"
"96","PBANKA_112920",0.936546738539969,"m1",9,"P_BL6","pool3"
"97","PBANKA_011160",3.98541640549914,"m1",9,"P_BL6","pool3"
"98","PBANKA_120400",NA,"m1",9,"P_BL6","pool3"
"99","PBANKA_010940",0.628891396097113,"m1",9,"P_BL6","pool3"
"100","PBANKA_141230",0.583970582090176,"m1",9,"P_BL6","pool3"
"101","PBANKA_121220",0.0464878191467135,"m1",9,"P_BL6","pool3"
"102","PBANKA_030140",1.08541222681877,"m1",9,"P_BL6","pool3"
"103","PBANKA_093380",0.78141322970206,"m1",9,"P_BL6","pool3"
"104","PBANKA_061640",0.630980736283482,"m1",9,"P_BL6","pool3"
"105","PBANKA_135820",4.39388241193431,"m1",9,"P_BL6","pool3"
"106","PBANKA_140450",1.64587773181229,"m1",9,"P_BL6","pool3"
"107","PBANKA_101210",0.0992436588525344,"m1",9,"P_BL6","pool3"
"108","PBANKA_092600",0.0668588859638126,"m1",9,"P_BL6","pool3"
"109","PBANKA_113280",2.04598637750198,"m1",9,"P_BL6","pool3"
"110","PBANKA_041590",0.0778279219422506,"m1",9,"P_BL6","pool3"
"111","PBANKA_080640",1.40246960010029,"m1",9,"P_BL6","pool3"
"112","PBANKA_121140",0.352576156449793,"m1",9,"P_BL6","pool3"
"113","PBANKA_030770",0.208411683590322,"m1",9,"P_BL6","pool3"
"114","PBANKA_144170",0.559943169946931,"m1",9,"P_BL6","pool3"
"115","PBANKA_120740",0.766265513350884,"m1",9,"P_BL6","pool3"
"116","PBANKA_134420",2.15724374242614,"m1",9,"P_BL6","pool3"
"117","PBANKA_142710",0.707241653085955,"m1",9,"P_BL6","pool3"
"118","PBANKA_050720",0.412122351761314,"m1",9,"P_BL6","pool3"
"119","PBANKA_091910",NA,"m1",9,"P_BL6","pool3"
"120","PBANKA_091240",0.392273619990807,"m1",9,"P_BL6","pool3"
"121","PBANKA_145980",0.058501525218336,"m1",9,"P_BL6","pool3"
"122","PBANKA_110700",0.0396974635410137,"m1",9,"P_BL6","pool3"
"123","PBANKA_131420",0.0710375663365509,"m1",9,"P_BL6","pool3"
"124","PBANKA_102760",0.53696042789687,"m1",9,"P_BL6","pool3"
"125","PBANKA_100250",1.50641427437215,"m1",9,"P_BL6","pool3"
"126","PBANKA_103210",0.0955873135263884,"m1",9,"P_BL6","pool3"
"127","PBANKA_121060",0.509276670427479,"m1",9,"P_BL6","pool3"
"128","PBANKA_020830",0.021938071956876,"m1",9,"P_BL6","pool3"
"129","PBANKA_123740",0.684781246082487,"m1",9,"P_BL6","pool3"
"130","PBANKA_040750",0.0355187831682755,"m1",9,"P_BL6","pool3"
"131","PBANKA_135330",0.695750282060925,"m1",9,"P_BL6","pool3"
"132","PBANKA_112390",10.023609544106,"m1",9,"P_BL6","pool3"
"133","PBANKA_131600",0.186995946680038,"m1",9,"P_BL6","pool3"
"134","PBANKA_114320",1.54767874305294,"m1",9,"P_BL6","pool3"
"135","PBANKA_142930",0.502486314821779,"m1",9,"P_BL6","pool3"
"136","PBANKA_031340",0.0595461953115206,"m1",9,"P_BL6","pool3"
"137","PBANKA_142520",2.95171534829301,"m1",9,"P_BL6","pool3"
"138","PBANKA_121960",0.373469558313485,"m1",9,"P_BL6","pool3"
"139","PBANKA_010240",0.0720822364297355,"m1",9,"P_BL6","pool3"
"140","PBANKA_134980",0.522335046592286,"m1",9,"P_BL6","pool3"
"141","PBANKA_071330",1.01280765534244,"m1",9,"P_BL6","pool3"
"142","PBANKA_041450",0.0141030462579917,"m1",9,"P_BL6","pool3"
"143","PBANKA_081280",0.0538005097990055,"m1",9,"P_BL6","pool3"
"144","PBANKA_060150",0.241318791525636,"m1",9,"P_BL6","pool3"
"145","PBANKA_071630",1.79839956541724,"m1",9,"P_BL6","pool3"
"146","PBANKA_080060",0.907818310977393,"m1",9,"P_BL6","pool3"
"147","PBANKA_092910",0.209456353683507,"m1",9,"P_BL6","pool3"
"148","PBANKA_083200",1.18831223099745,"m1",9,"P_BL6","pool3"
"149","PBANKA_081910",0.0564121850319669,"m1",9,"P_BL6","pool3"
"150","PBANKA_112120",0.341607120471355,"m1",9,"P_BL6","pool3"
"151","PBANKA_140170",2.76367473151979,"m1",9,"P_BL6","pool3"
"152","PBANKA_070210",1.70072291170448,"m1",9,"P_BL6","pool3"
"153","PBANKA_070270",4.24292758346914,"m1",9,"P_BL6","pool3"
"154","PBANKA_131070",5.19305503322051,"m1",9,"P_BL6","pool3"
"155","PBANKA_021330",3.65373365091304,"m1",9,"P_BL6","pool3"
