"","gene","abundance","mice","day","background","pool"
"1","PBANKA_010720",18.2725945833237,"m1",8,"P_RAG1KO","PbSTM139_PbSTM145"
"2","PBANKA_140160",0.0179551931052058,"m1",8,"P_RAG1KO","PbSTM139_PbSTM145"
"3","PBANKA_010780",0.024326390658666,"m1",8,"P_RAG1KO","PbSTM139_PbSTM145"
"4","PBANKA_133690",0.854030072052452,"m1",8,"P_RAG1KO","PbSTM139_PbSTM145"
"5","PBANKA_103780",1.54125060815977,"m1",8,"P_RAG1KO","PbSTM139_PbSTM145"
"6","PBANKA_101610",2.12131918541343,"m1",8,"P_RAG1KO","PbSTM139_PbSTM145"
"7","PBANKA_041850",9.20058846697403,"m1",8,"P_RAG1KO","PbSTM139_PbSTM145"
"8","PBANKA_041190",0.190267126937423,"m1",8,"P_RAG1KO","PbSTM139_PbSTM145"
"9","PBANKA_104030",0.310451080786785,"m1",8,"P_RAG1KO","PbSTM139_PbSTM145"
"10","PBANKA_051500",1.04748279776661,"m1",8,"P_RAG1KO","PbSTM139_PbSTM145"
"11","PBANKA_132420",0.0188239927715868,"m1",8,"P_RAG1KO","PbSTM139_PbSTM145"
"12","PBANKA_110420",0.0191135926603804,"m1",8,"P_RAG1KO","PbSTM139_PbSTM145"
"13","PBANKA_112510",0.485948613395732,"m1",8,"P_RAG1KO","PbSTM139_PbSTM145"
"14","PBANKA_041065",1.73615133331789,"m1",8,"P_RAG1KO","PbSTM139_PbSTM145"
"15","PBANKA_051700",0.144799944396821,"m1",8,"P_RAG1KO","PbSTM139_PbSTM145"
"16","PBANKA_120070",0.0144799944396821,"m1",8,"P_RAG1KO","PbSTM139_PbSTM145"
"17","PBANKA_062350",NA,"m1",8,"P_RAG1KO","PbSTM139_PbSTM145"
"18","PBANKA_094130",NA,"m1",8,"P_RAG1KO","PbSTM139_PbSTM145"
"19","PBANKA_120790",2.82041331696129,"m1",8,"P_RAG1KO","PbSTM139_PbSTM145"
"20","PBANKA_083660",0.885886059819753,"m1",8,"P_RAG1KO","PbSTM139_PbSTM145"
"21","PBANKA_083210",0.260929499803072,"m1",8,"P_RAG1KO","PbSTM139_PbSTM145"
"22","PBANKA_060990",NA,"m1",8,"P_RAG1KO","PbSTM139_PbSTM145"
"23","PBANKA_102390",0.385747051873132,"m1",8,"P_RAG1KO","PbSTM139_PbSTM145"
"24","PBANKA_120520",2.81259411996386,"m1",8,"P_RAG1KO","PbSTM139_PbSTM145"
"25","PBANKA_143540",0.00115839955517457,"m1",8,"P_RAG1KO","PbSTM139_PbSTM145"
"26","PBANKA_091510",0.877198063155944,"m1",8,"P_RAG1KO","PbSTM139_PbSTM145"
"27","PBANKA_052320",0.106572759076061,"m1",8,"P_RAG1KO","PbSTM139_PbSTM145"
"28","PBANKA_051810",0.339411069666149,"m1",8,"P_RAG1KO","PbSTM139_PbSTM145"
"29","PBANKA_100860",0.165071936612376,"m1",8,"P_RAG1KO","PbSTM139_PbSTM145"
"30","PBANKA_051080",0.12163195329333,"m1",8,"P_RAG1KO","PbSTM139_PbSTM145"
"31","PBANKA_090270",5.54207307184394,"m1",8,"P_RAG1KO","PbSTM139_PbSTM145"
"32","PBANKA_092770",0.616558163241665,"m1",8,"P_RAG1KO","PbSTM139_PbSTM145"
"33","PBANKA_100120",3.34922271389848,"m1",8,"P_RAG1KO","PbSTM139_PbSTM145"
"34","PBANKA_111210",0.941778838356926,"m1",8,"P_RAG1KO","PbSTM139_PbSTM145"
"35","PBANKA_111760",3.91191529782453,"m1",8,"P_RAG1KO","PbSTM139_PbSTM145"
"36","PBANKA_134910",0.00115839955517457,"m1",8,"P_RAG1KO","PbSTM139_PbSTM145"
"37","PBANKA_031000",0.0130319949957139,"m1",8,"P_RAG1KO","PbSTM139_PbSTM145"
"38","PBANKA_103440",NA,"m1",8,"P_RAG1KO","PbSTM139_PbSTM145"
"39","PBANKA_100060",0.32753747422561,"m1",8,"P_RAG1KO","PbSTM139_PbSTM145"
"40","PBANKA_060880",0.463359822069828,"m1",8,"P_RAG1KO","PbSTM139_PbSTM145"
"41","PBANKA_131150",0.68055973866506,"m1",8,"P_RAG1KO","PbSTM139_PbSTM145"
"42","PBANKA_052480",1.04458679887867,"m1",8,"P_RAG1KO","PbSTM139_PbSTM145"
"43","PBANKA_050120",3.6990593795612,"m1",8,"P_RAG1KO","PbSTM139_PbSTM145"
"44","PBANKA_062320",0.000579199777587285,"m1",8,"P_RAG1KO","PbSTM139_PbSTM145"
"45","PBANKA_100760",0.108020758520029,"m1",8,"P_RAG1KO","PbSTM139_PbSTM145"
"46","PBANKA_133500",0.649282950675347,"m1",8,"P_RAG1KO","PbSTM139_PbSTM145"
"47","PBANKA_140040",0.181868730162408,"m1",8,"P_RAG1KO","PbSTM139_PbSTM145"
"48","PBANKA_110100",0.758172508861757,"m1",8,"P_RAG1KO","PbSTM139_PbSTM145"
"49","PBANKA_021550",1.14102356184695,"m1",8,"P_RAG1KO","PbSTM139_PbSTM145"
"50","PBANKA_021460",0.0286703889905706,"m1",8,"P_RAG1KO","PbSTM139_PbSTM145"
"51","PBANKA_110090",0.0127423951069203,"m1",8,"P_RAG1KO","PbSTM139_PbSTM145"
"52","PBANKA_110430",0.302342283900563,"m1",8,"P_RAG1KO","PbSTM139_PbSTM145"
"53","PBANKA_050060",4.37469592011677,"m1",8,"P_RAG1KO","PbSTM139_PbSTM145"
"54","PBANKA_124380",1.26265551514028,"m1",8,"P_RAG1KO","PbSTM139_PbSTM145"
"55","PBANKA_070440",3.2663971457035,"m1",8,"P_RAG1KO","PbSTM139_PbSTM145"
"56","PBANKA_071420",NA,"m1",8,"P_RAG1KO","PbSTM139_PbSTM145"
"57","PBANKA_114590",0.547633389708778,"m1",8,"P_RAG1KO","PbSTM139_PbSTM145"
"58","PBANKA_051900",0.439323031299956,"m1",8,"P_RAG1KO","PbSTM139_PbSTM145"
"59","PBANKA_132380",1.42251465375437,"m1",8,"P_RAG1KO","PbSTM139_PbSTM145"
"60","PBANKA_100850",0.336225470889419,"m1",8,"P_RAG1KO","PbSTM139_PbSTM145"
"61","PBANKA_041540",2.26727752936543,"m1",8,"P_RAG1KO","PbSTM139_PbSTM145"
"62","PBANKA_133090",2.94870606769687,"m1",8,"P_RAG1KO","PbSTM139_PbSTM145"
"63","PBANKA_123820",NA,"m1",8,"P_RAG1KO","PbSTM139_PbSTM145"
"64","PBANKA_144790",NA,"m1",8,"P_RAG1KO","PbSTM139_PbSTM145"
"65","PBANKA_122090",NA,"m1",8,"P_RAG1KO","PbSTM139_PbSTM145"
"66","PBANKA_104020",0.278015893241897,"m1",8,"P_RAG1KO","PbSTM139_PbSTM145"
"67","PBANKA_052430",0.0275119894353961,"m1",8,"P_RAG1KO","PbSTM139_PbSTM145"
"68","PBANKA_120060",1.20357713782638,"m1",8,"P_RAG1KO","PbSTM139_PbSTM145"
"69","PBANKA_031660",NA,"m1",8,"P_RAG1KO","PbSTM139_PbSTM145"
"70","PBANKA_100010",2.52125663183745,"m1",8,"P_RAG1KO","PbSTM139_PbSTM145"
"71","PBANKA_134540",NA,"m1",8,"P_RAG1KO","PbSTM139_PbSTM145"
"72","PBANKA_132960",0.154356740727012,"m1",8,"P_RAG1KO","PbSTM139_PbSTM145"
"73","PBANKA_110140",0.49608460950351,"m1",8,"P_RAG1KO","PbSTM139_PbSTM145"
"74","PBANKA_083680",0.34983666566272,"m1",8,"P_RAG1KO","PbSTM139_PbSTM145"
"75","PBANKA_051490",1.47203623473809,"m1",8,"P_RAG1KO","PbSTM139_PbSTM145"
"76","PBANKA_133490",1.776695317749,"m1",8,"P_RAG1KO","PbSTM139_PbSTM145"
"77","PBANKA_102910",1.09121238097445,"m1",8,"P_RAG1KO","PbSTM139_PbSTM145"
"78","PBANKA_082530",0.060815976646665,"m1",8,"P_RAG1KO","PbSTM139_PbSTM145"
"79","PBANKA_120710",0.61134536524338,"m1",8,"P_RAG1KO","PbSTM139_PbSTM145"
"80","PBANKA_135800",0.300025484790214,"m1",8,"P_RAG1KO","PbSTM139_PbSTM145"
"81","PBANKA_010220",0.677953339665918,"m1",8,"P_RAG1KO","PbSTM139_PbSTM145"
"82","PBANKA_140330",0.140455946064917,"m1",8,"P_RAG1KO","PbSTM139_PbSTM145"
