"","gene","abundance","mice","day","background","pool"
"1","PBANKA_101810",NA,"m1",8,"NP_BL6","poolC1"
"2","PBANKA_082040",NA,"m1",8,"NP_BL6","poolC1"
"3","PBANKA_142220",NA,"m1",8,"NP_BL6","poolC1"
"4","PBANKA_101700",NA,"m1",8,"NP_BL6","poolC1"
"5","PBANKA_131140",NA,"m1",8,"NP_BL6","poolC1"
"6","PBANKA_031580",NA,"m1",8,"NP_BL6","poolC1"
"7","PBANKA_051490",NA,"m1",8,"NP_BL6","poolC1"
"8","PBANKA_123360",NA,"m1",8,"NP_BL6","poolC1"
"9","PBANKA_082710",NA,"m1",8,"NP_BL6","poolC1"
"10","PBANKA_135260",NA,"m1",8,"NP_BL6","poolC1"
"11","PBANKA_121260",NA,"m1",8,"NP_BL6","poolC1"
"12","PBANKA_113980",NA,"m1",8,"NP_BL6","poolC1"
"13","PBANKA_112810",NA,"m1",8,"NP_BL6","poolC1"
"14","PBANKA_103520",NA,"m1",8,"NP_BL6","poolC1"
"15","PBANKA_051300",NA,"m1",8,"NP_BL6","poolC1"
"16","PBANKA_031480",NA,"m1",8,"NP_BL6","poolC1"
"17","PBANKA_080690",NA,"m1",8,"NP_BL6","poolC1"
"18","PBANKA_082320",NA,"m1",8,"NP_BL6","poolC1"
"19","PBANKA_100640",NA,"m1",8,"NP_BL6","poolC1"
"20","PBANKA_103780",NA,"m1",8,"NP_BL6","poolC1"
"21","PBANKA_145770",NA,"m1",8,"NP_BL6","poolC1"
"22","PBANKA_140160",NA,"m1",8,"NP_BL6","poolC1"
"23","PBANKA_133580",NA,"m1",8,"NP_BL6","poolC1"
"24","PBANKA_093290",NA,"m1",8,"NP_BL6","poolC1"
"25","PBANKA_132910",NA,"m1",8,"NP_BL6","poolC1"
"26","PBANKA_146060",NA,"m1",8,"NP_BL6","poolC1"
"27","PBANKA_031590",NA,"m1",8,"NP_BL6","poolC1"
"28","PBANKA_051760",NA,"m1",8,"NP_BL6","poolC1"
"29","PBANKA_070700",NA,"m1",8,"NP_BL6","poolC1"
"30","PBANKA_030240",NA,"m1",8,"NP_BL6","poolC1"
"31","PBANKA_133090",NA,"m1",8,"NP_BL6","poolC1"
"32","PBANKA_111060",NA,"m1",8,"NP_BL6","poolC1"
"33","PBANKA_143630",NA,"m1",8,"NP_BL6","poolC1"
"34","PBANKA_052230",NA,"m1",8,"NP_BL6","poolC1"
"35","PBANKA_143060",NA,"m1",8,"NP_BL6","poolC1"
"36","PBANKA_131530",NA,"m1",8,"NP_BL6","poolC1"
"37","PBANKA_134630",NA,"m1",8,"NP_BL6","poolC1"
"38","PBANKA_103240",NA,"m1",8,"NP_BL6","poolC1"
"39","PBANKA_062030",NA,"m1",8,"NP_BL6","poolC1"
"40","PBANKA_093080",NA,"m1",8,"NP_BL6","poolC1"
"41","PBANKA_143440",NA,"m1",8,"NP_BL6","poolC1"
"42","PBANKA_102460",NA,"m1",8,"NP_BL6","poolC1"
"43","PBANKA_010110",NA,"m1",8,"NP_BL6","poolC1"
"44","PBANKA_120290",NA,"m1",8,"NP_BL6","poolC1"
"45","PBANKA_071020",NA,"m1",8,"NP_BL6","poolC1"
"46","PBANKA_093100",NA,"m1",8,"NP_BL6","poolC1"
"47","PBANKA_083210",NA,"m1",8,"NP_BL6","poolC1"
"48","PBANKA_011160",NA,"m1",8,"NP_BL6","poolC1"
"49","PBANKA_010940",NA,"m1",8,"NP_BL6","poolC1"
"50","PBANKA_141230",NA,"m1",8,"NP_BL6","poolC1"
"51","PBANKA_093380",NA,"m1",8,"NP_BL6","poolC1"
