"","gene","abundance","mice","day","background","pool"
"1","PBANKA_031260",2.12940478994258,"m1",8,"NP_RAG1KO","pool4"
"2","PBANKA_070620",0.0146183395190566,"m1",8,"NP_RAG1KO","pool4"
"3","PBANKA_112900",1.86789893854612,"m1",8,"NP_RAG1KO","pool4"
"4","PBANKA_051500",0.326476249258931,"m1",8,"NP_RAG1KO","pool4"
"5","PBANKA_103780",0.0795887373815305,"m1",8,"NP_RAG1KO","pool4"
"6","PBANKA_140160",0.00487277983968554,"m1",8,"NP_RAG1KO","pool4"
"7","PBANKA_030600",0.593667010468355,"m1",8,"NP_RAG1KO","pool4"
"8","PBANKA_011040",0.032485198931237,"m1",8,"NP_RAG1KO","pool4"
"9","PBANKA_031330",0.00487277983968554,"m1",8,"NP_RAG1KO","pool4"
"10","PBANKA_124430",0.12263162596542,"m1",8,"NP_RAG1KO","pool4"
"11","PBANKA_041830",0.032485198931237,"m1",8,"NP_RAG1KO","pool4"
"12","PBANKA_142810",0.393883037041248,"m1",8,"NP_RAG1KO","pool4"
"13","PBANKA_071350",0.0438550185571699,"m1",8,"NP_RAG1KO","pool4"
"14","PBANKA_114370",1.95236045576734,"m1",8,"NP_RAG1KO","pool4"
"15","PBANKA_133730",0.0341094588777988,"m1",8,"NP_RAG1KO","pool4"
"16","PBANKA_093260",20.7028172788773,"m1",8,"NP_RAG1KO","pool4"
"17","PBANKA_090780",0.190038413747736,"m1",8,"NP_RAG1KO","pool4"
"18","PBANKA_146300",1.10530889363534,"m1",8,"NP_RAG1KO","pool4"
"19","PBANKA_050370",1.42122745324162,"m1",8,"NP_RAG1KO","pool4"
"20","PBANKA_030100",0.306985129900189,"m1",8,"NP_RAG1KO","pool4"
"21","PBANKA_010580",0.147807655137128,"m1",8,"NP_RAG1KO","pool4"
"22","PBANKA_040500",0.380076827495472,"m1",8,"NP_RAG1KO","pool4"
"23","PBANKA_070690",0.925016039566972,"m1",8,"NP_RAG1KO","pool4"
"24","PBANKA_080550",1.65268449562668,"m1",8,"NP_RAG1KO","pool4"
"25","PBANKA_080610",0.268002891182705,"m1",8,"NP_RAG1KO","pool4"
"26","PBANKA_040950",0.251760291717086,"m1",8,"NP_RAG1KO","pool4"
"27","PBANKA_080810",0.15836534478978,"m1",8,"NP_RAG1KO","pool4"
"28","PBANKA_111090",0.18435350393477,"m1",8,"NP_RAG1KO","pool4"
"29","PBANKA_070990",0.00893342970609016,"m1",8,"NP_RAG1KO","pool4"
"30","PBANKA_060920",1.64537532586715,"m1",8,"NP_RAG1KO","pool4"
"31","PBANKA_041160",0.268002891182705,"m1",8,"NP_RAG1KO","pool4"
"32","PBANKA_091140",0.00649703978624739,"m1",8,"NP_RAG1KO","pool4"
"33","PBANKA_021200",0.903088530288387,"m1",8,"NP_RAG1KO","pool4"
"34","PBANKA_050790",1.93611785630172,"m1",8,"NP_RAG1KO","pool4"
"35","PBANKA_140900",0.674067877823167,"m1",8,"NP_RAG1KO","pool4"
"36","PBANKA_041320",0.1404984853776,"m1",8,"NP_RAG1KO","pool4"
"37","PBANKA_131260",0.881161021009802,"m1",8,"NP_RAG1KO","pool4"
"38","PBANKA_121590",0.918518999780725,"m1",8,"NP_RAG1KO","pool4"
"39","PBANKA_031230",0.0868979071410589,"m1",8,"NP_RAG1KO","pool4"
"40","PBANKA_091250",2.05062818253433,"m1",8,"NP_RAG1KO","pool4"
"41","PBANKA_101470",2.24716363606832,"m1",8,"NP_RAG1KO","pool4"
"42","PBANKA_041810",0.0495399283701364,"m1",8,"NP_RAG1KO","pool4"
"43","PBANKA_111270",0.141310615350881,"m1",8,"NP_RAG1KO","pool4"
"44","PBANKA_091650",1.07038730478426,"m1",8,"NP_RAG1KO","pool4"
"45","PBANKA_081940",1.26123784850527,"m1",8,"NP_RAG1KO","pool4"
"46","PBANKA_082130",0.0519763182899791,"m1",8,"NP_RAG1KO","pool4"
"47","PBANKA_051830",0.255820941583491,"m1",8,"NP_RAG1KO","pool4"
"48","PBANKA_142580",0.255820941583491,"m1",8,"NP_RAG1KO","pool4"
"49","PBANKA_143160",0.0617218779693502,"m1",8,"NP_RAG1KO","pool4"
"50","PBANKA_092500",0.0154304694923376,"m1",8,"NP_RAG1KO","pool4"
"51","PBANKA_122960",0.0146183395190566,"m1",8,"NP_RAG1KO","pool4"
"52","PBANKA_123030",0.0511641883166982,"m1",8,"NP_RAG1KO","pool4"
"53","PBANKA_132900",4.64700770711345,"m1",8,"NP_RAG1KO","pool4"
"54","PBANKA_083280",1.09881185384909,"m1",8,"NP_RAG1KO","pool4"
