"","gene","abundance","mice","day","background","pool"
"1","PBANKA_101810",1.13647581441264,"m1",8,"P_BL6","pool1"
"2","PBANKA_082040",0.824284304047384,"m1",8,"P_BL6","pool1"
"3","PBANKA_142220",0.6428923988154,"m1",8,"P_BL6","pool1"
"4","PBANKA_101700",0.657699901283317,"m1",8,"P_BL6","pool1"
"5","PBANKA_131140",2.07305034550839,"m1",8,"P_BL6","pool1"
"6","PBANKA_031580",5.99210266535044,"m1",8,"P_BL6","pool1"
"7","PBANKA_051490",2.88993089832182,"m1",8,"P_BL6","pool1"
"8","PBANKA_060800",1.14387956564659,"m1",8,"P_BL6","pool1"
"9","PBANKA_143030",1.11796643632774,"m1",8,"P_BL6","pool1"
"10","PBANKA_060620",2.05947680157947,"m1",8,"P_BL6","pool1"
"11","PBANKA_123360",2.41485686080948,"m1",8,"P_BL6","pool1"
"12","PBANKA_135260",2.92077986179664,"m1",8,"P_BL6","pool1"
"13","PBANKA_121260",1.1068608094768,"m1",8,"P_BL6","pool1"
"14","PBANKA_113980",0.69101678183613,"m1",8,"P_BL6","pool1"
"15","PBANKA_100240",0.138203356367226,"m1",8,"P_BL6","pool1"
"16","PBANKA_112810",0.391164856860809,"m1",8,"P_BL6","pool1"
"17","PBANKA_101750",0.204837117472853,"m1",8,"P_BL6","pool1"
"18","PBANKA_142590",0.0172754195459033,"m1",8,"P_BL6","pool1"
"19","PBANKA_140410",0.123395853899309,"m1",8,"P_BL6","pool1"
"20","PBANKA_051300",1.06243830207305,"m1",8,"P_BL6","pool1"
"21","PBANKA_031480",5.27764067127345,"m1",8,"P_BL6","pool1"
"22","PBANKA_051500",4.99629812438302,"m1",8,"P_BL6","pool1"
"23","PBANKA_082320",0.861303060217177,"m1",8,"P_BL6","pool1"
"24","PBANKA_111920",0.259131293188549,"m1",8,"P_BL6","pool1"
"25","PBANKA_124120",1.07230997038499,"m1",8,"P_BL6","pool1"
"26","PBANKA_100640",0.478775913129319,"m1",8,"P_BL6","pool1"
"27","PBANKA_103780",3.10217176702863,"m1",8,"P_BL6","pool1"
"28","PBANKA_110690",0.818114511352419,"m1",8,"P_BL6","pool1"
"29","PBANKA_145770",1.86821322803554,"m1",8,"P_BL6","pool1"
"30","PBANKA_091600",0.597235932872655,"m1",8,"P_BL6","pool1"
"31","PBANKA_140160",0.0123395853899309,"m1",8,"P_BL6","pool1"
"32","PBANKA_103440",0.0444225074037512,"m1",8,"P_BL6","pool1"
"33","PBANKA_133580",1.12290227048371,"m1",8,"P_BL6","pool1"
"34","PBANKA_093290",3.55256663376111,"m1",8,"P_BL6","pool1"
"35","PBANKA_132910",2.14955577492596,"m1",8,"P_BL6","pool1"
"36","PBANKA_146060",2.79368213228036,"m1",8,"P_BL6","pool1"
"37","PBANKA_110420",0.0123395853899309,"m1",8,"P_BL6","pool1"
"38","PBANKA_031590",2.15325765054294,"m1",8,"P_BL6","pool1"
"39","PBANKA_051220",0.40350444225074,"m1",8,"P_BL6","pool1"
"40","PBANKA_121340",0.771224086870681,"m1",8,"P_BL6","pool1"
"41","PBANKA_080650",0.177690029615005,"m1",8,"P_BL6","pool1"
"42","PBANKA_070700",3.6969397828233,"m1",8,"P_BL6","pool1"
"43","PBANKA_031180",0.330700888450148,"m1",8,"P_BL6","pool1"
"44","PBANKA_030240",0.294916090819348,"m1",8,"P_BL6","pool1"
"45","PBANKA_061920",1.41905231984205,"m1",8,"P_BL6","pool1"
"46","PBANKA_111060",1.03158933859822,"m1",8,"P_BL6","pool1"
"47","PBANKA_143630",2.78751233958539,"m1",8,"P_BL6","pool1"
"48","PBANKA_052230",2.78381046396841,"m1",8,"P_BL6","pool1"
"49","PBANKA_071130",0.498519249753208,"m1",8,"P_BL6","pool1"
"50","PBANKA_143060",1.2672754195459,"m1",8,"P_BL6","pool1"
"51","PBANKA_040730",0.815646594274432,"m1",8,"P_BL6","pool1"
"52","PBANKA_144900",0.431885488647581,"m1",8,"P_BL6","pool1"
"53","PBANKA_131530",4.32008884501481,"m1",8,"P_BL6","pool1"
"54","PBANKA_134630",5.32453109575518,"m1",8,"P_BL6","pool1"
"55","PBANKA_135960",2.64067127344521,"m1",8,"P_BL6","pool1"
"56","PBANKA_135250",1.21915103652517,"m1",8,"P_BL6","pool1"
"57","PBANKA_103240",2.3568608094768,"m1",8,"P_BL6","pool1"
"58","PBANKA_062030",3.05157946692991,"m1",8,"P_BL6","pool1"
"59","PBANKA_111340",2.18163869693978,"m1",8,"P_BL6","pool1"
"60","PBANKA_093080",0.831688055281343,"m1",8,"P_BL6","pool1"
"61","PBANKA_143440",2.03479763079961,"m1",8,"P_BL6","pool1"
"62","PBANKA_030600",0.547877591312932,"m1",8,"P_BL6","pool1"
"63","PBANKA_101810",1.13902847571189,"m1",9,"P_BL6","pool1"
"64","PBANKA_082040",0.834729201563372,"m1",9,"P_BL6","pool1"
"65","PBANKA_142220",0.573701842546064,"m1",9,"P_BL6","pool1"
"66","PBANKA_101700",0.693746510329425,"m1",9,"P_BL6","pool1"
"67","PBANKA_131140",2.10078168620882,"m1",9,"P_BL6","pool1"
"68","PBANKA_031580",5.82774986041318,"m1",9,"P_BL6","pool1"
"69","PBANKA_051490",2.80429927414852,"m1",9,"P_BL6","pool1"
"70","PBANKA_060800",1.0036292573981,"m1",9,"P_BL6","pool1"
"71","PBANKA_143030",1.04410943606924,"m1",9,"P_BL6","pool1"
"72","PBANKA_060620",1.88163037409269,"m1",9,"P_BL6","pool1"
"73","PBANKA_123360",2.11334450027917,"m1",9,"P_BL6","pool1"
"74","PBANKA_135260",2.45672808486879,"m1",9,"P_BL6","pool1"
"75","PBANKA_121260",1.13484087102178,"m1",9,"P_BL6","pool1"
"76","PBANKA_113980",0.597431602456728,"m1",9,"P_BL6","pool1"
"77","PBANKA_100240",0.0739810161920715,"m1",9,"P_BL6","pool1"
"78","PBANKA_112810",0.432719151312116,"m1",9,"P_BL6","pool1"
"79","PBANKA_101750",0.230318257956449,"m1",9,"P_BL6","pool1"
"80","PBANKA_142590",0.0139586823003908,"m1",9,"P_BL6","pool1"
"81","PBANKA_140410",0.0893355667225014,"m1",9,"P_BL6","pool1"
"82","PBANKA_051300",1.20603015075377,"m1",9,"P_BL6","pool1"
"83","PBANKA_031480",5.18704634282524,"m1",9,"P_BL6","pool1"
"84","PBANKA_051500",5.20100502512563,"m1",9,"P_BL6","pool1"
"85","PBANKA_082320",0.961753210496929,"m1",9,"P_BL6","pool1"
"86","PBANKA_111920",0.180067001675042,"m1",9,"P_BL6","pool1"
"87","PBANKA_124120",1.18090452261307,"m1",9,"P_BL6","pool1"
"88","PBANKA_100640",0.383863763260748,"m1",9,"P_BL6","pool1"
"89","PBANKA_103780",3.46733668341709,"m1",9,"P_BL6","pool1"
"90","PBANKA_110690",0.886376326074819,"m1",9,"P_BL6","pool1"
"91","PBANKA_145770",2.01842546063652,"m1",9,"P_BL6","pool1"
"92","PBANKA_091600",0.583472920156337,"m1",9,"P_BL6","pool1"
"93","PBANKA_140160",0.0139586823003908,"m1",9,"P_BL6","pool1"
"94","PBANKA_103440",0.048855388051368,"m1",9,"P_BL6","pool1"
"95","PBANKA_133580",1.01758793969849,"m1",9,"P_BL6","pool1"
"96","PBANKA_093290",3.34589614740369,"m1",9,"P_BL6","pool1"
