"","gene","abundance","mice","day","background","pool"
"1","PBANKA_101810",0.126321216808456,"m1",8,"P_RAG1KO","poolC2"
"2","PBANKA_082040",0.223425281429922,"m1",8,"P_RAG1KO","poolC2"
"3","PBANKA_142220",0.158116353011945,"m1",8,"P_RAG1KO","poolC2"
"4","PBANKA_101700",0.110853312709461,"m1",8,"P_RAG1KO","poolC2"
"5","PBANKA_131140",1.23141703188107,"m1",8,"P_RAG1KO","poolC2"
"6","PBANKA_031580",0.0206238721319928,"m1",8,"P_RAG1KO","poolC2"
"7","PBANKA_051490",4.2983586835095,"m1",8,"P_RAG1KO","poolC2"
"8","PBANKA_123360",0.964166022170662,"m1",8,"P_RAG1KO","poolC2"
"9","PBANKA_082710",0.0249205121594913,"m1",8,"P_RAG1KO","poolC2"
"10","PBANKA_135260",6.5592506659792,"m1",8,"P_RAG1KO","poolC2"
"11","PBANKA_121260",0.279281601787402,"m1",8,"P_RAG1KO","poolC2"
"12","PBANKA_113980",0.825814213285211,"m1",8,"P_RAG1KO","poolC2"
"13","PBANKA_112810",0.0154679040989946,"m1",8,"P_RAG1KO","poolC2"
"14","PBANKA_103520",0.00601529603849789,"m1",8,"P_RAG1KO","poolC2"
"15","PBANKA_051300",0.195067457248432,"m1",8,"P_RAG1KO","poolC2"
"16","PBANKA_031480",1.19188794362808,"m1",8,"P_RAG1KO","poolC2"
"17","PBANKA_080690",0.00515596803299819,"m1",8,"P_RAG1KO","poolC2"
"18","PBANKA_082320",1.29500730428805,"m1",8,"P_RAG1KO","poolC2"
"19","PBANKA_100640",2.78766004984102,"m1",8,"P_RAG1KO","poolC2"
"20","PBANKA_103780",0.0850734725444702,"m1",8,"P_RAG1KO","poolC2"
"21","PBANKA_145770",0.758786628856234,"m1",8,"P_RAG1KO","poolC2"
"22","PBANKA_140160",NA,"m1",8,"P_RAG1KO","poolC2"
"23","PBANKA_133580",0.559422531580304,"m1",8,"P_RAG1KO","poolC2"
"24","PBANKA_093290",4.22789378705852,"m1",8,"P_RAG1KO","poolC2"
"25","PBANKA_132910",1.26664948010656,"m1",8,"P_RAG1KO","poolC2"
"26","PBANKA_146060",2.44221019163015,"m1",8,"P_RAG1KO","poolC2"
"27","PBANKA_031590",2.52384635215262,"m1",8,"P_RAG1KO","poolC2"
"28","PBANKA_051760",0.166709633066942,"m1",8,"P_RAG1KO","poolC2"
"29","PBANKA_070700",2.12597748560626,"m1",8,"P_RAG1KO","poolC2"
"30","PBANKA_030240",0.445131906848844,"m1",8,"P_RAG1KO","poolC2"
"31","PBANKA_133090",1.52444788175647,"m1",8,"P_RAG1KO","poolC2"
"32","PBANKA_111060",NA,"m1",8,"P_RAG1KO","poolC2"
"33","PBANKA_143630",1.10079917504511,"m1",8,"P_RAG1KO","poolC2"
"34","PBANKA_052230",0.610122883904786,"m1",8,"P_RAG1KO","poolC2"
"35","PBANKA_143060",0.0816361605224714,"m1",8,"P_RAG1KO","poolC2"
"36","PBANKA_131530",0.932370885967174,"m1",8,"P_RAG1KO","poolC2"
"37","PBANKA_134630",0.62730944401478,"m1",8,"P_RAG1KO","poolC2"
"38","PBANKA_103240",0.767379908911231,"m1",8,"P_RAG1KO","poolC2"
"39","PBANKA_062030",0.274984961759904,"m1",8,"P_RAG1KO","poolC2"
"40","PBANKA_093080",0.0137492480879952,"m1",8,"P_RAG1KO","poolC2"
"41","PBANKA_143440",0.645355332130274,"m1",8,"P_RAG1KO","poolC2"
"42","PBANKA_102460",0.417633410672854,"m1",8,"P_RAG1KO","poolC2"
"43","PBANKA_010110",2.62009108876858,"m1",8,"P_RAG1KO","poolC2"
"44","PBANKA_120290",0.0867921285554696,"m1",8,"P_RAG1KO","poolC2"
"45","PBANKA_071020",0.134914496863453,"m1",8,"P_RAG1KO","poolC2"
"46","PBANKA_093100",0.271547649737905,"m1",8,"P_RAG1KO","poolC2"
"47","PBANKA_083210",0.300764801924895,"m1",8,"P_RAG1KO","poolC2"
"48","PBANKA_011160",8.03729483543869,"m1",8,"P_RAG1KO","poolC2"
"49","PBANKA_010940",0.0936667525994672,"m1",8,"P_RAG1KO","poolC2"
"50","PBANKA_141230",0.0670275844289765,"m1",8,"P_RAG1KO","poolC2"
"51","PBANKA_093380",0.042966400274985,"m1",8,"P_RAG1KO","poolC2"
"52","PBANKA_061640",1.06814471083613,"m1",8,"P_RAG1KO","poolC2"
"53","PBANKA_135820",0.279281601787402,"m1",8,"P_RAG1KO","poolC2"
"54","PBANKA_140450",0.797456389103721,"m1",8,"P_RAG1KO","poolC2"
"55","PBANKA_070850",0.147804416945948,"m1",8,"P_RAG1KO","poolC2"
"56","PBANKA_120740",0.940104838016671,"m1",8,"P_RAG1KO","poolC2"
"57","PBANKA_050720",0.220847297413423,"m1",8,"P_RAG1KO","poolC2"
"58","PBANKA_091240",1.33367706453553,"m1",8,"P_RAG1KO","poolC2"
"59","PBANKA_100010",3.97697000945261,"m1",8,"P_RAG1KO","poolC2"
"60","PBANKA_145980",0.0292171521869898,"m1",8,"P_RAG1KO","poolC2"
"61","PBANKA_110700",0.0189052161209934,"m1",8,"P_RAG1KO","poolC2"
"62","PBANKA_121060",0.383260290452866,"m1",8,"P_RAG1KO","poolC2"
"63","PBANKA_133690",0.0386697602474865,"m1",8,"P_RAG1KO","poolC2"
"64","PBANKA_120060",0.0103119360659964,"m1",8,"P_RAG1KO","poolC2"
"65","PBANKA_050060",0.128899200824955,"m1",8,"P_RAG1KO","poolC2"
"66","PBANKA_080060",0.0893701125719687,"m1",8,"P_RAG1KO","poolC2"
"67","PBANKA_083200",0.0412477442639856,"m1",8,"P_RAG1KO","poolC2"
"68","PBANKA_112120",0.00687462404399759,"m1",8,"P_RAG1KO","poolC2"
"69","PBANKA_070210",0.110853312709461,"m1",8,"P_RAG1KO","poolC2"
"70","PBANKA_070270",4.79419094268282,"m1",8,"P_RAG1KO","poolC2"
"71","PBANKA_131070",2.68282203317006,"m1",8,"P_RAG1KO","poolC2"
"72","PBANKA_141470",5.17831056114119,"m1",8,"P_RAG1KO","poolC2"
"73","PBANKA_093150",0.632465412047779,"m1",8,"P_RAG1KO","poolC2"
"74","PBANKA_124430",0.042966400274985,"m1",8,"P_RAG1KO","poolC2"
"75","PBANKA_133730",0.0206238721319928,"m1",8,"P_RAG1KO","poolC2"
"76","PBANKA_093260",8.97396236143336,"m1",8,"P_RAG1KO","poolC2"
"77","PBANKA_070690",0.0223425281429922,"m1",8,"P_RAG1KO","poolC2"
"78","PBANKA_120710",0.00515596803299819,"m1",8,"P_RAG1KO","poolC2"
"79","PBANKA_080550",1.85614849187935,"m1",8,"P_RAG1KO","poolC2"
"80","PBANKA_080610",NA,"m1",8,"P_RAG1KO","poolC2"
"81","PBANKA_041160",0.0919480965884678,"m1",8,"P_RAG1KO","poolC2"
"82","PBANKA_140900",0.051559680329982,"m1",8,"P_RAG1KO","poolC2"
"83","PBANKA_081940",0.0979633926269657,"m1",8,"P_RAG1KO","poolC2"
"84","PBANKA_132420",1.59663143421844,"m1",8,"P_RAG1KO","poolC2"
"85","PBANKA_132900",0.939245510011171,"m1",8,"P_RAG1KO","poolC2"
"86","PBANKA_143500",1.02689696657214,"m1",8,"P_RAG1KO","poolC2"
"87","PBANKA_102720",NA,"m1",8,"P_RAG1KO","poolC2"
"88","PBANKA_093750",6.61081034630919,"m1",8,"P_RAG1KO","poolC2"
"89","PBANKA_136410",0.62816877202028,"m1",8,"P_RAG1KO","poolC2"
"90","PBANKA_101910",0.687462404399759,"m1",8,"P_RAG1KO","poolC2"
"91","PBANKA_131270",0.0790581765059723,"m1",8,"P_RAG1KO","poolC2"
"92","PBANKA_041350",0.788003781043224,"m1",8,"P_RAG1KO","poolC2"
"93","PBANKA_124020",NA,"m1",8,"P_RAG1KO","poolC2"
"94","PBANKA_101810",0.210856192207993,"m1",9,"P_RAG1KO","poolC2"
"95","PBANKA_082040",0.182806515262893,"m1",9,"P_RAG1KO","poolC2"
"96","PBANKA_142220",0.0880179517932449,"m1",9,"P_RAG1KO","poolC2"
"97","PBANKA_101700",0.118002089217317,"m1",9,"P_RAG1KO","poolC2"
"98","PBANKA_131140",1.16261074786242,"m1",9,"P_RAG1KO","poolC2"
"99","PBANKA_031580",0.032885828142531,"m1",9,"P_RAG1KO","poolC2"
"100","PBANKA_051490",4.48504662049754,"m1",9,"P_RAG1KO","poolC2"
"101","PBANKA_123360",0.727357140093628,"m1",9,"P_RAG1KO","poolC2"
"102","PBANKA_082710",0.157658529036252,"m1",9,"P_RAG1KO","poolC2"
"103","PBANKA_135260",7.98545285719813,"m1",9,"P_RAG1KO","poolC2"
"104","PBANKA_121260",0.30080860448021,"m1",9,"P_RAG1KO","poolC2"
"105","PBANKA_113980",0.494254652377452,"m1",9,"P_RAG1KO","poolC2"
"106","PBANKA_112810",0.00386892095794483,"m1",9,"P_RAG1KO","poolC2"
"107","PBANKA_103520",0.0106395326343483,"m1",9,"P_RAG1KO","poolC2"
"108","PBANKA_051300",0.143150075443959,"m1",9,"P_RAG1KO","poolC2"
"109","PBANKA_031480",0.908229194877549,"m1",9,"P_RAG1KO","poolC2"
"110","PBANKA_080690",0.00386892095794483,"m1",9,"P_RAG1KO","poolC2"
"111","PBANKA_082320",0.952721785893914,"m1",9,"P_RAG1KO","poolC2"
"112","PBANKA_100640",2.20721940650753,"m1",9,"P_RAG1KO","poolC2"
"113","PBANKA_103780",0.0222462955081828,"m1",9,"P_RAG1KO","poolC2"
"114","PBANKA_145770",0.787325414941773,"m1",9,"P_RAG1KO","poolC2"
"115","PBANKA_140160",0.00580338143691724,"m1",9,"P_RAG1KO","poolC2"
"116","PBANKA_133580",0.386892095794483,"m1",9,"P_RAG1KO","poolC2"
"117","PBANKA_093290",4.61562270282818,"m1",9,"P_RAG1KO","poolC2"
"118","PBANKA_132910",1.62204511161837,"m1",9,"P_RAG1KO","poolC2"
"119","PBANKA_146060",1.90254188106937,"m1",9,"P_RAG1KO","poolC2"
"120","PBANKA_031590",2.12210314543274,"m1",9,"P_RAG1KO","poolC2"
"121","PBANKA_051760",0.138313924246528,"m1",9,"P_RAG1KO","poolC2"
"122","PBANKA_070700",2.20431771578907,"m1",9,"P_RAG1KO","poolC2"
"123","PBANKA_030240",0.485549580222076,"m1",9,"P_RAG1KO","poolC2"
"124","PBANKA_133090",2.05633148914768,"m1",9,"P_RAG1KO","poolC2"
"125","PBANKA_111060",0.00386892095794483,"m1",9,"P_RAG1KO","poolC2"
"126","PBANKA_143630",1.0726583355902,"m1",9,"P_RAG1KO","poolC2"
"127","PBANKA_052230",0.518435408364607,"m1",9,"P_RAG1KO","poolC2"
"128","PBANKA_143060",0.0880179517932449,"m1",9,"P_RAG1KO","poolC2"
"129","PBANKA_131530",0.537780013154331,"m1",9,"P_RAG1KO","poolC2"
"130","PBANKA_134630",0.454598212558517,"m1",9,"P_RAG1KO","poolC2"
"131","PBANKA_103240",0.602584439199907,"m1",9,"P_RAG1KO","poolC2"
"132","PBANKA_062030",0.181839285023407,"m1",9,"P_RAG1KO","poolC2"
"133","PBANKA_093080",0.00193446047897241,"m1",9,"P_RAG1KO","poolC2"
"134","PBANKA_143440",0.682864549077262,"m1",9,"P_RAG1KO","poolC2"
"135","PBANKA_102460",0.54068170387279,"m1",9,"P_RAG1KO","poolC2"
"136","PBANKA_010110",1.91511587418269,"m1",9,"P_RAG1KO","poolC2"
"137","PBANKA_120290",0.178937594304948,"m1",9,"P_RAG1KO","poolC2"
"138","PBANKA_071020",0.107362556582969,"m1",9,"P_RAG1KO","poolC2"
"139","PBANKA_093100",0.287267381127404,"m1",9,"P_RAG1KO","poolC2"
"140","PBANKA_083210",0.266955546098193,"m1",9,"P_RAG1KO","poolC2"
"141","PBANKA_011160",8.50582272604171,"m1",9,"P_RAG1KO","poolC2"
"142","PBANKA_010940",0.00773784191588966,"m1",9,"P_RAG1KO","poolC2"
"143","PBANKA_141230",0.0135412233528069,"m1",9,"P_RAG1KO","poolC2"
"144","PBANKA_093380",0.0290169071845862,"m1",9,"P_RAG1KO","poolC2"
"145","PBANKA_061640",1.17518474097574,"m1",9,"P_RAG1KO","poolC2"
"146","PBANKA_135820",0.0754439586799242,"m1",9,"P_RAG1KO","poolC2"
"147","PBANKA_140450",0.590977676326073,"m1",9,"P_RAG1KO","poolC2"
"148","PBANKA_070850",0.13251054280961,"m1",9,"P_RAG1KO","poolC2"
"149","PBANKA_120740",0.750570665841297,"m1",9,"P_RAG1KO","poolC2"
"150","PBANKA_050720",0.218594034123883,"m1",9,"P_RAG1KO","poolC2"
"151","PBANKA_091240",1.23225132510543,"m1",9,"P_RAG1KO","poolC2"
"152","PBANKA_100010",5.56350833752466,"m1",9,"P_RAG1KO","poolC2"
"153","PBANKA_145980",0.0251479862266414,"m1",9,"P_RAG1KO","poolC2"
