"","gene","abundance","mice","day","background","pool"
"1","PBANKA_031260",1.76275980503574,"m1",7,"NP_BL6","pool4"
"2","PBANKA_070620",0.037881657701341,"m1",7,"NP_BL6","pool4"
"3","PBANKA_112900",1.41256492495223,"m1",7,"NP_BL6","pool4"
"4","PBANKA_051500",0.182673771582022,"m1",7,"NP_BL6","pool4"
"5","PBANKA_103780",0.234866277748314,"m1",7,"NP_BL6","pool4"
"6","PBANKA_030600",0.266013418524972,"m1",7,"NP_BL6","pool4"
"7","PBANKA_011040",0.10691045617934,"m1",7,"NP_BL6","pool4"
"8","PBANKA_031330",0.113644973104023,"m1",7,"NP_BL6","pool4"
"9","PBANKA_124430",0.755949524795649,"m1",7,"NP_BL6","pool4"
"10","PBANKA_041830",0.341776733927654,"m1",7,"NP_BL6","pool4"
"11","PBANKA_142810",0.777836704800869,"m1",7,"NP_BL6","pool4"
"12","PBANKA_071350",0.223922687745705,"m1",7,"NP_BL6","pool4"
"13","PBANKA_114370",0.890639863289306,"m1",7,"NP_BL6","pool4"
"14","PBANKA_133730",0.173413810810583,"m1",7,"NP_BL6","pool4"
"15","PBANKA_093260",7.60916231027603,"m1",7,"NP_BL6","pool4"
"16","PBANKA_090780",0.533710466281116,"m1",7,"NP_BL6","pool4"
"17","PBANKA_146300",1.32333257570018,"m1",7,"NP_BL6","pool4"
"18","PBANKA_050370",1.25009470414425,"m1",7,"NP_BL6","pool4"
"19","PBANKA_030100",0.290426042376948,"m1",7,"NP_BL6","pool4"
"20","PBANKA_010580",0.516032359353823,"m1",7,"NP_BL6","pool4"
"21","PBANKA_050530",0.0244126238519753,"m1",7,"NP_BL6","pool4"
"22","PBANKA_040500",0.564015792442188,"m1",7,"NP_BL6","pool4"
"23","PBANKA_070690",3.94726873247973,"m1",7,"NP_BL6","pool4"
"24","PBANKA_080550",0.872961756362014,"m1",7,"NP_BL6","pool4"
"25","PBANKA_080610",0.934414223299745,"m1",7,"NP_BL6","pool4"
"26","PBANKA_040950",0.577484826291554,"m1",7,"NP_BL6","pool4"
"27","PBANKA_080810",0.143950299265096,"m1",7,"NP_BL6","pool4"
"28","PBANKA_111090",0.185199215428778,"m1",7,"NP_BL6","pool4"
"29","PBANKA_070990",0.13048126541573,"m1",7,"NP_BL6","pool4"
"30","PBANKA_060920",1.79390694581239,"m1",7,"NP_BL6","pool4"
"31","PBANKA_041160",0.82834558173599,"m1",7,"NP_BL6","pool4"
"32","PBANKA_091140",0.323256812384777,"m1",7,"NP_BL6","pool4"
"33","PBANKA_021200",0.94619962791794,"m1",7,"NP_BL6","pool4"
"34","PBANKA_050790",2.20134521975571,"m1",7,"NP_BL6","pool4"
"35","PBANKA_140900",1.22820752413903,"m1",7,"NP_BL6","pool4"
"36","PBANKA_041320",0.0665033546312431,"m1",7,"NP_BL6","pool4"
"37","PBANKA_131260",1.11624618026618,"m1",7,"NP_BL6","pool4"
"38","PBANKA_121590",0.947883257149111,"m1",7,"NP_BL6","pool4"
"39","PBANKA_031230",0.187724659275534,"m1",7,"NP_BL6","pool4"
"40","PBANKA_091250",2.24259413591939,"m1",7,"NP_BL6","pool4"
"41","PBANKA_101470",2.30741386131946,"m1",7,"NP_BL6","pool4"
"42","PBANKA_041810",0.14310848464951,"m1",7,"NP_BL6","pool4"
"43","PBANKA_111270",0.206244580818412,"m1",7,"NP_BL6","pool4"
"44","PBANKA_091650",0.774469446338527,"m1",7,"NP_BL6","pool4"
"45","PBANKA_081940",0.755107710180064,"m1",7,"NP_BL6","pool4"
"46","PBANKA_082130",0.0665033546312431,"m1",7,"NP_BL6","pool4"
"47","PBANKA_051830",1.29976176646379,"m1",7,"NP_BL6","pool4"
"48","PBANKA_142580",0.549704943977237,"m1",7,"NP_BL6","pool4"
"49","PBANKA_143160",0.281166081605509,"m1",7,"NP_BL6","pool4"
"50","PBANKA_092500",0.313155036997752,"m1",7,"NP_BL6","pool4"
"51","PBANKA_122960",0.172571996194998,"m1",7,"NP_BL6","pool4"
"52","PBANKA_123030",0.279482452374338,"m1",7,"NP_BL6","pool4"
"53","PBANKA_132900",2.45220597520014,"m1",7,"NP_BL6","pool4"
"54","PBANKA_083280",1.98078979047234,"m1",7,"NP_BL6","pool4"
"55","PBANKA_143500",2.26363950130902,"m1",7,"NP_BL6","pool4"
"56","PBANKA_102720",2.04729314510359,"m1",7,"NP_BL6","pool4"
"57","PBANKA_082940",0.181831956966437,"m1",7,"NP_BL6","pool4"
"58","PBANKA_143350",0.4369017854888,"m1",7,"NP_BL6","pool4"
"59","PBANKA_093750",2.58352905523146,"m1",7,"NP_BL6","pool4"
"60","PBANKA_133950",0.414172790867995,"m1",7,"NP_BL6","pool4"
"61","PBANKA_060690",1.27955821568974,"m1",7,"NP_BL6","pool4"
"62","PBANKA_060470",2.44799690212221,"m1",7,"NP_BL6","pool4"
"63","PBANKA_080940",2.00183515586198,"m1",7,"NP_BL6","pool4"
"64","PBANKA_136410",8.49811854433417,"m1",7,"NP_BL6","pool4"
"65","PBANKA_101910",2.60036534754316,"m1",7,"NP_BL6","pool4"
"66","PBANKA_131270",2.32172470978441,"m1",7,"NP_BL6","pool4"
"67","PBANKA_092140",0.187724659275534,"m1",7,"NP_BL6","pool4"
"68","PBANKA_132200",2.13905093820239,"m1",7,"NP_BL6","pool4"
"69","PBANKA_123730",0.737429603252772,"m1",7,"NP_BL6","pool4"
"70","PBANKA_082490",0.102701383101413,"m1",7,"NP_BL6","pool4"
"71","PBANKA_020990",2.50692392521319,"m1",7,"NP_BL6","pool4"
"72","PBANKA_112710",14.2030961941561,"m1",7,"NP_BL6","pool4"
"73","PBANKA_041350",1.47317557727437,"m1",7,"NP_BL6","pool4"
"74","PBANKA_124020",1.92523002584371,"m1",7,"NP_BL6","pool4"
"75","PBANKA_031260",1.6227621086599,"m1",8,"NP_BL6","pool4"
"76","PBANKA_070620",0.0473176331875019,"m1",8,"NP_BL6","pool4"
"77","PBANKA_112900",1.52967824009432,"m1",8,"NP_BL6","pool4"
"78","PBANKA_051500",0.155139780942629,"m1",8,"NP_BL6","pool4"
"79","PBANKA_103780",0.232709671413944,"m1",8,"NP_BL6","pool4"
"80","PBANKA_030600",0.243569456079928,"m1",8,"NP_BL6","pool4"
"81","PBANKA_011040",0.0861025784231593,"m1",8,"NP_BL6","pool4"
"82","PBANKA_031330",0.107822147755127,"m1",8,"NP_BL6","pool4"
"83","PBANKA_124430",0.727605572620932,"m1",8,"NP_BL6","pool4"
"84","PBANKA_041830",0.174532253560458,"m1",8,"NP_BL6","pool4"
"85","PBANKA_142810",0.701231809860684,"m1",8,"NP_BL6","pool4"
"86","PBANKA_071350",0.239690961556362,"m1",8,"NP_BL6","pool4"
"87","PBANKA_114370",0.922305997703931,"m1",8,"NP_BL6","pool4"
"88","PBANKA_133730",0.152036985323777,"m1",8,"NP_BL6","pool4"
"89","PBANKA_093260",8.01374538459152,"m1",8,"NP_BL6","pool4"
"90","PBANKA_090780",0.370008377548171,"m1",8,"NP_BL6","pool4"
"91","PBANKA_146300",1.38229544819883,"m1",8,"NP_BL6","pool4"
"92","PBANKA_050370",1.38151974929411,"m1",8,"NP_BL6","pool4"
"93","PBANKA_030100",0.311055260789972,"m1",8,"NP_BL6","pool4"
"94","PBANKA_010580",0.39948493592727,"m1",8,"NP_BL6","pool4"
"95","PBANKA_050530",0.00930838685655776,"m1",8,"NP_BL6","pool4"
"96","PBANKA_040500",0.37233547426231,"m1",8,"NP_BL6","pool4"
"97","PBANKA_070690",3.78308355828602,"m1",8,"NP_BL6","pool4"
"98","PBANKA_080550",0.946352663750039,"m1",8,"NP_BL6","pool4"
"99","PBANKA_080610",0.986689006795122,"m1",8,"NP_BL6","pool4"
"100","PBANKA_040950",0.589531167581991,"m1",8,"NP_BL6","pool4"
"101","PBANKA_080810",0.155915479847342,"m1",8,"NP_BL6","pool4"
