"","gene","abundance","mice","day","background","pool"
"1","PBANKA_031580",2.83834405916819,"m1",7,"P_BL6","minipool2"
"2","PBANKA_051490",1.47440207472865,"m1",7,"P_BL6","minipool2"
"3","PBANKA_051500",5.63346460474498,"m1",7,"P_BL6","minipool2"
"4","PBANKA_071020",2.62702910383248,"m1",7,"P_BL6","minipool2"
"5","PBANKA_010940",2.19479396791855,"m1",7,"P_BL6","minipool2"
"6","PBANKA_093380",0.110460090289117,"m1",7,"P_BL6","minipool2"
"7","PBANKA_135820",5.29728172125636,"m1",7,"P_BL6","minipool2"
"8","PBANKA_110700",0.653155316492172,"m1",7,"P_BL6","minipool2"
"9","PBANKA_051700",1.67130919220056,"m1",7,"P_BL6","minipool2"
"10","PBANKA_080060",73.7153011238113,"m1",7,"P_BL6","minipool2"
"11","PBANKA_136410",3.17932955527807,"m1",7,"P_BL6","minipool2"
"12","PBANKA_124020",0.605129190279512,"m1",7,"P_BL6","minipool2"
"13","PBANKA_031580",2.22319533802675,"m1",8,"P_BL6","minipool2"
"14","PBANKA_051490",1.53490304398109,"m1",8,"P_BL6","minipool2"
"15","PBANKA_051500",7.34440439698634,"m1",8,"P_BL6","minipool2"
"16","PBANKA_071020",5.01790907355633,"m1",8,"P_BL6","minipool2"
"17","PBANKA_010940",2.77674852067684,"m1",8,"P_BL6","minipool2"
"18","PBANKA_093380",0.206599970806526,"m1",8,"P_BL6","minipool2"
"19","PBANKA_135820",5.30535251120019,"m1",8,"P_BL6","minipool2"
"20","PBANKA_110700",0.953279213123589,"m1",8,"P_BL6","minipool2"
"21","PBANKA_051700",2.93057567285344,"m1",8,"P_BL6","minipool2"
"22","PBANKA_080060",66.5712264627615,"m1",8,"P_BL6","minipool2"
"23","PBANKA_136410",4.51937436139275,"m1",8,"P_BL6","minipool2"
"24","PBANKA_124020",0.616431434634689,"m1",8,"P_BL6","minipool2"
"25","PBANKA_031580",5.64716781365802,"m1",9,"P_BL6","minipool2"
"26","PBANKA_051490",3.11143462149285,"m1",9,"P_BL6","minipool2"
"27","PBANKA_051500",14.2681312863949,"m1",9,"P_BL6","minipool2"
"28","PBANKA_071020",10.6862096347274,"m1",9,"P_BL6","minipool2"
"29","PBANKA_010940",5.76230809952356,"m1",9,"P_BL6","minipool2"
"30","PBANKA_093380",0.41225516146109,"m1",9,"P_BL6","minipool2"
"31","PBANKA_135820",10.9072260455267,"m1",9,"P_BL6","minipool2"
"32","PBANKA_110700",1.58086289041821,"m1",9,"P_BL6","minipool2"
"33","PBANKA_051700",3.99814716781366,"m1",9,"P_BL6","minipool2"
"34","PBANKA_080060",35.420857596612,"m1",9,"P_BL6","minipool2"
"35","PBANKA_136410",7.25383800952885,"m1",9,"P_BL6","minipool2"
"36","PBANKA_124020",0.951561672842774,"m1",9,"P_BL6","minipool2"
"37","PBANKA_031580",7.78572222428037,"m1",10,"P_BL6","minipool2"
"38","PBANKA_051490",4.1507057385248,"m1",10,"P_BL6","minipool2"
"39","PBANKA_051500",20.0288963805431,"m1",10,"P_BL6","minipool2"
"40","PBANKA_071020",13.3812469899604,"m1",10,"P_BL6","minipool2"
"41","PBANKA_010940",7.48045789649168,"m1",10,"P_BL6","minipool2"
"42","PBANKA_093380",0.377134812729226,"m1",10,"P_BL6","minipool2"
"43","PBANKA_135820",16.2427295965621,"m1",10,"P_BL6","minipool2"
"44","PBANKA_110700",3.1437780165228,"m1",10,"P_BL6","minipool2"
"45","PBANKA_051700",5.76075278775979,"m1",10,"P_BL6","minipool2"
