"","gene","abundance","mice","day","background","pool"
"1","PBANKA_101810",0.563192675262198,"m1",7,"P_BL6","poolC2"
"2","PBANKA_082040",0.562546070583367,"m1",7,"P_BL6","poolC2"
"3","PBANKA_142220",0.214026148693212,"m1",7,"P_BL6","poolC2"
"4","PBANKA_101700",0.121561679620314,"m1",7,"P_BL6","poolC2"
"5","PBANKA_131140",0.875502735137792,"m1",7,"P_BL6","poolC2"
"6","PBANKA_031580",0.533448860035951,"m1",7,"P_BL6","poolC2"
"7","PBANKA_051490",2.51529220065436,"m1",7,"P_BL6","poolC2"
"8","PBANKA_123360",1.28415689215927,"m1",7,"P_BL6","poolC2"
"9","PBANKA_082710",0.429345506744087,"m1",7,"P_BL6","poolC2"
"10","PBANKA_135260",2.28704074902686,"m1",7,"P_BL6","poolC2"
"11","PBANKA_121260",0.473314624904626,"m1",7,"P_BL6","poolC2"
"12","PBANKA_113980",0.922058272013656,"m1",7,"P_BL6","poolC2"
"13","PBANKA_112810",0.131260749802786,"m1",7,"P_BL6","poolC2"
"14","PBANKA_103520",NA,"m1",7,"P_BL6","poolC2"
"15","PBANKA_051300",0.684754354882512,"m1",7,"P_BL6","poolC2"
"16","PBANKA_031480",2.26376298058893,"m1",7,"P_BL6","poolC2"
"17","PBANKA_080690",0.126734517050965,"m1",7,"P_BL6","poolC2"
"18","PBANKA_082320",1.17229428272143,"m1",7,"P_BL6","poolC2"
"19","PBANKA_100640",1.42705652618102,"m1",7,"P_BL6","poolC2"
"20","PBANKA_103780",0.372444295006919,"m1",7,"P_BL6","poolC2"
"21","PBANKA_145770",1.00741008961941,"m1",7,"P_BL6","poolC2"
"22","PBANKA_140160",0.06660028191964,"m1",7,"P_BL6","poolC2"
"23","PBANKA_133580",1.15224953767765,"m1",7,"P_BL6","poolC2"
"24","PBANKA_093290",1.74259960945077,"m1",7,"P_BL6","poolC2"
"25","PBANKA_132910",0.735836124510197,"m1",7,"P_BL6","poolC2"
"26","PBANKA_146060",3.75935960272609,"m1",7,"P_BL6","poolC2"
"27","PBANKA_031590",2.48813480414344,"m1",7,"P_BL6","poolC2"
"28","PBANKA_051760",0.206913497226066,"m1",7,"P_BL6","poolC2"
"29","PBANKA_070700",1.82795142705653,"m1",7,"P_BL6","poolC2"
"30","PBANKA_030240",0.11121600475901,"m1",7,"P_BL6","poolC2"
"31","PBANKA_133090",0.554786814437389,"m1",7,"P_BL6","poolC2"
"32","PBANKA_111060",0.155185122919549,"m1",7,"P_BL6","poolC2"
"33","PBANKA_143630",0.76364012569995,"m1",7,"P_BL6","poolC2"
"34","PBANKA_052230",0.550260581685569,"m1",7,"P_BL6","poolC2"
"35","PBANKA_143060",0.260581685569077,"m1",7,"P_BL6","poolC2"
"36","PBANKA_131530",2.10340502023873,"m1",7,"P_BL6","poolC2"
"37","PBANKA_134630",1.23178191317392,"m1",7,"P_BL6","poolC2"
"38","PBANKA_103240",0.614921049568715,"m1",7,"P_BL6","poolC2"
"39","PBANKA_062030",0.565132489298693,"m1",7,"P_BL6","poolC2"
"40","PBANKA_093080",0.0420293041240446,"m1",7,"P_BL6","poolC2"
"41","PBANKA_143440",0.762993521021118,"m1",7,"P_BL6","poolC2"
"42","PBANKA_102460",0.74165556661968,"m1",7,"P_BL6","poolC2"
"43","PBANKA_010110",5.38427716062953,"m1",7,"P_BL6","poolC2"
"44","PBANKA_120290",0.353046154641975,"m1",7,"P_BL6","poolC2"
"45","PBANKA_071020",1.2990287997724,"m1",7,"P_BL6","poolC2"
"46","PBANKA_093100",0.156478332277212,"m1",7,"P_BL6","poolC2"
"47","PBANKA_083210",0.437751367568896,"m1",7,"P_BL6","poolC2"
"48","PBANKA_011160",6.74344019553326,"m1",7,"P_BL6","poolC2"
"49","PBANKA_010940",0.187515356861122,"m1",7,"P_BL6","poolC2"
"50","PBANKA_141230",0.429345506744087,"m1",7,"P_BL6","poolC2"
"51","PBANKA_093380",0.984132321181476,"m1",7,"P_BL6","poolC2"
"52","PBANKA_061640",1.03521409080916,"m1",7,"P_BL6","poolC2"
"53","PBANKA_135820",2.48813480414344,"m1",7,"P_BL6","poolC2"
"54","PBANKA_140450",1.61586509239981,"m1",7,"P_BL6","poolC2"
"55","PBANKA_070850",0.364685038860941,"m1",7,"P_BL6","poolC2"
"56","PBANKA_120740",1.32683280096215,"m1",7,"P_BL6","poolC2"
"57","PBANKA_050720",NA,"m1",7,"P_BL6","poolC2"
"58","PBANKA_091240",1.13608442070687,"m1",7,"P_BL6","poolC2"
"59","PBANKA_100010",2.45257154680771,"m1",7,"P_BL6","poolC2"
"60","PBANKA_145980",0.205620287868403,"m1",7,"P_BL6","poolC2"
"61","PBANKA_110700",0.0420293041240446,"m1",7,"P_BL6","poolC2"
"62","PBANKA_121060",0.376323923079907,"m1",7,"P_BL6","poolC2"
"63","PBANKA_133690",NA,"m1",7,"P_BL6","poolC2"
"64","PBANKA_120060",0.00129320935766291,"m1",7,"P_BL6","poolC2"
"65","PBANKA_050060",NA,"m1",7,"P_BL6","poolC2"
"66","PBANKA_080060",0.81730831404296,"m1",7,"P_BL6","poolC2"
"67","PBANKA_083200",0.576124768838827,"m1",7,"P_BL6","poolC2"
"68","PBANKA_112120",0.0536681883430108,"m1",7,"P_BL6","poolC2"
"69","PBANKA_070210",0.583884024984805,"m1",7,"P_BL6","poolC2"
"70","PBANKA_070270",5.46445614080463,"m1",7,"P_BL6","poolC2"
"71","PBANKA_131070",3.95269440169669,"m1",7,"P_BL6","poolC2"
"72","PBANKA_141470",4.97885602700221,"m1",7,"P_BL6","poolC2"
"73","PBANKA_093150",1.8602816609981,"m1",7,"P_BL6","poolC2"
"74","PBANKA_124430",0.212086334656718,"m1",7,"P_BL6","poolC2"
"75","PBANKA_133730",0.0058194421094831,"m1",7,"P_BL6","poolC2"
"76","PBANKA_093260",2.7997982593402,"m1",7,"P_BL6","poolC2"
"77","PBANKA_070690",0.112509214116673,"m1",7,"P_BL6","poolC2"
"78","PBANKA_120710",0.431285320780581,"m1",7,"P_BL6","poolC2"
"79","PBANKA_080550",2.18358400041383,"m1",7,"P_BL6","poolC2"
"80","PBANKA_080610",0.0704799099926287,"m1",7,"P_BL6","poolC2"
