"","gene","abundance","mice","day","background","pool"
"1","PBANKA_101810",0.175634300904279,"m1",7,"P_IFNYKO","poolC3"
"2","PBANKA_082040",0.238530368120001,"m1",7,"P_IFNYKO","poolC3"
"3","PBANKA_142220",0.191061638145871,"m1",7,"P_IFNYKO","poolC3"
"4","PBANKA_101700",0.316853772577315,"m1",7,"P_IFNYKO","poolC3"
"5","PBANKA_131140",1.30420335603921,"m1",7,"P_IFNYKO","poolC3"
"6","PBANKA_031580",0.115111670187264,"m1",7,"P_IFNYKO","poolC3"
"7","PBANKA_051490",3.86276790164479,"m1",7,"P_IFNYKO","poolC3"
"8","PBANKA_123360",1.19739871359742,"m1",7,"P_IFNYKO","poolC3"
"9","PBANKA_082710",0.00474687299741295,"m1",7,"P_IFNYKO","poolC3"
"10","PBANKA_135260",2.67723637054091,"m1",7,"P_IFNYKO","poolC3"
"11","PBANKA_121260",0.431965442764579,"m1",7,"P_IFNYKO","poolC3"
"12","PBANKA_113980",1.1368760828804,"m1",7,"P_IFNYKO","poolC3"
"13","PBANKA_112810",0.0237343649870648,"m1",7,"P_IFNYKO","poolC3"
"14","PBANKA_103520",0.054589039470249,"m1",7,"P_IFNYKO","poolC3"
"15","PBANKA_051300",0.479434172738708,"m1",7,"P_IFNYKO","poolC3"
"16","PBANKA_031480",2.13727956708518,"m1",7,"P_IFNYKO","poolC3"
"17","PBANKA_080690",0.0427218569767166,"m1",7,"P_IFNYKO","poolC3"
"18","PBANKA_082320",1.7788906557805,"m1",7,"P_IFNYKO","poolC3"
"19","PBANKA_100640",2.6926637077825,"m1",7,"P_IFNYKO","poolC3"
"20","PBANKA_103780",0.0142406189922389,"m1",7,"P_IFNYKO","poolC3"
"21","PBANKA_145770",1.12500890038687,"m1",7,"P_IFNYKO","poolC3"
"22","PBANKA_140160",0.00356015474805972,"m1",7,"P_IFNYKO","poolC3"
"23","PBANKA_133580",1.14162295587782,"m1",7,"P_IFNYKO","poolC3"
"24","PBANKA_093290",2.72351838226568,"m1",7,"P_IFNYKO","poolC3"
"25","PBANKA_132910",0.849690266536919,"m1",7,"P_IFNYKO","poolC3"
"26","PBANKA_146060",3.29076970545653,"m1",7,"P_IFNYKO","poolC3"
"27","PBANKA_031590",3.74646951320817,"m1",7,"P_IFNYKO","poolC3"
"28","PBANKA_051760",0.240903804618707,"m1",7,"P_IFNYKO","poolC3"
"29","PBANKA_070700",1.83466641350011,"m1",7,"P_IFNYKO","poolC3"
"30","PBANKA_030240",0.290745971091543,"m1",7,"P_IFNYKO","poolC3"
"31","PBANKA_133090",0.992096456459307,"m1",7,"P_IFNYKO","poolC3"
"32","PBANKA_143630",0.808155127809555,"m1",7,"P_IFNYKO","poolC3"
"33","PBANKA_052230",0.885291814017516,"m1",7,"P_IFNYKO","poolC3"
"34","PBANKA_143060",0.202928820639404,"m1",7,"P_IFNYKO","poolC3"
"35","PBANKA_131530",1.63767118410747,"m1",7,"P_IFNYKO","poolC3"
"36","PBANKA_134630",1.12738233688558,"m1",7,"P_IFNYKO","poolC3"
"37","PBANKA_103240",1.02651128569055,"m1",7,"P_IFNYKO","poolC3"
"38","PBANKA_062030",0.192248356395225,"m1",7,"P_IFNYKO","poolC3"
"39","PBANKA_093080",0.0261078014857712,"m1",7,"P_IFNYKO","poolC3"
"40","PBANKA_143440",0.757126243087366,"m1",7,"P_IFNYKO","poolC3"
"41","PBANKA_102460",0.437899034011345,"m1",7,"P_IFNYKO","poolC3"
