"","gene","abundance","mice","day","background","pool"
"1","PBANKA_031580",4.73942460814667,"m1",7,"P_RAG1KO","minipool2"
"2","PBANKA_051490",3.31913311292004,"m1",7,"P_RAG1KO","minipool2"
"3","PBANKA_051500",9.54836832192196,"m1",7,"P_RAG1KO","minipool2"
"4","PBANKA_071020",8.27439029319279,"m1",7,"P_RAG1KO","minipool2"
"5","PBANKA_010940",3.60771823744816,"m1",7,"P_RAG1KO","minipool2"
"6","PBANKA_093380",0.830995820770045,"m1",7,"P_RAG1KO","minipool2"
"7","PBANKA_135820",5.06034420040903,"m1",7,"P_RAG1KO","minipool2"
"8","PBANKA_110700",0.53756052608179,"m1",7,"P_RAG1KO","minipool2"
"9","PBANKA_051700",1.53831230245661,"m1",7,"P_RAG1KO","minipool2"
"10","PBANKA_080060",56.598252322019,"m1",7,"P_RAG1KO","minipool2"
"11","PBANKA_136410",3.87771104302909,"m1",7,"P_RAG1KO","minipool2"
"12","PBANKA_124020",2.06778921160484,"m1",7,"P_RAG1KO","minipool2"
"13","PBANKA_031580",3.72065021071644,"m1",8,"P_RAG1KO","minipool2"
"14","PBANKA_051490",5.31707806542244,"m1",8,"P_RAG1KO","minipool2"
"15","PBANKA_051500",17.3640377282761,"m1",8,"P_RAG1KO","minipool2"
"16","PBANKA_071020",14.8394541440899,"m1",8,"P_RAG1KO","minipool2"
"17","PBANKA_010940",6.25827814569536,"m1",8,"P_RAG1KO","minipool2"
"18","PBANKA_093380",1.00391330523781,"m1",8,"P_RAG1KO","minipool2"
"19","PBANKA_135820",10.437487457355,"m1",8,"P_RAG1KO","minipool2"
"20","PBANKA_110700",2.70268914308649,"m1",8,"P_RAG1KO","minipool2"
"21","PBANKA_051700",1.00842865743528,"m1",8,"P_RAG1KO","minipool2"
"22","PBANKA_080060",21.264298615292,"m1",8,"P_RAG1KO","minipool2"
"23","PBANKA_136410",9.89765201685731,"m1",8,"P_RAG1KO","minipool2"
"24","PBANKA_124020",6.18603251053582,"m1",8,"P_RAG1KO","minipool2"
"25","PBANKA_031580",2.94741588694057,"m1",9,"P_RAG1KO","minipool2"
"26","PBANKA_051490",6.41442143127991,"m1",9,"P_RAG1KO","minipool2"
"27","PBANKA_051500",22.6897732047511,"m1",9,"P_RAG1KO","minipool2"
"28","PBANKA_071020",18.7482705965545,"m1",9,"P_RAG1KO","minipool2"
"29","PBANKA_010940",7.55300941820306,"m1",9,"P_RAG1KO","minipool2"
"30","PBANKA_093380",1.23287250069176,"m1",9,"P_RAG1KO","minipool2"
"31","PBANKA_135820",10.5793373438413,"m1",9,"P_RAG1KO","minipool2"
"32","PBANKA_110700",3.37067136722793,"m1",9,"P_RAG1KO","minipool2"
"33","PBANKA_051700",0.650768111337713,"m1",9,"P_RAG1KO","minipool2"
"34","PBANKA_080060",8.80842821566558,"m1",9,"P_RAG1KO","minipool2"
"35","PBANKA_136410",11.1214732980108,"m1",9,"P_RAG1KO","minipool2"
"36","PBANKA_124020",5.88355862549576,"m1",9,"P_RAG1KO","minipool2"
"37","PBANKA_031580",2.14412635735439,"m1",10,"P_RAG1KO","minipool2"
"38","PBANKA_051490",8.63573543928924,"m1",10,"P_RAG1KO","minipool2"
"39","PBANKA_051500",27.1253701875617,"m1",10,"P_RAG1KO","minipool2"
"40","PBANKA_071020",17.2951628825271,"m1",10,"P_RAG1KO","minipool2"
"41","PBANKA_010940",6.17571569595262,"m1",10,"P_RAG1KO","minipool2"
"42","PBANKA_093380",1.08588351431392,"m1",10,"P_RAG1KO","minipool2"
"43","PBANKA_135820",9.68015794669299,"m1",10,"P_RAG1KO","minipool2"
"44","PBANKA_110700",3.56367226061204,"m1",10,"P_RAG1KO","minipool2"
"45","PBANKA_051700",0.538993089832182,"m1",10,"P_RAG1KO","minipool2"
"46","PBANKA_080060",7.12142152023692,"m1",10,"P_RAG1KO","minipool2"
"47","PBANKA_136410",10.746298124383,"m1",10,"P_RAG1KO","minipool2"
"48","PBANKA_124020",5.88746298124383,"m1",10,"P_RAG1KO","minipool2"
"49","PBANKA_031580",1.8230877775025,"m1",11,"P_RAG1KO","minipool2"
"50","PBANKA_051490",8.33288451802622,"m1",11,"P_RAG1KO","minipool2"
"51","PBANKA_051500",26.195374688971,"m1",11,"P_RAG1KO","minipool2"
"52","PBANKA_071020",18.7506059006646,"m1",11,"P_RAG1KO","minipool2"
"53","PBANKA_010940",6.80009048116591,"m1",11,"P_RAG1KO","minipool2"
"54","PBANKA_093380",0.926893372254597,"m1",11,"P_RAG1KO","minipool2"
"55","PBANKA_135820",9.34810474272111,"m1",11,"P_RAG1KO","minipool2"
"56","PBANKA_110700",4.35656042310717,"m1",11,"P_RAG1KO","minipool2"
"57","PBANKA_051700",0.455637299783491,"m1",11,"P_RAG1KO","minipool2"
"58","PBANKA_080060",4.80250331225697,"m1",11,"P_RAG1KO","minipool2"
"59","PBANKA_136410",12.4083070327563,"m1",11,"P_RAG1KO","minipool2"
"60","PBANKA_124020",5.79995045079009,"m1",11,"P_RAG1KO","minipool2"
"61","PBANKA_031580",4.79984499128076,"m2",7,"P_RAG1KO","minipool2"
"62","PBANKA_051490",0.420073629141639,"m2",7,"P_RAG1KO","minipool2"
"63","PBANKA_051500",2.6452237938384,"m2",7,"P_RAG1KO","minipool2"
"64","PBANKA_071020",1.70432086804883,"m2",7,"P_RAG1KO","minipool2"
"65","PBANKA_010940",3.64813020732416,"m2",7,"P_RAG1KO","minipool2"
"66","PBANKA_093380",0.0914551443518698,"m2",7,"P_RAG1KO","minipool2"
"67","PBANKA_135820",2.11741910482465,"m2",7,"P_RAG1KO","minipool2"
"68","PBANKA_110700",0.357295097849254,"m2",7,"P_RAG1KO","minipool2"
"69","PBANKA_051700",1.38112768843247,"m2",7,"P_RAG1KO","minipool2"
"70","PBANKA_080060",81.5206355357489,"m2",7,"P_RAG1KO","minipool2"
"71","PBANKA_136410",1.02615772137183,"m2",7,"P_RAG1KO","minipool2"
"72","PBANKA_124020",0.288316217787251,"m2",7,"P_RAG1KO","minipool2"
"73","PBANKA_031580",0.413738649822345,"m2",8,"P_RAG1KO","minipool2"
"74","PBANKA_051490",1.51677852348993,"m2",8,"P_RAG1KO","minipool2"
"75","PBANKA_051500",11.6312672720095,"m2",8,"P_RAG1KO","minipool2"
"76","PBANKA_071020",4.30793525463877,"m2",8,"P_RAG1KO","minipool2"
"77","PBANKA_010940",1.84129490722463,"m2",8,"P_RAG1KO","minipool2"
"78","PBANKA_093380",0.131069877615476,"m2",8,"P_RAG1KO","minipool2"
"79","PBANKA_135820",4.55507303592578,"m2",8,"P_RAG1KO","minipool2"
"80","PBANKA_110700",0.875641531780498,"m2",8,"P_RAG1KO","minipool2"
"81","PBANKA_051700",1.29016975917884,"m2",8,"P_RAG1KO","minipool2"
"82","PBANKA_080060",67.6273193841295,"m2",8,"P_RAG1KO","minipool2"
"83","PBANKA_136410",4.11290959336755,"m2",8,"P_RAG1KO","minipool2"
"84","PBANKA_124020",1.69680221081721,"m2",8,"P_RAG1KO","minipool2"
"85","PBANKA_031580",0.963070133134581,"m2",9,"P_RAG1KO","minipool2"
"86","PBANKA_051490",3.34370935449457,"m2",9,"P_RAG1KO","minipool2"
"87","PBANKA_051500",33.2251888874275,"m2",9,"P_RAG1KO","minipool2"
"88","PBANKA_071020",12.0091484355591,"m2",9,"P_RAG1KO","minipool2"
"89","PBANKA_010940",4.06126236719424,"m2",9,"P_RAG1KO","minipool2"
"90","PBANKA_093380",0.529761643795578,"m2",9,"P_RAG1KO","minipool2"
"91","PBANKA_135820",10.2006517894983,"m2",9,"P_RAG1KO","minipool2"
"92","PBANKA_110700",1.88010580618762,"m2",9,"P_RAG1KO","minipool2"
"93","PBANKA_051700",0.963800838850161,"m2",9,"P_RAG1KO","minipool2"
"94","PBANKA_080060",21.9314013474213,"m2",9,"P_RAG1KO","minipool2"
"95","PBANKA_136410",7.7432884680024,"m2",9,"P_RAG1KO","minipool2"
"96","PBANKA_124020",3.14861092843468,"m2",9,"P_RAG1KO","minipool2"
"97","PBANKA_031580",0.55476477243695,"m2",10,"P_RAG1KO","minipool2"
"98","PBANKA_051490",7.31465694785524,"m2",10,"P_RAG1KO","minipool2"
"99","PBANKA_051500",41.337796478495,"m2",10,"P_RAG1KO","minipool2"
"100","PBANKA_071020",12.8810749088861,"m2",10,"P_RAG1KO","minipool2"
"101","PBANKA_010940",3.60336404352609,"m2",10,"P_RAG1KO","minipool2"
"102","PBANKA_093380",0.421808929418696,"m2",10,"P_RAG1KO","minipool2"
"103","PBANKA_135820",10.2777473630424,"m2",10,"P_RAG1KO","minipool2"
"104","PBANKA_110700",2.1126944153332,"m2",10,"P_RAG1KO","minipool2"
"105","PBANKA_051700",0.940597414921295,"m2",10,"P_RAG1KO","minipool2"
"106","PBANKA_080060",9.58220581564499,"m2",10,"P_RAG1KO","minipool2"
"107","PBANKA_136410",8.26724645842132,"m2",10,"P_RAG1KO","minipool2"
"108","PBANKA_124020",2.70604245201858,"m2",10,"P_RAG1KO","minipool2"
"109","PBANKA_031580",0.40036052365563,"m2",11,"P_RAG1KO","minipool2"
"110","PBANKA_051490",6.22102490302212,"m2",11,"P_RAG1KO","minipool2"
"111","PBANKA_051500",46.001623352372,"m2",11,"P_RAG1KO","minipool2"
"112","PBANKA_071020",13.4056040514095,"m2",11,"P_RAG1KO","minipool2"
"113","PBANKA_010940",3.37667252600601,"m2",11,"P_RAG1KO","minipool2"
"114","PBANKA_093380",0.350066477773517,"m2",11,"P_RAG1KO","minipool2"
"115","PBANKA_135820",11.1209596701507,"m2",11,"P_RAG1KO","minipool2"
"116","PBANKA_110700",2.96087521599052,"m2",11,"P_RAG1KO","minipool2"
"117","PBANKA_051700",0.963056284514911,"m2",11,"P_RAG1KO","minipool2"
"118","PBANKA_080060",2.3583425871058,"m2",11,"P_RAG1KO","minipool2"
"119","PBANKA_136410",9.49611341556327,"m2",11,"P_RAG1KO","minipool2"
"120","PBANKA_124020",3.34530099243597,"m2",11,"P_RAG1KO","minipool2"
"121","PBANKA_031580",1.40027426481792,"m3",7,"P_RAG1KO","minipool2"
"122","PBANKA_051490",1.74767636751486,"m3",7,"P_RAG1KO","minipool2"
"123","PBANKA_051500",4.05950022855402,"m3",7,"P_RAG1KO","minipool2"
"124","PBANKA_071020",3.5982020417492,"m3",7,"P_RAG1KO","minipool2"
"125","PBANKA_010940",1.4037025750419,"m3",7,"P_RAG1KO","minipool2"
"126","PBANKA_093380",0.1405607191833,"m3",7,"P_RAG1KO","minipool2"
"127","PBANKA_135820",4.0892122504952,"m3",7,"P_RAG1KO","minipool2"
"128","PBANKA_110700",0.698232515617858,"m3",7,"P_RAG1KO","minipool2"
"129","PBANKA_051700",1.09363096145056,"m3",7,"P_RAG1KO","minipool2"
"130","PBANKA_080060",76.727106506171,"m3",7,"P_RAG1KO","minipool2"
"131","PBANKA_136410",4.21263141855859,"m3",7,"P_RAG1KO","minipool2"
"132","PBANKA_124020",0.82927015084565,"m3",7,"P_RAG1KO","minipool2"
"133","PBANKA_031580",1.63516589074516,"m3",8,"P_RAG1KO","minipool2"
"134","PBANKA_051490",5.15819520475049,"m3",8,"P_RAG1KO","minipool2"
"135","PBANKA_051500",16.6829491930598,"m3",8,"P_RAG1KO","minipool2"
"136","PBANKA_071020",8.99941601218188,"m3",8,"P_RAG1KO","minipool2"
"137","PBANKA_010940",4.00932197376967,"m3",8,"P_RAG1KO","minipool2"
"138","PBANKA_093380",0.243965004393553,"m3",8,"P_RAG1KO","minipool2"
"139","PBANKA_135820",7.07389356139786,"m3",8,"P_RAG1KO","minipool2"
"140","PBANKA_110700",2.37361030001692,"m3",8,"P_RAG1KO","minipool2"
"141","PBANKA_051700",1.54674904351528,"m3",8,"P_RAG1KO","minipool2"
"142","PBANKA_080060",40.4610774848136,"m3",8,"P_RAG1KO","minipool2"
"143","PBANKA_136410",8.17146318966505,"m3",8,"P_RAG1KO","minipool2"
"144","PBANKA_124020",3.64419314169073,"m3",8,"P_RAG1KO","minipool2"
"145","PBANKA_031580",0.954550527497489,"m3",9,"P_RAG1KO","minipool2"
"146","PBANKA_051490",7.06853200107666,"m3",9,"P_RAG1KO","minipool2"
"147","PBANKA_051500",26.3814394411875,"m3",9,"P_RAG1KO","minipool2"
"148","PBANKA_071020",12.7603841836098,"m3",9,"P_RAG1KO","minipool2"
"149","PBANKA_010940",5.48242878619775,"m3",9,"P_RAG1KO","minipool2"
"150","PBANKA_093380",0.363044320293061,"m3",9,"P_RAG1KO","minipool2"
"151","PBANKA_135820",10.2374559324593,"m3",9,"P_RAG1KO","minipool2"
"152","PBANKA_110700",4.17796393190785,"m3",9,"P_RAG1KO","minipool2"
"153","PBANKA_051700",0.594132205904558,"m3",9,"P_RAG1KO","minipool2"
"154","PBANKA_080060",14.5992397733763,"m3",9,"P_RAG1KO","minipool2"
"155","PBANKA_136410",12.3106819062125,"m3",9,"P_RAG1KO","minipool2"
"156","PBANKA_124020",5.07014699027724,"m3",9,"P_RAG1KO","minipool2"
"157","PBANKA_031580",0.593442558309182,"m3",10,"P_RAG1KO","minipool2"
"158","PBANKA_051490",7.9861727226724,"m3",10,"P_RAG1KO","minipool2"
"159","PBANKA_051500",33.1355191472303,"m3",10,"P_RAG1KO","minipool2"
"160","PBANKA_071020",14.64416448151,"m3",10,"P_RAG1KO","minipool2"
"161","PBANKA_010940",5.40998797342324,"m3",10,"P_RAG1KO","minipool2"
"162","PBANKA_093380",0.446889191196283,"m3",10,"P_RAG1KO","minipool2"
"163","PBANKA_135820",10.0950953911266,"m3",10,"P_RAG1KO","minipool2"
"164","PBANKA_110700",4.69627964748329,"m3",10,"P_RAG1KO","minipool2"
"165","PBANKA_051700",0.520494469746259,"m3",10,"P_RAG1KO","minipool2"
"166","PBANKA_080060",5.8825075741146,"m3",10,"P_RAG1KO","minipool2"
"167","PBANKA_136410",12.5214408233276,"m3",10,"P_RAG1KO","minipool2"
"168","PBANKA_124020",4.06800601986028,"m3",10,"P_RAG1KO","minipool2"
"169","PBANKA_031580",0.323939697379411,"m3",11,"P_RAG1KO","minipool2"
