"","gene","abundance","mice","day","background","pool"
"1","PBANKA_051490",0.420019676597462,"m1",8,"NP_BL6","pool3"
"2","PBANKA_134230",0.795893140939936,"m1",8,"NP_BL6","pool3"
"3","PBANKA_051500",0.201180595847733,"m1",8,"NP_BL6","pool3"
"4","PBANKA_103780",0.287581039832497,"m1",8,"NP_BL6","pool3"
"5","PBANKA_140160",0.00252264070028506,"m1",8,"NP_BL6","pool3"
"6","PBANKA_102460",0.956711485583108,"m1",8,"NP_BL6","pool3"
"7","PBANKA_010110",4.45435281652834,"m1",8,"NP_BL6","pool3"
"8","PBANKA_120290",0.332988572437628,"m1",8,"NP_BL6","pool3"
"9","PBANKA_071020",4.09109255568729,"m1",8,"NP_BL6","pool3"
"10","PBANKA_145540",0.869680381423274,"m1",8,"NP_BL6","pool3"
"11","PBANKA_133820",0.53858378951086,"m1",8,"NP_BL6","pool3"
"12","PBANKA_020900",0.0088292424509977,"m1",8,"NP_BL6","pool3"
"13","PBANKA_112920",0.572639438964708,"m1",8,"NP_BL6","pool3"
"14","PBANKA_011160",3.17852728235917,"m1",8,"NP_BL6","pool3"
"15","PBANKA_120400",0.0391009308544184,"m1",8,"NP_BL6","pool3"
"16","PBANKA_010940",0.739764385358593,"m1",8,"NP_BL6","pool3"
"17","PBANKA_141230",0.922025175954189,"m1",8,"NP_BL6","pool3"
"18","PBANKA_121220",0.0996443076612598,"m1",8,"NP_BL6","pool3"
"19","PBANKA_030140",0.76309881183623,"m1",8,"NP_BL6","pool3"
"20","PBANKA_093380",0.632552155596478,"m1",8,"NP_BL6","pool3"
"21","PBANKA_061640",0.477409752528947,"m1",8,"NP_BL6","pool3"
"22","PBANKA_135820",4.13586942811735,"m1",8,"NP_BL6","pool3"
"23","PBANKA_140450",1.78539895562675,"m1",8,"NP_BL6","pool3"
"24","PBANKA_101210",0.261723972654575,"m1",8,"NP_BL6","pool3"
"25","PBANKA_092600",0.0807245024091219,"m1",8,"NP_BL6","pool3"
"26","PBANKA_113280",1.86801543856109,"m1",8,"NP_BL6","pool3"
"27","PBANKA_041590",0.121086753613683,"m1",8,"NP_BL6","pool3"
"28","PBANKA_080640",1.71981029741934,"m1",8,"NP_BL6","pool3"
"29","PBANKA_121140",0.292626321233067,"m1",8,"NP_BL6","pool3"
"30","PBANKA_030770",0.194243333921949,"m1",8,"NP_BL6","pool3"
"31","PBANKA_144170",0.275598496506143,"m1",8,"NP_BL6","pool3"
"32","PBANKA_120740",0.560656895638354,"m1",8,"NP_BL6","pool3"
"33","PBANKA_134420",1.38303776393128,"m1",8,"NP_BL6","pool3"
"34","PBANKA_142710",0.753638909210161,"m1",8,"NP_BL6","pool3"
"35","PBANKA_050720",0.672914406801039,"m1",8,"NP_BL6","pool3"
"36","PBANKA_091910",0.0592820564566989,"m1",8,"NP_BL6","pool3"
"37","PBANKA_091240",0.563810196513711,"m1",8,"NP_BL6","pool3"
"38","PBANKA_083290",0.0151358442017104,"m1",8,"NP_BL6","pool3"
"39","PBANKA_145980",0.042884891904846,"m1",8,"NP_BL6","pool3"
"40","PBANKA_110700",0.0750485608334805,"m1",8,"NP_BL6","pool3"
"41","PBANKA_131420",0.0782018617088368,"m1",8,"NP_BL6","pool3"
"42","PBANKA_102760",0.482455033929517,"m1",8,"NP_BL6","pool3"
"43","PBANKA_100250",1.80873338210439,"m1",8,"NP_BL6","pool3"
"44","PBANKA_103210",0.196765974622235,"m1",8,"NP_BL6","pool3"
"45","PBANKA_121060",0.477409752528947,"m1",8,"NP_BL6","pool3"
"46","PBANKA_020830",0.0996443076612598,"m1",8,"NP_BL6","pool3"
"47","PBANKA_123740",1.24366186524053,"m1",8,"NP_BL6","pool3"
"48","PBANKA_040750",0.0409929113796322,"m1",8,"NP_BL6","pool3"
"49","PBANKA_135330",0.857067177921848,"m1",8,"NP_BL6","pool3"
"50","PBANKA_112390",7.87568426628995,"m1",8,"NP_BL6","pool3"
"51","PBANKA_131600",0.216947100224515,"m1",8,"NP_BL6","pool3"
"52","PBANKA_114320",1.48268207159254,"m1",8,"NP_BL6","pool3"
"53","PBANKA_142930",0.244065487752579,"m1",8,"NP_BL6","pool3"
"54","PBANKA_031340",0.0454075326051311,"m1",8,"NP_BL6","pool3"
"55","PBANKA_142520",3.00572639438965,"m1",8,"NP_BL6","pool3"
"56","PBANKA_121960",0.501374839181655,"m1",8,"NP_BL6","pool3"
"57","PBANKA_010240",0.076309881183623,"m1",8,"NP_BL6","pool3"
"58","PBANKA_134980",0.48371635427966,"m1",8,"NP_BL6","pool3"
"59","PBANKA_071330",1.01788552256502,"m1",8,"NP_BL6","pool3"
"60","PBANKA_041450",0.0718952599581242,"m1",8,"NP_BL6","pool3"
"61","PBANKA_081280",0.021442445952423,"m1",8,"NP_BL6","pool3"
"62","PBANKA_060150",0.400469211170253,"m1",8,"NP_BL6","pool3"
"63","PBANKA_071630",1.75008198582276,"m1",8,"NP_BL6","pool3"
"64","PBANKA_080060",1.19573169193512,"m1",8,"NP_BL6","pool3"
"65","PBANKA_092910",0.652102621023688,"m1",8,"NP_BL6","pool3"
"66","PBANKA_083200",1.24555384576575,"m1",8,"NP_BL6","pool3"
"67","PBANKA_081910",0.0744179006584092,"m1",8,"NP_BL6","pool3"
"68","PBANKA_112120",0.453444665876239,"m1",8,"NP_BL6","pool3"
