"","gene","abundance","mice","day","background","pool"
"1","PBANKA_101810",0.410577293961342,"m1",8,"NP_BL6","poolC2"
"2","PBANKA_082040",0.429434706210089,"m1",8,"NP_BL6","poolC2"
"3","PBANKA_142220",0.297432820468864,"m1",8,"NP_BL6","poolC2"
"4","PBANKA_101700",0.328290404148631,"m1",8,"NP_BL6","poolC2"
"5","PBANKA_131140",1.21801740024857,"m1",8,"NP_BL6","poolC2"
"6","PBANKA_031580",0.216860240860584,"m1",8,"NP_BL6","poolC2"
"7","PBANKA_051490",3.24090344147774,"m1",8,"NP_BL6","poolC2"
"8","PBANKA_123360",1.45202074315347,"m1",8,"NP_BL6","poolC2"
"9","PBANKA_082710",0.057429391848455,"m1",8,"NP_BL6","poolC2"
"10","PBANKA_135260",1.82488321261732,"m1",8,"NP_BL6","poolC2"
"11","PBANKA_121260",0.544293489906999,"m1",8,"NP_BL6","poolC2"
"12","PBANKA_113980",1.58745124930356,"m1",8,"NP_BL6","poolC2"
"13","PBANKA_112810",0.057429391848455,"m1",8,"NP_BL6","poolC2"
"14","PBANKA_103520",0.0111430163288047,"m1",8,"NP_BL6","poolC2"
"15","PBANKA_051300",0.748296404234346,"m1",8,"NP_BL6","poolC2"
"16","PBANKA_031480",2.32203317190246,"m1",8,"NP_BL6","poolC2"
"17","PBANKA_080690",0.0942870612437321,"m1",8,"NP_BL6","poolC2"
"18","PBANKA_082320",2.04602922898899,"m1",8,"NP_BL6","poolC2"
"19","PBANKA_100640",2.54832211888741,"m1",8,"NP_BL6","poolC2"
"20","PBANKA_103780",0.00342862040886298,"m1",8,"NP_BL6","poolC2"
"21","PBANKA_145770",1.13658766553808,"m1",8,"NP_BL6","poolC2"
"22","PBANKA_140160",0.0120001714310204,"m1",8,"NP_BL6","poolC2"
"23","PBANKA_133580",1.67402391462735,"m1",8,"NP_BL6","poolC2"
"24","PBANKA_093290",1.98602837183388,"m1",8,"NP_BL6","poolC2"
"25","PBANKA_132910",0.675438220546008,"m1",8,"NP_BL6","poolC2"
