"","gene","abundance","mice","day","background","pool"
"1","PBANKA_010720",11.906918909317,"m1",8,"NP_RAG1KO","PbSTM139_PbSTM145"
"2","PBANKA_140160",0.0395239364064304,"m1",8,"NP_RAG1KO","PbSTM139_PbSTM145"
"3","PBANKA_010780",0.00310862421174172,"m1",8,"NP_RAG1KO","PbSTM139_PbSTM145"
"4","PBANKA_133690",0.911715072386535,"m1",8,"NP_RAG1KO","PbSTM139_PbSTM145"
"5","PBANKA_103780",2.28128608224531,"m1",8,"NP_RAG1KO","PbSTM139_PbSTM145"
"6","PBANKA_101610",0.97166711075584,"m1",8,"NP_RAG1KO","PbSTM139_PbSTM145"
"7","PBANKA_041850",17.9125588418154,"m1",8,"NP_RAG1KO","PbSTM139_PbSTM145"
"8","PBANKA_041190",0.532462918554046,"m1",8,"NP_RAG1KO","PbSTM139_PbSTM145"
"9","PBANKA_104030",0.32041033839595,"m1",8,"NP_RAG1KO","PbSTM139_PbSTM145"
"10","PBANKA_051500",0.32485123012701,"m1",8,"NP_RAG1KO","PbSTM139_PbSTM145"
"11","PBANKA_132420",0.0170974331645794,"m1",8,"NP_RAG1KO","PbSTM139_PbSTM145"
"12","PBANKA_110420",0.00177635669242384,"m1",8,"NP_RAG1KO","PbSTM139_PbSTM145"
"13","PBANKA_112510",1.09801048050449,"m1",8,"NP_RAG1KO","PbSTM139_PbSTM145"
"14","PBANKA_041065",1.13598010480504,"m1",8,"NP_RAG1KO","PbSTM139_PbSTM145"
"15","PBANKA_051700",0.587529976019185,"m1",8,"NP_RAG1KO","PbSTM139_PbSTM145"
"16","PBANKA_120070",0.0182076560973443,"m1",8,"NP_RAG1KO","PbSTM139_PbSTM145"
"17","PBANKA_062350",0.0357491784350298,"m1",8,"NP_RAG1KO","PbSTM139_PbSTM145"
"18","PBANKA_094130",0.00621724842348344,"m1",8,"NP_RAG1KO","PbSTM139_PbSTM145"
"19","PBANKA_120790",2.27440270006217,"m1",8,"NP_RAG1KO","PbSTM139_PbSTM145"
"20","PBANKA_083660",1.09157118749445,"m1",8,"NP_RAG1KO","PbSTM139_PbSTM145"
"21","PBANKA_083210",0.219602096100897,"m1",8,"NP_RAG1KO","PbSTM139_PbSTM145"
"22","PBANKA_060990",0.00133226751931788,"m1",8,"NP_RAG1KO","PbSTM139_PbSTM145"
"23","PBANKA_102390",0.0937028155253575,"m1",8,"NP_RAG1KO","PbSTM139_PbSTM145"
"24","PBANKA_120520",2.31059596767031,"m1",8,"NP_RAG1KO","PbSTM139_PbSTM145"
"25","PBANKA_143540",0.0228705924149569,"m1",8,"NP_RAG1KO","PbSTM139_PbSTM145"
"26","PBANKA_091510",1.51789679367617,"m1",8,"NP_RAG1KO","PbSTM139_PbSTM145"
"27","PBANKA_052320",0.0519584332533973,"m1",8,"NP_RAG1KO","PbSTM139_PbSTM145"
"28","PBANKA_051810",0.296429523048228,"m1",8,"NP_RAG1KO","PbSTM139_PbSTM145"
"29","PBANKA_100860",0.30775379696243,"m1",8,"NP_RAG1KO","PbSTM139_PbSTM145"
"30","PBANKA_051080",0.0339728217426059,"m1",8,"NP_RAG1KO","PbSTM139_PbSTM145"
"31","PBANKA_090270",6.19815258903988,"m1",8,"NP_RAG1KO","PbSTM139_PbSTM145"
"32","PBANKA_092770",0.26600941469047,"m1",8,"NP_RAG1KO","PbSTM139_PbSTM145"
"33","PBANKA_100120",1.84052757793765,"m1",8,"NP_RAG1KO","PbSTM139_PbSTM145"
"34","PBANKA_111210",0.700106581401545,"m1",8,"NP_RAG1KO","PbSTM139_PbSTM145"
"35","PBANKA_111760",1.93556266098233,"m1",8,"NP_RAG1KO","PbSTM139_PbSTM145"
"36","PBANKA_110130",NA,"m1",8,"NP_RAG1KO","PbSTM139_PbSTM145"
"37","PBANKA_134910",NA,"m1",8,"NP_RAG1KO","PbSTM139_PbSTM145"
"38","PBANKA_031000",0.0648370192734701,"m1",8,"NP_RAG1KO","PbSTM139_PbSTM145"
"39","PBANKA_103440",0.0179856115107914,"m1",8,"NP_RAG1KO","PbSTM139_PbSTM145"
"40","PBANKA_100060",0.437871924682476,"m1",8,"NP_RAG1KO","PbSTM139_PbSTM145"
"41","PBANKA_060880",0.474731326050271,"m1",8,"NP_RAG1KO","PbSTM139_PbSTM145"
"42","PBANKA_131150",0.843103295141664,"m1",8,"NP_RAG1KO","PbSTM139_PbSTM145"
"43","PBANKA_052480",1.31450395239364,"m1",8,"NP_RAG1KO","PbSTM139_PbSTM145"
"44","PBANKA_050120",2.96984634514611,"m1",8,"NP_RAG1KO","PbSTM139_PbSTM145"
