"","gene","abundance","mice","day","background","pool"
"1","PBANKA_101810",0.656428852287125,"m1",8,"NP_RAG1KO","pool1"
"2","PBANKA_082040",0.82135523613963,"m1",8,"NP_RAG1KO","pool1"
"3","PBANKA_142220",0.584341823583381,"m1",8,"NP_RAG1KO","pool1"
"4","PBANKA_101700",0.681550089562672,"m1",8,"NP_RAG1KO","pool1"
"5","PBANKA_131140",2.33518283891826,"m1",8,"NP_RAG1KO","pool1"
"6","PBANKA_031580",1.86443269692866,"m1",8,"NP_RAG1KO","pool1"
"7","PBANKA_051490",4.92157805059199,"m1",8,"NP_RAG1KO","pool1"
"8","PBANKA_060800",1.17632924112019,"m1",8,"NP_RAG1KO","pool1"
"9","PBANKA_143030",1.08021320284853,"m1",8,"NP_RAG1KO","pool1"
"10","PBANKA_060620",1.82838918257678,"m1",8,"NP_RAG1KO","pool1"
"11","PBANKA_123360",2.27401808729084,"m1",8,"NP_RAG1KO","pool1"
"12","PBANKA_135260",2.84306872296736,"m1",8,"NP_RAG1KO","pool1"
"13","PBANKA_121260",1.24623181440867,"m1",8,"NP_RAG1KO","pool1"
"14","PBANKA_113980",0.777666127834331,"m1",8,"NP_RAG1KO","pool1"
"15","PBANKA_100240",0.169295294683036,"m1",8,"NP_RAG1KO","pool1"
"16","PBANKA_112810",0.159465245314343,"m1",8,"NP_RAG1KO","pool1"
"17","PBANKA_101750",0.233736729433352,"m1",8,"NP_RAG1KO","pool1"
"18","PBANKA_142590",0.0109222770763249,"m1",8,"NP_RAG1KO","pool1"
"19","PBANKA_140410",0.0666258901655817,"m1",8,"NP_RAG1KO","pool1"
"20","PBANKA_051300",0.964437065839486,"m1",8,"NP_RAG1KO","pool1"
"21","PBANKA_031480",5.31914893617021,"m1",8,"NP_RAG1KO","pool1"
"22","PBANKA_051500",6.33710515968369,"m1",8,"NP_RAG1KO","pool1"
"23","PBANKA_082320",1.06164533181878,"m1",8,"NP_RAG1KO","pool1"
"24","PBANKA_111920",0.294901481060772,"m1",8,"NP_RAG1KO","pool1"
"25","PBANKA_124120",0.879243304644152,"m1",8,"NP_RAG1KO","pool1"
"26","PBANKA_100640",0.539560487570449,"m1",8,"NP_RAG1KO","pool1"
"27","PBANKA_103780",1.75302547075014,"m1",8,"NP_RAG1KO","pool1"
"28","PBANKA_110690",0.776573900126698,"m1",8,"NP_RAG1KO","pool1"
"29","PBANKA_145770",2.31224605705798,"m1",8,"NP_RAG1KO","pool1"
"30","PBANKA_091600",0.880335532351785,"m1",8,"NP_RAG1KO","pool1"
"31","PBANKA_140160",0.0327668312289746,"m1",8,"NP_RAG1KO","pool1"
"32","PBANKA_103440",0.00655336624579492,"m1",8,"NP_RAG1KO","pool1"
"33","PBANKA_133580",1.25715409148499,"m1",8,"NP_RAG1KO","pool1"
"34","PBANKA_093290",4.0816549434226,"m1",8,"NP_RAG1KO","pool1"
"35","PBANKA_132910",2.78627288217047,"m1",8,"NP_RAG1KO","pool1"
"36","PBANKA_146060",2.97085936476037,"m1",8,"NP_RAG1KO","pool1"
"37","PBANKA_110420",0.0131067324915898,"m1",8,"NP_RAG1KO","pool1"
"38","PBANKA_031590",2.23469788981607,"m1",8,"NP_RAG1KO","pool1"
"39","PBANKA_051220",0.40412425182402,"m1",8,"NP_RAG1KO","pool1"
"40","PBANKA_121340",0.910917908165494,"m1",8,"NP_RAG1KO","pool1"
"41","PBANKA_080650",0.18458648258989,"m1",8,"NP_RAG1KO","pool1"
"42","PBANKA_070700",4.61903097557779,"m1",8,"NP_RAG1KO","pool1"
"43","PBANKA_031180",0.107038315347984,"m1",8,"NP_RAG1KO","pool1"
"44","PBANKA_030240",0.448905587836952,"m1",8,"NP_RAG1KO","pool1"
"45","PBANKA_061920",0.909825680457862,"m1",8,"NP_RAG1KO","pool1"
"46","PBANKA_111060",0.185678710297523,"m1",8,"NP_RAG1KO","pool1"
"47","PBANKA_143630",3.35095460701647,"m1",8,"NP_RAG1KO","pool1"
"48","PBANKA_052230",3.30508104329591,"m1",8,"NP_RAG1KO","pool1"
"49","PBANKA_071130",0.707763554545852,"m1",8,"NP_RAG1KO","pool1"
"50","PBANKA_143060",1.36091572371008,"m1",8,"NP_RAG1KO","pool1"
"51","PBANKA_040730",0.670627812486347,"m1",8,"NP_RAG1KO","pool1"
"52","PBANKA_144900",0.388833063917165,"m1",8,"NP_RAG1KO","pool1"
"53","PBANKA_131530",4.28808598016514,"m1",8,"NP_RAG1KO","pool1"
"54","PBANKA_134630",5.43601730088689,"m1",8,"NP_RAG1KO","pool1"
"55","PBANKA_135960",2.12219843592992,"m1",8,"NP_RAG1KO","pool1"
"56","PBANKA_135250",1.38057582244746,"m1",8,"NP_RAG1KO","pool1"
"57","PBANKA_103240",2.5820263008432,"m1",8,"NP_RAG1KO","pool1"
"58","PBANKA_062030",3.54755559439032,"m1",8,"NP_RAG1KO","pool1"
"59","PBANKA_111340",1.86880160775919,"m1",8,"NP_RAG1KO","pool1"
"60","PBANKA_093080",0.17584866092883,"m1",8,"NP_RAG1KO","pool1"
"61","PBANKA_143440",2.39743981825331,"m1",8,"NP_RAG1KO","pool1"
"62","PBANKA_030600",0.415046528900345,"m1",8,"NP_RAG1KO","pool1"
"63","PBANKA_101810",0.652616600014721,"m1",9,"NP_RAG1KO","pool1"
"64","PBANKA_082040",0.840305208665571,"m1",9,"NP_RAG1KO","pool1"
"65","PBANKA_142220",0.678377781594249,"m1",9,"NP_RAG1KO","pool1"
"66","PBANKA_101700",0.702912240241419,"m1",9,"NP_RAG1KO","pool1"
"67","PBANKA_131140",2.63377413577369,"m1",9,"NP_RAG1KO","pool1"
"68","PBANKA_031580",1.63031477710444,"m1",9,"NP_RAG1KO","pool1"
"69","PBANKA_051490",3.74395838955813,"m1",9,"NP_RAG1KO","pool1"
"70","PBANKA_060800",1.18992124438774,"m1",9,"NP_RAG1KO","pool1"
"71","PBANKA_143030",1.01204641919576,"m1",9,"NP_RAG1KO","pool1"
"72","PBANKA_060620",1.76402757673152,"m1",9,"NP_RAG1KO","pool1"
"73","PBANKA_123360",2.48411393802596,"m1",9,"NP_RAG1KO","pool1"
"74","PBANKA_135260",2.92082730194558,"m1",9,"NP_RAG1KO","pool1"
"75","PBANKA_121260",1.16784023160529,"m1",9,"NP_RAG1KO","pool1"
"76","PBANKA_113980",0.845212100395005,"m1",9,"NP_RAG1KO","pool1"
"77","PBANKA_100240",0.117765401506416,"m1",9,"NP_RAG1KO","pool1"
"78","PBANKA_112810",0.127579184965284,"m1",9,"NP_RAG1KO","pool1"
"79","PBANKA_101750",0.16315415000368,"m1",9,"NP_RAG1KO","pool1"
"80","PBANKA_142590",0.00981378345886798,"m1",9,"NP_RAG1KO","pool1"
"81","PBANKA_140410",0.0318947962413209,"m1",9,"NP_RAG1KO","pool1"
"82","PBANKA_051300",0.839078485733212,"m1",9,"NP_RAG1KO","pool1"
"83","PBANKA_031480",5.42334208395692,"m1",9,"NP_RAG1KO","pool1"
"84","PBANKA_051500",6.89786304865183,"m1",9,"NP_RAG1KO","pool1"
"85","PBANKA_082320",1.05375499889595,"m1",9,"NP_RAG1KO","pool1"
"86","PBANKA_111920",0.263745430457077,"m1",9,"NP_RAG1KO","pool1"
"87","PBANKA_124120",0.939669766186609,"m1",9,"NP_RAG1KO","pool1"
"88","PBANKA_100640",0.628082141367551,"m1",9,"NP_RAG1KO","pool1"
"89","PBANKA_103780",1.97870408989426,"m1",9,"NP_RAG1KO","pool1"
"90","PBANKA_110690",0.999779189872175,"m1",9,"NP_RAG1KO","pool1"
"91","PBANKA_145770",2.54176991584681,"m1",9,"NP_RAG1KO","pool1"
"92","PBANKA_091600",0.878333619568684,"m1",9,"NP_RAG1KO","pool1"
"93","PBANKA_140160",0.0343482421060379,"m1",9,"NP_RAG1KO","pool1"
"94","PBANKA_103440",0.012267229323585,"m1",9,"NP_RAG1KO","pool1"
"95","PBANKA_133580",1.12245148310803,"m1",9,"NP_RAG1KO","pool1"
"96","PBANKA_093290",3.70102308692559,"m1",9,"NP_RAG1KO","pool1"
"97","PBANKA_132910",2.81532912976275,"m1",9,"NP_RAG1KO","pool1"
"98","PBANKA_146060",2.96130915871341,"m1",9,"NP_RAG1KO","pool1"
"99","PBANKA_110420",0.0368016879707549,"m1",9,"NP_RAG1KO","pool1"
"100","PBANKA_031590",2.39210971809907,"m1",9,"NP_RAG1KO","pool1"
"101","PBANKA_051220",0.53853136730538,"m1",9,"NP_RAG1KO","pool1"
"102","PBANKA_121340",0.836625039868495,"m1",9,"NP_RAG1KO","pool1"
"103","PBANKA_080650",0.193822223312643,"m1",9,"NP_RAG1KO","pool1"
"104","PBANKA_070700",4.79648666552172,"m1",9,"NP_RAG1KO","pool1"
"105","PBANKA_031180",0.106724895115189,"m1",9,"NP_RAG1KO","pool1"
"106","PBANKA_030240",0.518903800387644,"m1",9,"NP_RAG1KO","pool1"
"107","PBANKA_061920",0.943349934983685,"m1",9,"NP_RAG1KO","pool1"
"108","PBANKA_111060",0.169287764665473,"m1",9,"NP_RAG1KO","pool1"
"109","PBANKA_143630",3.73782477489634,"m1",9,"NP_RAG1KO","pool1"
"110","PBANKA_052230",3.46917245270983,"m1",9,"NP_RAG1KO","pool1"
"111","PBANKA_071130",0.582693392870286,"m1",9,"NP_RAG1KO","pool1"
"112","PBANKA_143060",1.26352462032925,"m1",9,"NP_RAG1KO","pool1"
"113","PBANKA_040730",0.610908020314532,"m1",9,"NP_RAG1KO","pool1"
"114","PBANKA_144900",0.385191000760568,"m1",9,"NP_RAG1KO","pool1"
"115","PBANKA_131530",3.70838342451974,"m1",9,"NP_RAG1KO","pool1"
"116","PBANKA_134630",5.947152776074,"m1",9,"NP_RAG1KO","pool1"
"117","PBANKA_135960",1.95784980004416,"m1",9,"NP_RAG1KO","pool1"
"118","PBANKA_135250",1.64380872936039,"m1",9,"NP_RAG1KO","pool1"
"119","PBANKA_103240",2.48656738389067,"m1",9,"NP_RAG1KO","pool1"
"120","PBANKA_062030",3.29988468804436,"m1",9,"NP_RAG1KO","pool1"
"121","PBANKA_111340",1.71250521357246,"m1",9,"NP_RAG1KO","pool1"
"122","PBANKA_093080",0.181554993989058,"m1",9,"NP_RAG1KO","pool1"
"123","PBANKA_143440",2.23999607448662,"m1",9,"NP_RAG1KO","pool1"
"124","PBANKA_030600",0.43303319512255,"m1",9,"NP_RAG1KO","pool1"
"125","PBANKA_101810",0.530959365122678,"m1",10,"NP_RAG1KO","pool1"
"126","PBANKA_082040",0.931168565386452,"m1",10,"NP_RAG1KO","pool1"
"127","PBANKA_142220",0.591218136753303,"m1",10,"NP_RAG1KO","pool1"
"128","PBANKA_101700",0.540055028765036,"m1",10,"NP_RAG1KO","pool1"
"129","PBANKA_131140",2.51267708120154,"m1",10,"NP_RAG1KO","pool1"
"130","PBANKA_031580",1.5132910384974,"m1",10,"NP_RAG1KO","pool1"
"131","PBANKA_051490",4.37615116992974,"m1",10,"NP_RAG1KO","pool1"
"132","PBANKA_060800",1.24496896104782,"m1",10,"NP_RAG1KO","pool1"
"133","PBANKA_143030",0.877731541487596,"m1",10,"NP_RAG1KO","pool1"
"134","PBANKA_060620",1.91691111262706,"m1",10,"NP_RAG1KO","pool1"
"135","PBANKA_123360",2.39557041180617,"m1",10,"NP_RAG1KO","pool1"
"136","PBANKA_135260",3.32446506128203,"m1",10,"NP_RAG1KO","pool1"
"137","PBANKA_121260",1.16538190417718,"m1",10,"NP_RAG1KO","pool1"
"138","PBANKA_113980",0.751529208449871,"m1",10,"NP_RAG1KO","pool1"
"139","PBANKA_100240",0.103463173931828,"m1",10,"NP_RAG1KO","pool1"
"140","PBANKA_112810",0.0534370238988562,"m1",10,"NP_RAG1KO","pool1"
"141","PBANKA_101750",0.202378516042477,"m1",10,"NP_RAG1KO","pool1"
"142","PBANKA_142590",0.0227391591058963,"m1",10,"NP_RAG1KO","pool1"
"143","PBANKA_140410",0.0409304863906133,"m1",10,"NP_RAG1KO","pool1"
"144","PBANKA_051300",0.800418400527548,"m1",10,"NP_RAG1KO","pool1"
"145","PBANKA_031480",5.44716556381745,"m1",10,"NP_RAG1KO","pool1"
"146","PBANKA_051500",6.83198035336653,"m1",10,"NP_RAG1KO","pool1"
"147","PBANKA_082320",1.04372740296064,"m1",10,"NP_RAG1KO","pool1"
"148","PBANKA_111920",0.313800395661368,"m1",10,"NP_RAG1KO","pool1"
"149","PBANKA_124120",0.88341633126407,"m1",10,"NP_RAG1KO","pool1"
"150","PBANKA_100640",0.625326875412147,"m1",10,"NP_RAG1KO","pool1"
"151","PBANKA_103780",1.74864133524342,"m1",10,"NP_RAG1KO","pool1"
"152","PBANKA_110690",1.12217750187598,"m1",10,"NP_RAG1KO","pool1"
"153","PBANKA_145770",2.61386633922278,"m1",10,"NP_RAG1KO","pool1"
"154","PBANKA_091600",0.646929076562749,"m1",10,"NP_RAG1KO","pool1"
"155","PBANKA_140160",0.0341087386588444,"m1",10,"NP_RAG1KO","pool1"
"156","PBANKA_103440",0.00454783182117925,"m1",10,"NP_RAG1KO","pool1"
"157","PBANKA_133580",1.07669918366419,"m1",10,"NP_RAG1KO","pool1"
"158","PBANKA_093290",4.11806171407781,"m1",10,"NP_RAG1KO","pool1"
"159","PBANKA_132910",2.95154285194534,"m1",10,"NP_RAG1KO","pool1"
"160","PBANKA_146060",2.95040589399004,"m1",10,"NP_RAG1KO","pool1"
"161","PBANKA_110420",0.018191327284717,"m1",10,"NP_RAG1KO","pool1"
"162","PBANKA_031590",2.24776587761785,"m1",10,"NP_RAG1KO","pool1"
"163","PBANKA_051220",0.421811401414376,"m1",10,"NP_RAG1KO","pool1"
"164","PBANKA_121340",0.844759760784046,"m1",10,"NP_RAG1KO","pool1"
"165","PBANKA_080650",0.192145894444823,"m1",10,"NP_RAG1KO","pool1"
"166","PBANKA_070700",5.21067830911613,"m1",10,"NP_RAG1KO","pool1"
"167","PBANKA_031180",0.117106669395366,"m1",10,"NP_RAG1KO","pool1"
"168","PBANKA_030240",0.5480137344521,"m1",10,"NP_RAG1KO","pool1"
"169","PBANKA_061920",0.935716397207631,"m1",10,"NP_RAG1KO","pool1"
"170","PBANKA_111060",0.170543693294222,"m1",10,"NP_RAG1KO","pool1"
"171","PBANKA_143630",4.08281601746367,"m1",10,"NP_RAG1KO","pool1"
"172","PBANKA_052230",3.11071696568661,"m1",10,"NP_RAG1KO","pool1"
"173","PBANKA_071130",0.629874707233327,"m1",10,"NP_RAG1KO","pool1"
"174","PBANKA_143060",1.24155808718194,"m1",10,"NP_RAG1KO","pool1"
"175","PBANKA_040730",0.728790049343975,"m1",10,"NP_RAG1KO","pool1"
"176","PBANKA_144900",0.326306933169611,"m1",10,"NP_RAG1KO","pool1"
"177","PBANKA_131530",3.53821315687746,"m1",10,"NP_RAG1KO","pool1"
"178","PBANKA_134630",5.87125088114242,"m1",10,"NP_RAG1KO","pool1"
"179","PBANKA_135960",2.13179616617777,"m1",10,"NP_RAG1KO","pool1"
"180","PBANKA_135250",1.52238670213975,"m1",10,"NP_RAG1KO","pool1"
"181","PBANKA_103240",2.41944652886736,"m1",10,"NP_RAG1KO","pool1"
"182","PBANKA_062030",3.05159515201128,"m1",10,"NP_RAG1KO","pool1"
"183","PBANKA_111340",1.55308456693271,"m1",10,"NP_RAG1KO","pool1"
"184","PBANKA_093080",0.140982786456557,"m1",10,"NP_RAG1KO","pool1"
"185","PBANKA_143440",2.24776587761785,"m1",10,"NP_RAG1KO","pool1"
"186","PBANKA_030600",0.388839620710826,"m1",10,"NP_RAG1KO","pool1"
"187","PBANKA_101810",0.376372708026396,"m1",11,"NP_RAG1KO","pool1"
"188","PBANKA_082040",0.827029503163264,"m1",11,"NP_RAG1KO","pool1"
"189","PBANKA_142220",0.534845427195404,"m1",11,"NP_RAG1KO","pool1"
"190","PBANKA_101700",0.64255735350559,"m1",11,"NP_RAG1KO","pool1"
"191","PBANKA_131140",2.57889589085191,"m1",11,"NP_RAG1KO","pool1"
"192","PBANKA_031580",1.08207153557589,"m1",11,"NP_RAG1KO","pool1"
"193","PBANKA_051490",5.22959973257729,"m1",11,"NP_RAG1KO","pool1"
"194","PBANKA_060800",1.2888289113667,"m1",11,"NP_RAG1KO","pool1"
"195","PBANKA_143030",0.944645974421513,"m1",11,"NP_RAG1KO","pool1"
"196","PBANKA_060620",1.69367718611878,"m1",11,"NP_RAG1KO","pool1"
"197","PBANKA_123360",2.56651520966684,"m1",11,"NP_RAG1KO","pool1"
"198","PBANKA_135260",3.24869074296468,"m1",11,"NP_RAG1KO","pool1"
"199","PBANKA_121260",1.16006982704188,"m1",11,"NP_RAG1KO","pool1"
"200","PBANKA_113980",0.673509056468287,"m1",11,"NP_RAG1KO","pool1"
"201","PBANKA_100240",0.0680937465179334,"m1",11,"NP_RAG1KO","pool1"
"202","PBANKA_112810",0.0668556783994255,"m1",11,"NP_RAG1KO","pool1"
"203","PBANKA_101750",0.193138626487229,"m1",11,"NP_RAG1KO","pool1"
"204","PBANKA_142590",0.00495227247403152,"m1",11,"NP_RAG1KO","pool1"
"205","PBANKA_140410",0.0123806811850788,"m1",11,"NP_RAG1KO","pool1"
"206","PBANKA_051300",0.753983484171299,"m1",11,"NP_RAG1KO","pool1"
"207","PBANKA_031480",5.46235653885677,"m1",11,"NP_RAG1KO","pool1"
"208","PBANKA_051500",6.9121343056295,"m1",11,"NP_RAG1KO","pool1"
"209","PBANKA_082320",1.12664198784217,"m1",11,"NP_RAG1KO","pool1"
"210","PBANKA_111920",0.272374986071734,"m1",11,"NP_RAG1KO","pool1"
"211","PBANKA_124120",0.756459620408315,"m1",11,"NP_RAG1KO","pool1"
"212","PBANKA_100640",0.497703383640168,"m1",11,"NP_RAG1KO","pool1"
"213","PBANKA_103780",1.41758799569152,"m1",11,"NP_RAG1KO","pool1"
"214","PBANKA_110690",1.02759653836154,"m1",11,"NP_RAG1KO","pool1"
"215","PBANKA_145770",2.67546520409553,"m1",11,"NP_RAG1KO","pool1"
"216","PBANKA_091600",0.949598246895544,"m1",11,"NP_RAG1KO","pool1"
"217","PBANKA_140160",0.00866647682955516,"m1",11,"NP_RAG1KO","pool1"
"218","PBANKA_103440",NA,"m1",11,"NP_RAG1KO","pool1"
"219","PBANKA_133580",1.12416585160516,"m1",11,"NP_RAG1KO","pool1"
"220","PBANKA_093290",4.20324126233425,"m1",11,"NP_RAG1KO","pool1"
"221","PBANKA_132910",3.11374131804732,"m1",11,"NP_RAG1KO","pool1"
"222","PBANKA_146060",2.92555496403412,"m1",11,"NP_RAG1KO","pool1"
"223","PBANKA_110420",0.00495227247403152,"m1",11,"NP_RAG1KO","pool1"
"224","PBANKA_031590",2.32880613091332,"m1",11,"NP_RAG1KO","pool1"
"225","PBANKA_051220",0.440752250188805,"m1",11,"NP_RAG1KO","pool1"
"226","PBANKA_121340",0.755221552289807,"m1",11,"NP_RAG1KO","pool1"
"227","PBANKA_080650",0.141139765509898,"m1",11,"NP_RAG1KO","pool1"
"228","PBANKA_070700",5.47597528816036,"m1",11,"NP_RAG1KO","pool1"
"229","PBANKA_031180",0.0606653378068861,"m1",11,"NP_RAG1KO","pool1"
