"","gene","abundance","mice","day","background","pool"
"1","PBANKA_010720",14.93555020693,"m1",8,"P_BL6","PbSTM139_PbSTM145"
"2","PBANKA_140160",NA,"m1",8,"P_BL6","PbSTM139_PbSTM145"
"3","PBANKA_133690",0.241718936024368,"m1",8,"P_BL6","PbSTM139_PbSTM145"
"4","PBANKA_103780",2.52181397434378,"m1",8,"P_BL6","PbSTM139_PbSTM145"
"5","PBANKA_101610",0.652486509609487,"m1",8,"P_BL6","PbSTM139_PbSTM145"
"6","PBANKA_041850",23.4879681693785,"m1",8,"P_BL6","PbSTM139_PbSTM145"
"7","PBANKA_041190",1.09984692852026,"m1",8,"P_BL6","PbSTM139_PbSTM145"
"8","PBANKA_104030",0.382421003262433,"m1",8,"P_BL6","PbSTM139_PbSTM145"
"9","PBANKA_051500",0.610739742406985,"m1",8,"P_BL6","PbSTM139_PbSTM145"
"10","PBANKA_132420",NA,"m1",8,"P_BL6","PbSTM139_PbSTM145"
"11","PBANKA_110420",0.00824627500296351,"m1",8,"P_BL6","PbSTM139_PbSTM145"
"12","PBANKA_112510",0.21131079695094,"m1",8,"P_BL6","PbSTM139_PbSTM145"
"13","PBANKA_041065",1.24724909419823,"m1",8,"P_BL6","PbSTM139_PbSTM145"
"14","PBANKA_051700",1.87345060223577,"m1",8,"P_BL6","PbSTM139_PbSTM145"
"15","PBANKA_120070",0.0324697078241688,"m1",8,"P_BL6","PbSTM139_PbSTM145"
"16","PBANKA_120790",1.78325696939086,"m1",8,"P_BL6","PbSTM139_PbSTM145"
"17","PBANKA_083660",0.14018667505038,"m1",8,"P_BL6","PbSTM139_PbSTM145"
"18","PBANKA_070120",NA,"m1",8,"P_BL6","PbSTM139_PbSTM145"
"19","PBANKA_083210",0.149979126616399,"m1",8,"P_BL6","PbSTM139_PbSTM145"
"20","PBANKA_102390",0.00515392187685219,"m1",8,"P_BL6","PbSTM139_PbSTM145"
"21","PBANKA_120520",0.656609647110969,"m1",8,"P_BL6","PbSTM139_PbSTM145"
"22","PBANKA_143540",0.00103078437537044,"m1",8,"P_BL6","PbSTM139_PbSTM145"
"23","PBANKA_091510",1.12200879259072,"m1",8,"P_BL6","PbSTM139_PbSTM145"
"24","PBANKA_051810",0.889566915944688,"m1",8,"P_BL6","PbSTM139_PbSTM145"
"25","PBANKA_100860",0.0252542171965757,"m1",8,"P_BL6","PbSTM139_PbSTM145"
"26","PBANKA_051080",NA,"m1",8,"P_BL6","PbSTM139_PbSTM145"
"27","PBANKA_090270",4.81324764079226,"m1",8,"P_BL6","PbSTM139_PbSTM145"
"28","PBANKA_092770",0.00206156875074088,"m1",8,"P_BL6","PbSTM139_PbSTM145"
"29","PBANKA_100120",2.78621016662629,"m1",8,"P_BL6","PbSTM139_PbSTM145"
"30","PBANKA_111210",1.18127889417452,"m1",8,"P_BL6","PbSTM139_PbSTM145"
"31","PBANKA_111760",0.99934545192164,"m1",8,"P_BL6","PbSTM139_PbSTM145"
"32","PBANKA_134910",NA,"m1",8,"P_BL6","PbSTM139_PbSTM145"
"33","PBANKA_031000",NA,"m1",8,"P_BL6","PbSTM139_PbSTM145"
"34","PBANKA_103440",0.401490514206786,"m1",8,"P_BL6","PbSTM139_PbSTM145"
"35","PBANKA_100060",0.0515392187685219,"m1",8,"P_BL6","PbSTM139_PbSTM145"
"36","PBANKA_060880",0.255634525091869,"m1",8,"P_BL6","PbSTM139_PbSTM145"
"37","PBANKA_131150",0.108747751601581,"m1",8,"P_BL6","PbSTM139_PbSTM145"
"38","PBANKA_052480",0.331397176681596,"m1",8,"P_BL6","PbSTM139_PbSTM145"
"39","PBANKA_050120",2.14815463827199,"m1",8,"P_BL6","PbSTM139_PbSTM145"
"40","PBANKA_100760",NA,"m1",8,"P_BL6","PbSTM139_PbSTM145"
"41","PBANKA_133500",0.701964159627268,"m1",8,"P_BL6","PbSTM139_PbSTM145"
"42","PBANKA_140040",1.15911703010406,"m1",8,"P_BL6","PbSTM139_PbSTM145"
"43","PBANKA_110100",0.00876166719064872,"m1",8,"P_BL6","PbSTM139_PbSTM145"
"44","PBANKA_021550",2.10589247888181,"m1",8,"P_BL6","PbSTM139_PbSTM145"
"45","PBANKA_021460",0.000515392187685219,"m1",8,"P_BL6","PbSTM139_PbSTM145"
"46","PBANKA_110090",0.00103078437537044,"m1",8,"P_BL6","PbSTM139_PbSTM145"
"47","PBANKA_110430",0.763295829961809,"m1",8,"P_BL6","PbSTM139_PbSTM145"
"48","PBANKA_050060",3.8772954279559,"m1",8,"P_BL6","PbSTM139_PbSTM145"
"49","PBANKA_124380",1.21271781762332,"m1",8,"P_BL6","PbSTM139_PbSTM145"
"50","PBANKA_070440",0.827719853422462,"m1",8,"P_BL6","PbSTM139_PbSTM145"
"51","PBANKA_114590",0.690110139310508,"m1",8,"P_BL6","PbSTM139_PbSTM145"
"52","PBANKA_051900",0.333974137620022,"m1",8,"P_BL6","PbSTM139_PbSTM145"
"53","PBANKA_132380",1.02305349255516,"m1",8,"P_BL6","PbSTM139_PbSTM145"
"54","PBANKA_100850",0.00206156875074088,"m1",8,"P_BL6","PbSTM139_PbSTM145"
"55","PBANKA_041540",1.6039004880764,"m1",8,"P_BL6","PbSTM139_PbSTM145"
"56","PBANKA_133090",3.28150205899179,"m1",8,"P_BL6","PbSTM139_PbSTM145"
"57","PBANKA_144790",NA,"m1",8,"P_BL6","PbSTM139_PbSTM145"
"58","PBANKA_104020",0.0144309812551861,"m1",8,"P_BL6","PbSTM139_PbSTM145"
"59","PBANKA_052430",0.0628778468975967,"m1",8,"P_BL6","PbSTM139_PbSTM145"
"60","PBANKA_120060",0.417467672025027,"m1",8,"P_BL6","PbSTM139_PbSTM145"
"61","PBANKA_031660",NA,"m1",8,"P_BL6","PbSTM139_PbSTM145"
"62","PBANKA_100010",1.89148932880475,"m1",8,"P_BL6","PbSTM139_PbSTM145"
"63","PBANKA_134540",0.091739809407969,"m1",8,"P_BL6","PbSTM139_PbSTM145"
"64","PBANKA_132960",0.00103078437537044,"m1",8,"P_BL6","PbSTM139_PbSTM145"
"65","PBANKA_110140",0.00103078437537044,"m1",8,"P_BL6","PbSTM139_PbSTM145"
"66","PBANKA_083680",2.13217748045375,"m1",8,"P_BL6","PbSTM139_PbSTM145"
"67","PBANKA_051490",2.21618640704644,"m1",8,"P_BL6","PbSTM139_PbSTM145"
"68","PBANKA_133490",0.645271018981894,"m1",8,"P_BL6","PbSTM139_PbSTM145"
"69","PBANKA_102910",1.10654702696017,"m1",8,"P_BL6","PbSTM139_PbSTM145"
"70","PBANKA_082530",NA,"m1",8,"P_BL6","PbSTM139_PbSTM145"
"71","PBANKA_120710",0.810196519041164,"m1",8,"P_BL6","PbSTM139_PbSTM145"
"72","PBANKA_135800",0.00721549062759307,"m1",8,"P_BL6","PbSTM139_PbSTM145"
"73","PBANKA_010220",0.731341514325326,"m1",8,"P_BL6","PbSTM139_PbSTM145"
"74","PBANKA_140330",0.00309235312611131,"m1",8,"P_BL6","PbSTM139_PbSTM145"
"75","PBANKA_133810",2.00899874759698,"m1",8,"P_BL6","PbSTM139_PbSTM145"
"76","PBANKA_080040",0.38912110170234,"m1",8,"P_BL6","PbSTM139_PbSTM145"
