"","gene","abundance","mice","day","background","pool"
"1","PBANKA_101810",0.404562939381881,"m1",8,"P_RAG1KO","pool1"
"2","PBANKA_082040",0.743909448644825,"m1",8,"P_RAG1KO","pool1"
"3","PBANKA_142220",0.686430561082372,"m1",8,"P_RAG1KO","pool1"
"4","PBANKA_101700",0.70190564619534,"m1",8,"P_RAG1KO","pool1"
"5","PBANKA_131140",2.26709996904983,"m1",8,"P_RAG1KO","pool1"
"6","PBANKA_031580",0.636689216076403,"m1",8,"P_RAG1KO","pool1"
"7","PBANKA_051490",5.39085643542468,"m1",8,"P_RAG1KO","pool1"
"8","PBANKA_060800",0.935137286112216,"m1",8,"P_RAG1KO","pool1"
"9","PBANKA_143030",1.51987443073794,"m1",8,"P_RAG1KO","pool1"
"10","PBANKA_060620",1.42370783039307,"m1",8,"P_RAG1KO","pool1"
"11","PBANKA_123360",2.62192156342574,"m1",8,"P_RAG1KO","pool1"
"12","PBANKA_135260",4.34297210063227,"m1",8,"P_RAG1KO","pool1"
"13","PBANKA_121260",0.864394039881505,"m1",8,"P_RAG1KO","pool1"
"14","PBANKA_113980",0.609055135517531,"m1",8,"P_RAG1KO","pool1"
"15","PBANKA_100240",0.145907945350842,"m1",8,"P_RAG1KO","pool1"
"16","PBANKA_112810",0.0862183313436795,"m1",8,"P_RAG1KO","pool1"
"17","PBANKA_101750",0.185701021355617,"m1",8,"P_RAG1KO","pool1"
"18","PBANKA_142590",0.024317990891807,"m1",8,"P_RAG1KO","pool1"
"19","PBANKA_140410",0.0154750851129681,"m1",8,"P_RAG1KO","pool1"
"20","PBANKA_051300",0.665428659857629,"m1",8,"P_RAG1KO","pool1"
"21","PBANKA_031480",5.55555555555556,"m1",8,"P_RAG1KO","pool1"
"22","PBANKA_051500",7.18596630852898,"m1",8,"P_RAG1KO","pool1"
"23","PBANKA_082320",0.911924658442764,"m1",8,"P_RAG1KO","pool1"
"24","PBANKA_111920",0.504045629393819,"m1",8,"P_RAG1KO","pool1"
"25","PBANKA_124120",0.57257814917982,"m1",8,"P_RAG1KO","pool1"
"26","PBANKA_100640",0.353716231153557,"m1",8,"P_RAG1KO","pool1"
"27","PBANKA_103780",0.929610470000442,"m1",8,"P_RAG1KO","pool1"
"28","PBANKA_110690",0.941769465446346,"m1",8,"P_RAG1KO","pool1"
"29","PBANKA_145770",2.32568421983464,"m1",8,"P_RAG1KO","pool1"
"30","PBANKA_091600",1.09983640624309,"m1",8,"P_RAG1KO","pool1"
"31","PBANKA_140160",0.0320555334482911,"m1",8,"P_RAG1KO","pool1"
"32","PBANKA_103440",0.0287394437812265,"m1",8,"P_RAG1KO","pool1"
"33","PBANKA_133580",0.716275368085953,"m1",8,"P_RAG1KO","pool1"
"34","PBANKA_093290",5.40191006764823,"m1",8,"P_RAG1KO","pool1"
"35","PBANKA_132910",3.43325816863421,"m1",8,"P_RAG1KO","pool1"
"36","PBANKA_146060",2.71035062121413,"m1",8,"P_RAG1KO","pool1"
"37","PBANKA_110420",0.0762700623424857,"m1",8,"P_RAG1KO","pool1"
"38","PBANKA_031590",2.27041605871689,"m1",8,"P_RAG1KO","pool1"
"39","PBANKA_051220",0.427775567051333,"m1",8,"P_RAG1KO","pool1"
"40","PBANKA_121340",1.04235751868064,"m1",8,"P_RAG1KO","pool1"
"41","PBANKA_080650",0.200070743246231,"m1",8,"P_RAG1KO","pool1"
"42","PBANKA_070700",5.58097890966972,"m1",8,"P_RAG1KO","pool1"
"43","PBANKA_031180",0.0342662598930008,"m1",8,"P_RAG1KO","pool1"
"44","PBANKA_030240",0.614581951629305,"m1",8,"P_RAG1KO","pool1"
"45","PBANKA_061920",0.610160498739886,"m1",8,"P_RAG1KO","pool1"
"46","PBANKA_111060",0.0420038024494849,"m1",8,"P_RAG1KO","pool1"
"47","PBANKA_143630",4.43913870097714,"m1",8,"P_RAG1KO","pool1"
"48","PBANKA_052230",3.32935402573286,"m1",8,"P_RAG1KO","pool1"
"49","PBANKA_071130",0.505150992616174,"m1",8,"P_RAG1KO","pool1"
"50","PBANKA_143060",1.17610646858558,"m1",8,"P_RAG1KO","pool1"
"51","PBANKA_040730",0.561524516956272,"m1",8,"P_RAG1KO","pool1"
"52","PBANKA_144900",0.323871424149976,"m1",8,"P_RAG1KO","pool1"
"53","PBANKA_131530",3.08617411681479,"m1",8,"P_RAG1KO","pool1"
"54","PBANKA_134630",4.76411548834947,"m1",8,"P_RAG1KO","pool1"
"55","PBANKA_135960",1.55856214352036,"m1",8,"P_RAG1KO","pool1"
"56","PBANKA_135250",1.46350090639784,"m1",8,"P_RAG1KO","pool1"
"57","PBANKA_103240",2.89605164256975,"m1",8,"P_RAG1KO","pool1"
"58","PBANKA_062030",3.37909537073882,"m1",8,"P_RAG1KO","pool1"
"59","PBANKA_111340",1.90343546889508,"m1",8,"P_RAG1KO","pool1"
"60","PBANKA_093080",0.0442145288941946,"m1",8,"P_RAG1KO","pool1"
"61","PBANKA_143440",2.45280099040545,"m1",8,"P_RAG1KO","pool1"
"62","PBANKA_030600",0.24317990891807,"m1",8,"P_RAG1KO","pool1"
"63","PBANKA_101810",0.291291622949914,"m1",9,"P_RAG1KO","pool1"
"64","PBANKA_082040",0.738583025015186,"m1",9,"P_RAG1KO","pool1"
"65","PBANKA_142220",0.766193605389585,"m1",9,"P_RAG1KO","pool1"
"66","PBANKA_101700",0.770335192445745,"m1",9,"P_RAG1KO","pool1"
"67","PBANKA_131140",2.33999668673035,"m1",9,"P_RAG1KO","pool1"
"68","PBANKA_031580",0.481804627533271,"m1",9,"P_RAG1KO","pool1"
"69","PBANKA_051490",6.53956596167651,"m1",9,"P_RAG1KO","pool1"
"70","PBANKA_060800",0.851786404550224,"m1",9,"P_RAG1KO","pool1"
"71","PBANKA_143030",1.36258214147661,"m1",9,"P_RAG1KO","pool1"
"72","PBANKA_060620",1.23833452979182,"m1",9,"P_RAG1KO","pool1"
"73","PBANKA_123360",2.47252747252747,"m1",9,"P_RAG1KO","pool1"
"74","PBANKA_135260",4.402507040698,"m1",9,"P_RAG1KO","pool1"
"75","PBANKA_121260",0.802087359876305,"m1",9,"P_RAG1KO","pool1"
"76","PBANKA_113980",0.492848859683031,"m1",9,"P_RAG1KO","pool1"
"77","PBANKA_100240",0.128389198740958,"m1",9,"P_RAG1KO","pool1"
"78","PBANKA_112810",0.0759290960295985,"m1",9,"P_RAG1KO","pool1"
"79","PBANKA_101750",0.194654591639516,"m1",9,"P_RAG1KO","pool1"
"80","PBANKA_142590",0.00552211607487989,"m1",9,"P_RAG1KO","pool1"
"81","PBANKA_140410",0.00828317411231984,"m1",9,"P_RAG1KO","pool1"
"82","PBANKA_051300",0.604671710199348,"m1",9,"P_RAG1KO","pool1"
"83","PBANKA_031480",5.45585068198134,"m1",9,"P_RAG1KO","pool1"
"84","PBANKA_051500",6.72041526312883,"m1",9,"P_RAG1KO","pool1"
"85","PBANKA_082320",0.857308520625103,"m1",9,"P_RAG1KO","pool1"
"86","PBANKA_111920",0.343751725661273,"m1",9,"P_RAG1KO","pool1"
"87","PBANKA_124120",0.463857750289911,"m1",9,"P_RAG1KO","pool1"
"88","PBANKA_100640",0.467999337346071,"m1",9,"P_RAG1KO","pool1"
"89","PBANKA_103780",0.915290739411342,"m1",9,"P_RAG1KO","pool1"
"90","PBANKA_110690",1.0781931636203,"m1",9,"P_RAG1KO","pool1"
"91","PBANKA_145770",2.55259815561323,"m1",9,"P_RAG1KO","pool1"
"92","PBANKA_091600",1.10856480203214,"m1",9,"P_RAG1KO","pool1"
"93","PBANKA_140160",0.0566016897675189,"m1",9,"P_RAG1KO","pool1"
"94","PBANKA_103440",0.0165663482246397,"m1",9,"P_RAG1KO","pool1"
"95","PBANKA_133580",0.800706830857585,"m1",9,"P_RAG1KO","pool1"
"96","PBANKA_093290",5.37577999889558,"m1",9,"P_RAG1KO","pool1"
"97","PBANKA_132910",3.92484400022088,"m1",9,"P_RAG1KO","pool1"
"98","PBANKA_146060",2.87150035893754,"m1",9,"P_RAG1KO","pool1"
"99","PBANKA_110420",0.0331326964492794,"m1",9,"P_RAG1KO","pool1"
"100","PBANKA_031590",2.13843944999724,"m1",9,"P_RAG1KO","pool1"
"101","PBANKA_051220",0.385167596222873,"m1",9,"P_RAG1KO","pool1"
"102","PBANKA_121340",1.07267104754542,"m1",9,"P_RAG1KO","pool1"
"103","PBANKA_080650",0.205698823789276,"m1",9,"P_RAG1KO","pool1"
"104","PBANKA_070700",5.79408029156773,"m1",9,"P_RAG1KO","pool1"
"105","PBANKA_031180",0.00828317411231984,"m1",9,"P_RAG1KO","pool1"
"106","PBANKA_030240",0.53012314318847,"m1",9,"P_RAG1KO","pool1"
"107","PBANKA_061920",0.53702578828207,"m1",9,"P_RAG1KO","pool1"
"108","PBANKA_111060",0.0662653928985587,"m1",9,"P_RAG1KO","pool1"
"109","PBANKA_143630",4.42045391794136,"m1",9,"P_RAG1KO","pool1"
"110","PBANKA_052230",3.60456126787785,"m1",9,"P_RAG1KO","pool1"
"111","PBANKA_071130",0.51493732398255,"m1",9,"P_RAG1KO","pool1"
"112","PBANKA_143060",0.900104920205423,"m1",9,"P_RAG1KO","pool1"
"113","PBANKA_040730",0.665414987023027,"m1",9,"P_RAG1KO","pool1"
"114","PBANKA_144900",0.260919984538075,"m1",9,"P_RAG1KO","pool1"
"115","PBANKA_131530",2.97504003534154,"m1",9,"P_RAG1KO","pool1"
"116","PBANKA_134630",4.85117897178199,"m1",9,"P_RAG1KO","pool1"
"117","PBANKA_135960",1.51167927549837,"m1",9,"P_RAG1KO","pool1"
"118","PBANKA_135250",1.44403335358109,"m1",9,"P_RAG1KO","pool1"
"119","PBANKA_103240",2.9032525263681,"m1",9,"P_RAG1KO","pool1"
"120","PBANKA_062030",3.28703959357226,"m1",9,"P_RAG1KO","pool1"
"121","PBANKA_111340",1.58346678447181,"m1",9,"P_RAG1KO","pool1"
"122","PBANKA_093080",0.0193274062620796,"m1",9,"P_RAG1KO","pool1"
"123","PBANKA_143440",2.46148324037771,"m1",9,"P_RAG1KO","pool1"
"124","PBANKA_030600",0.248495223369595,"m1",9,"P_RAG1KO","pool1"
"125","PBANKA_101810",0.214748784440843,"m1",10,"P_RAG1KO","pool1"
"126","PBANKA_082040",0.669908157752566,"m1",10,"P_RAG1KO","pool1"
"127","PBANKA_142220",0.706374932468936,"m1",10,"P_RAG1KO","pool1"
"128","PBANKA_101700",0.740140464613722,"m1",10,"P_RAG1KO","pool1"
"129","PBANKA_131140",2.52296056185846,"m1",10,"P_RAG1KO","pool1"
"130","PBANKA_031580",0.375472717450027,"m1",10,"P_RAG1KO","pool1"
"131","PBANKA_051490",4.47325769854133,"m1",10,"P_RAG1KO","pool1"
"132","PBANKA_060800",0.536196650459211,"m1",10,"P_RAG1KO","pool1"
"133","PBANKA_143030",1.23176661264182,"m1",10,"P_RAG1KO","pool1"
"134","PBANKA_060620",1.16423554835224,"m1",10,"P_RAG1KO","pool1"
"135","PBANKA_123360",2.64721772015127,"m1",10,"P_RAG1KO","pool1"
"136","PBANKA_135260",4.53808752025932,"m1",10,"P_RAG1KO","pool1"
"137","PBANKA_121260",0.908968125337655,"m1",10,"P_RAG1KO","pool1"
"138","PBANKA_113980",0.463263101026472,"m1",10,"P_RAG1KO","pool1"
"139","PBANKA_100240",0.0823878984332793,"m1",10,"P_RAG1KO","pool1"
"140","PBANKA_112810",0.0648298217179903,"m1",10,"P_RAG1KO","pool1"
"141","PBANKA_101750",0.187736358725013,"m1",10,"P_RAG1KO","pool1"
"142","PBANKA_142590",0.0108049702863317,"m1",10,"P_RAG1KO","pool1"
"143","PBANKA_140410",0.00540248514316586,"m1",10,"P_RAG1KO","pool1"
"144","PBANKA_051300",0.559157212317666,"m1",10,"P_RAG1KO","pool1"
"145","PBANKA_031480",5.1418152350081,"m1",10,"P_RAG1KO","pool1"
"146","PBANKA_051500",7.84440842787682,"m1",10,"P_RAG1KO","pool1"
"147","PBANKA_082320",0.911669367909238,"m1",10,"P_RAG1KO","pool1"
"148","PBANKA_111920",0.390329551593733,"m1",10,"P_RAG1KO","pool1"
"149","PBANKA_124120",0.465964343598055,"m1",10,"P_RAG1KO","pool1"
"150","PBANKA_100640",0.541599135602377,"m1",10,"P_RAG1KO","pool1"
"151","PBANKA_103780",0.740140464613722,"m1",10,"P_RAG1KO","pool1"
"152","PBANKA_110690",1.40734737979471,"m1",10,"P_RAG1KO","pool1"
"153","PBANKA_145770",2.78363047001621,"m1",10,"P_RAG1KO","pool1"
"154","PBANKA_091600",1.07374392220421,"m1",10,"P_RAG1KO","pool1"
"155","PBANKA_140160",0.0216099405726634,"m1",10,"P_RAG1KO","pool1"
"156","PBANKA_103440",0.00810372771474878,"m1",10,"P_RAG1KO","pool1"
"157","PBANKA_133580",0.776607239330092,"m1",10,"P_RAG1KO","pool1"
"158","PBANKA_093290",5.49972987574284,"m1",10,"P_RAG1KO","pool1"
"159","PBANKA_132910",4.53268503511615,"m1",10,"P_RAG1KO","pool1"
"160","PBANKA_146060",2.75661804430038,"m1",10,"P_RAG1KO","pool1"
"161","PBANKA_110420",0.0189086980010805,"m1",10,"P_RAG1KO","pool1"
"162","PBANKA_031590",1.99216639654241,"m1",10,"P_RAG1KO","pool1"
"163","PBANKA_051220",0.482171799027553,"m1",10,"P_RAG1KO","pool1"
"164","PBANKA_121340",1.09670448406267,"m1",10,"P_RAG1KO","pool1"
"165","PBANKA_080650",0.194489465153971,"m1",10,"P_RAG1KO","pool1"
"166","PBANKA_070700",6.78417071853052,"m1",10,"P_RAG1KO","pool1"
"167","PBANKA_031180",0.00540248514316586,"m1",10,"P_RAG1KO","pool1"
"168","PBANKA_030240",0.522690437601297,"m1",10,"P_RAG1KO","pool1"
"169","PBANKA_061920",0.492976769313884,"m1",10,"P_RAG1KO","pool1"
"170","PBANKA_111060",0.037817396002161,"m1",10,"P_RAG1KO","pool1"
"171","PBANKA_143630",4.96623446785521,"m1",10,"P_RAG1KO","pool1"
"172","PBANKA_052230",3.90194489465154,"m1",10,"P_RAG1KO","pool1"
"173","PBANKA_071130",0.522690437601297,"m1",10,"P_RAG1KO","pool1"
"174","PBANKA_143060",0.880605078336035,"m1",10,"P_RAG1KO","pool1"
"175","PBANKA_040730",0.567260940032415,"m1",10,"P_RAG1KO","pool1"
"176","PBANKA_144900",0.284981091301999,"m1",10,"P_RAG1KO","pool1"
"177","PBANKA_131530",2.32847109670448,"m1",10,"P_RAG1KO","pool1"
"178","PBANKA_134630",4.95813074014046,"m1",10,"P_RAG1KO","pool1"
"179","PBANKA_135960",1.42760669908158,"m1",10,"P_RAG1KO","pool1"
"180","PBANKA_135250",1.72879524581307,"m1",10,"P_RAG1KO","pool1"
"181","PBANKA_103240",2.63371150729335,"m1",10,"P_RAG1KO","pool1"
"182","PBANKA_062030",3.17260940032415,"m1",10,"P_RAG1KO","pool1"
"183","PBANKA_111340",1.45867098865478,"m1",10,"P_RAG1KO","pool1"
"184","PBANKA_093080",0.0135062128579146,"m1",10,"P_RAG1KO","pool1"
"185","PBANKA_143440",2.34062668827661,"m1",10,"P_RAG1KO","pool1"
"186","PBANKA_030600",0.187736358725013,"m1",10,"P_RAG1KO","pool1"
"187","PBANKA_101810",0.181996211073033,"m1",11,"P_RAG1KO","pool1"
"188","PBANKA_082040",0.611975563549671,"m1",11,"P_RAG1KO","pool1"
"189","PBANKA_142220",0.604525426254284,"m1",11,"P_RAG1KO","pool1"
"190","PBANKA_101700",0.796100385278529,"m1",11,"P_RAG1KO","pool1"
"191","PBANKA_131140",2.35211477468656,"m1",11,"P_RAG1KO","pool1"
"192","PBANKA_031580",0.300134102471317,"m1",11,"P_RAG1KO","pool1"
"193","PBANKA_051490",5.07354349815875,"m1",11,"P_RAG1KO","pool1"
"194","PBANKA_060800",0.549181549202835,"m1",11,"P_RAG1KO","pool1"
"195","PBANKA_143030",1.20585793652483,"m1",11,"P_RAG1KO","pool1"
"196","PBANKA_060620",1.07175546520786,"m1",11,"P_RAG1KO","pool1"
"197","PBANKA_123360",2.36595074394942,"m1",11,"P_RAG1KO","pool1"
"198","PBANKA_135260",5.36942037931842,"m1",11,"P_RAG1KO","pool1"
"199","PBANKA_121260",0.9387172992188,"m1",11,"P_RAG1KO","pool1"
"200","PBANKA_113980",0.388471444688052,"m1",11,"P_RAG1KO","pool1"
"201","PBANKA_100240",0.0659869303305732,"m1",11,"P_RAG1KO","pool1"
"202","PBANKA_112810",0.0266076331978118,"m1",11,"P_RAG1KO","pool1"
"203","PBANKA_101750",0.159645799186871,"m1",11,"P_RAG1KO","pool1"
"204","PBANKA_142590",NA,"m1",11,"P_RAG1KO","pool1"
"205","PBANKA_140410",NA,"m1",11,"P_RAG1KO","pool1"
"206","PBANKA_051300",0.493837672151387,"m1",11,"P_RAG1KO","pool1"
"207","PBANKA_031480",5.25766831988761,"m1",11,"P_RAG1KO","pool1"
"208","PBANKA_051500",8.42397667042721,"m1",11,"P_RAG1KO","pool1"
"209","PBANKA_082320",0.727984844292131,"m1",11,"P_RAG1KO","pool1"
"210","PBANKA_111920",0.363992422146065,"m1",11,"P_RAG1KO","pool1"
"211","PBANKA_124120",0.450201153706975,"m1",11,"P_RAG1KO","pool1"
"212","PBANKA_100640",0.533216969284148,"m1",11,"P_RAG1KO","pool1"
"213","PBANKA_103780",0.567274739777347,"m1",11,"P_RAG1KO","pool1"
"214","PBANKA_110690",1.30164541603695,"m1",11,"P_RAG1KO","pool1"
"215","PBANKA_145770",3.10564294684859,"m1",11,"P_RAG1KO","pool1"
"216","PBANKA_091600",1.16647863939207,"m1",11,"P_RAG1KO","pool1"
