"","gene","abundance","mice","day","background","pool"
"1","PBANKA_101810",0.163930794621298,"m1",7,"NP_IFNYKO","poolC3"
"2","PBANKA_082040",0.474070135796726,"m1",7,"NP_IFNYKO","poolC3"
"3","PBANKA_142220",0.234819786889967,"m1",7,"NP_IFNYKO","poolC3"
"4","PBANKA_101700",0.323431027225804,"m1",7,"NP_IFNYKO","poolC3"
"5","PBANKA_131140",1.16523781041625,"m1",7,"NP_IFNYKO","poolC3"
"6","PBANKA_031580",0.190514166722049,"m1",7,"NP_IFNYKO","poolC3"
"7","PBANKA_051490",4.78057641611838,"m1",7,"NP_IFNYKO","poolC3"
"8","PBANKA_123360",1.06998072705523,"m1",7,"NP_IFNYKO","poolC3"
"9","PBANKA_082710",0.139562703528943,"m1",7,"NP_IFNYKO","poolC3"
"10","PBANKA_135260",3.49792871225715,"m1",7,"NP_IFNYKO","poolC3"
"11","PBANKA_121260",0.431979796637203,"m1",7,"NP_IFNYKO","poolC3"
"12","PBANKA_113980",1.38898119226424,"m1",7,"NP_IFNYKO","poolC3"
"13","PBANKA_112810",0.0443056201679183,"m1",7,"NP_IFNYKO","poolC3"
"14","PBANKA_103520",0.0310139341175428,"m1",7,"NP_IFNYKO","poolC3"
"15","PBANKA_051300",0.338937994284575,"m1",7,"NP_IFNYKO","poolC3"
"16","PBANKA_031480",2.32161449679892,"m1",7,"NP_IFNYKO","poolC3"
"17","PBANKA_080690",0.050951463193106,"m1",7,"NP_IFNYKO","poolC3"
"18","PBANKA_082320",1.23834208369332,"m1",7,"NP_IFNYKO","poolC3"
"19","PBANKA_100640",2.69378170620943,"m1",7,"NP_IFNYKO","poolC3"
"20","PBANKA_103780",0.0553820252098979,"m1",7,"NP_IFNYKO","poolC3"
"21","PBANKA_145770",1.26935601781086,"m1",7,"NP_IFNYKO","poolC3"
"22","PBANKA_140160",0.050951463193106,"m1",7,"NP_IFNYKO","poolC3"
"23","PBANKA_133580",0.547174409073791,"m1",7,"NP_IFNYKO","poolC3"
"24","PBANKA_093290",2.8754347488979,"m1",7,"NP_IFNYKO","poolC3"
"25","PBANKA_132910",1.0323209499125,"m1",7,"NP_IFNYKO","poolC3"
"26","PBANKA_146060",2.54535787864691,"m1",7,"NP_IFNYKO","poolC3"
"27","PBANKA_031590",2.97512239427571,"m1",7,"NP_IFNYKO","poolC3"
"28","PBANKA_051760",0.155069670587714,"m1",7,"NP_IFNYKO","poolC3"
"29","PBANKA_070700",2.21971157041271,"m1",7,"NP_IFNYKO","poolC3"
"30","PBANKA_030240",0.321215746217408,"m1",7,"NP_IFNYKO","poolC3"
"31","PBANKA_133090",1.36461310117188,"m1",7,"NP_IFNYKO","poolC3"
"32","PBANKA_143630",0.93263330453468,"m1",7,"NP_IFNYKO","poolC3"
"33","PBANKA_052230",0.73768857579584,"m1",7,"NP_IFNYKO","poolC3"
"34","PBANKA_143060",0.181653042688465,"m1",7,"NP_IFNYKO","poolC3"
"35","PBANKA_131530",1.33802972907113,"m1",7,"NP_IFNYKO","poolC3"
"36","PBANKA_134630",1.05225847898806,"m1",7,"NP_IFNYKO","poolC3"
"37","PBANKA_103240",1.17409893444983,"m1",7,"NP_IFNYKO","poolC3"
"38","PBANKA_062030",0.285771250083073,"m1",7,"NP_IFNYKO","poolC3"
"39","PBANKA_143440",0.604771715292085,"m1",7,"NP_IFNYKO","poolC3"
"40","PBANKA_102460",0.14620854655413,"m1",7,"NP_IFNYKO","poolC3"
"41","PBANKA_010110",3.97864469107906,"m1",7,"NP_IFNYKO","poolC3"
"42","PBANKA_120290",0.166146075629694,"m1",7,"NP_IFNYKO","poolC3"
"43","PBANKA_071020",0.398750581511265,"m1",7,"NP_IFNYKO","poolC3"
"44","PBANKA_093100",0.239250348906759,"m1",7,"NP_IFNYKO","poolC3"
"45","PBANKA_083210",0.225958662856383,"m1",7,"NP_IFNYKO","poolC3"
"46","PBANKA_011160",7.13542012804324,"m1",7,"NP_IFNYKO","poolC3"
"47","PBANKA_010940",0.0620278682350856,"m1",7,"NP_IFNYKO","poolC3"
"48","PBANKA_141230",0.161715513612902,"m1",7,"NP_IFNYKO","poolC3"
"49","PBANKA_093380",0.132916860503755,"m1",7,"NP_IFNYKO","poolC3"
"50","PBANKA_061640",1.191821182517,"m1",7,"NP_IFNYKO","poolC3"
"51","PBANKA_135820",0.899404089408742,"m1",7,"NP_IFNYKO","poolC3"
"52","PBANKA_140450",1.08105713209721,"m1",7,"NP_IFNYKO","poolC3"
"53","PBANKA_070850",0.294632374116657,"m1",7,"NP_IFNYKO","poolC3"
"54","PBANKA_120740",0.890542965375158,"m1",7,"NP_IFNYKO","poolC3"
"55","PBANKA_050720",0.0664584302518774,"m1",7,"NP_IFNYKO","poolC3"
