"","gene","abundance","mice","day","background","pool"
"1","PBANKA_031260",0.00784586242840651,"m1",8,"NP_BL6","poolC4"
"2","PBANKA_101810",0.0442730808460081,"m1",8,"NP_BL6","poolC4"
"3","PBANKA_144380",0.0140104686221545,"m1",8,"NP_BL6","poolC4"
"4","PBANKA_082040",0.189421535771528,"m1",8,"NP_BL6","poolC4"
"5","PBANKA_041050",0.0224167497954472,"m1",8,"NP_BL6","poolC4"
"6","PBANKA_142220",0.44441206469474,"m1",8,"NP_BL6","poolC4"
"7","PBANKA_101700",0.240419641556171,"m1",8,"NP_BL6","poolC4"
"8","PBANKA_131140",0.691556731189545,"m1",8,"NP_BL6","poolC4"
"9","PBANKA_031580",0.554254138692431,"m1",8,"NP_BL6","poolC4"
"10","PBANKA_051490",1.0866519463343,"m1",8,"NP_BL6","poolC4"
"11","PBANKA_123360",0.135621336262455,"m1",8,"NP_BL6","poolC4"
"12","PBANKA_135260",4.32811396675596,"m1",8,"NP_BL6","poolC4"
"13","PBANKA_121260",1.27495264461606,"m1",8,"NP_BL6","poolC4"
"14","PBANKA_113980",0.424797408623724,"m1",8,"NP_BL6","poolC4"
"15","PBANKA_112810",0.0835023929880407,"m1",8,"NP_BL6","poolC4"
"16","PBANKA_103520",0.184938185812439,"m1",8,"NP_BL6","poolC4"
"17","PBANKA_101750",NA,"m1",8,"NP_BL6","poolC4"
"18","PBANKA_140410",0.00672502493863415,"m1",8,"NP_BL6","poolC4"
"19","PBANKA_051300",0.882659523195732,"m1",8,"NP_BL6","poolC4"
"20","PBANKA_031480",2.96965892915186,"m1",8,"NP_BL6","poolC4"
"21","PBANKA_051500",0.00504376870397561,"m1",8,"NP_BL6","poolC4"
"22","PBANKA_080690",0.139544267476659,"m1",8,"NP_BL6","poolC4"
"23","PBANKA_082320",1.26766720093254,"m1",8,"NP_BL6","poolC4"
"24","PBANKA_100640",0.898351248052545,"m1",8,"NP_BL6","poolC4"
"25","PBANKA_103780",0.349701296808976,"m1",8,"NP_BL6","poolC4"
"26","PBANKA_145770",0.754323630616797,"m1",8,"NP_BL6","poolC4"
"27","PBANKA_091600",NA,"m1",8,"NP_BL6","poolC4"
"28","PBANKA_131720",0.0100875374079512,"m1",8,"NP_BL6","poolC4"
"29","PBANKA_112240",NA,"m1",8,"NP_BL6","poolC4"
