"","gene","abundance","mice","day","background","pool"
"1","PBANKA_101810",0.0772861519776974,"m1",8,"NP_IFNYKO","poolC3"
"2","PBANKA_082040",0.168373402522841,"m1",8,"NP_IFNYKO","poolC3"
"3","PBANKA_142220",0.183554610947031,"m1",8,"NP_IFNYKO","poolC3"
"4","PBANKA_101700",0.212536917938668,"m1",8,"NP_IFNYKO","poolC3"
"5","PBANKA_131140",1.17723370780314,"m1",8,"NP_IFNYKO","poolC3"
"6","PBANKA_031580",0.0496839548428055,"m1",8,"NP_IFNYKO","poolC3"
"7","PBANKA_051490",6.87432719644484,"m1",8,"NP_IFNYKO","poolC3"
"8","PBANKA_123360",0.956416130724006,"m1",8,"NP_IFNYKO","poolC3"
"9","PBANKA_082710",0.0345027464186149,"m1",8,"NP_IFNYKO","poolC3"
"10","PBANKA_135260",5.50111788898396,"m1",8,"NP_IFNYKO","poolC3"
"11","PBANKA_121260",0.346407574042894,"m1",8,"NP_IFNYKO","poolC3"
"12","PBANKA_113980",0.484418559717354,"m1",8,"NP_IFNYKO","poolC3"
"13","PBANKA_112810",0.0193215379944244,"m1",8,"NP_IFNYKO","poolC3"
"14","PBANKA_103520",0.0358828562753595,"m1",8,"NP_IFNYKO","poolC3"
"15","PBANKA_051300",0.211156808081923,"m1",8,"NP_IFNYKO","poolC3"
"16","PBANKA_031480",1.79828314333821,"m1",8,"NP_IFNYKO","poolC3"
"17","PBANKA_080690",0.013801098567446,"m1",8,"NP_IFNYKO","poolC3"
"18","PBANKA_082320",1.14963151066825,"m1",8,"NP_IFNYKO","poolC3"
"19","PBANKA_100640",2.45245521543515,"m1",8,"NP_IFNYKO","poolC3"
"20","PBANKA_103780",0.0510640646995501,"m1",8,"NP_IFNYKO","poolC3"
"21","PBANKA_145770",1.27384139777526,"m1",8,"NP_IFNYKO","poolC3"
"22","PBANKA_140160",NA,"m1",8,"NP_IFNYKO","poolC3"
"23","PBANKA_133580",0.400231858455933,"m1",8,"NP_IFNYKO","poolC3"
"24","PBANKA_093290",3.8684479284551,"m1",8,"NP_IFNYKO","poolC3"
"25","PBANKA_132910",1.44635512986834,"m1",8,"NP_IFNYKO","poolC3"
"26","PBANKA_146060",2.56010378426123,"m1",8,"NP_IFNYKO","poolC3"
"27","PBANKA_031590",2.6829335615115,"m1",8,"NP_IFNYKO","poolC3"
"28","PBANKA_051760",0.118689447680035,"m1",8,"NP_IFNYKO","poolC3"
"29","PBANKA_070700",2.57252477297193,"m1",8,"NP_IFNYKO","poolC3"
"30","PBANKA_030240",0.586546689116454,"m1",8,"NP_IFNYKO","poolC3"
"31","PBANKA_133090",1.60368765353722,"m1",8,"NP_IFNYKO","poolC3"
"32","PBANKA_143630",1.40633194402274,"m1",8,"NP_IFNYKO","poolC3"
"33","PBANKA_052230",0.934334373016092,"m1",8,"NP_IFNYKO","poolC3"
"34","PBANKA_143060",0.117309337823291,"m1",8,"NP_IFNYKO","poolC3"
"35","PBANKA_131530",0.731458224074636,"m1",8,"NP_IFNYKO","poolC3"
"36","PBANKA_134630",0.485798669574098,"m1",8,"NP_IFNYKO","poolC3"
"37","PBANKA_103240",1.04750338126915,"m1",8,"NP_IFNYKO","poolC3"
"38","PBANKA_062030",0.147671754671672,"m1",8,"NP_IFNYKO","poolC3"
"39","PBANKA_143440",0.724557674790913,"m1",8,"NP_IFNYKO","poolC3"
"40","PBANKA_102460",0.209776698225179,"m1",8,"NP_IFNYKO","poolC3"
"41","PBANKA_010110",2.20127522150763,"m1",8,"NP_IFNYKO","poolC3"
"42","PBANKA_120290",0.110408788539568,"m1",8,"NP_IFNYKO","poolC3"
"43","PBANKA_071020",0.0427834055590825,"m1",8,"NP_IFNYKO","poolC3"
"44","PBANKA_093100",0.0538242844130393,"m1",8,"NP_IFNYKO","poolC3"
"45","PBANKA_083210",0.18907505037401,"m1",8,"NP_IFNYKO","poolC3"
