"","gene","abundance","mice","day","background","pool"
"1","PBANKA_101810",0.218463266962112,"m1",8,"P_BL6","poolC3"
"2","PBANKA_082040",0.243430497472068,"m1",8,"P_BL6","poolC3"
"3","PBANKA_142220",0.181012421197179,"m1",8,"P_BL6","poolC3"
"4","PBANKA_101700",0.468135572061669,"m1",8,"P_BL6","poolC3"
"5","PBANKA_131140",1.37787903376818,"m1",8,"P_BL6","poolC3"
"6","PBANKA_031580",0.298046314212596,"m1",8,"P_BL6","poolC3"
"7","PBANKA_051490",3.41270832032957,"m1",8,"P_BL6","poolC3"
"8","PBANKA_123360",2.08632419948817,"m1",8,"P_BL6","poolC3"
"9","PBANKA_082710",0.00624180762748892,"m1",8,"P_BL6","poolC3"
"10","PBANKA_135260",1.80700330815804,"m1",8,"P_BL6","poolC3"
"11","PBANKA_121260",0.617938955121403,"m1",8,"P_BL6","poolC3"
"12","PBANKA_113980",1.88034454778104,"m1",8,"P_BL6","poolC3"
"13","PBANKA_112810",0.0374508457649335,"m1",8,"P_BL6","poolC3"
"14","PBANKA_103520",0.095187566319206,"m1",8,"P_BL6","poolC3"
"15","PBANKA_051300",0.435366082017352,"m1",8,"P_BL6","poolC3"
"16","PBANKA_031480",2.63248236689345,"m1",8,"P_BL6","poolC3"
"17","PBANKA_080690",0.162286998314712,"m1",8,"P_BL6","poolC3"
"18","PBANKA_082320",1.61506772361276,"m1",8,"P_BL6","poolC3"
"19","PBANKA_100640",2.74951625990887,"m1",8,"P_BL6","poolC3"
"20","PBANKA_103780",0.00312090381374446,"m1",8,"P_BL6","poolC3"
"21","PBANKA_145770",1.44185756194994,"m1",8,"P_BL6","poolC3"
"22","PBANKA_133580",1.20935022782598,"m1",8,"P_BL6","poolC3"
"23","PBANKA_093290",1.80700330815804,"m1",8,"P_BL6","poolC3"
"24","PBANKA_132910",0.546158167405281,"m1",8,"P_BL6","poolC3"
"25","PBANKA_146060",3.38149928219212,"m1",8,"P_BL6","poolC3"
"26","PBANKA_031590",3.66862243305661,"m1",8,"P_BL6","poolC3"
"27","PBANKA_051760",0.226265526496473,"m1",8,"P_BL6","poolC3"
"28","PBANKA_070700",1.25928468884589,"m1",8,"P_BL6","poolC3"
"29","PBANKA_030240",0.193496036452157,"m1",8,"P_BL6","poolC3"
"30","PBANKA_133090",0.655389800886337,"m1",8,"P_BL6","poolC3"
"31","PBANKA_111060",0.0280881343237001,"m1",8,"P_BL6","poolC3"
"32","PBANKA_143630",1.04238187379065,"m1",8,"P_BL6","poolC3"
"33","PBANKA_052230",0.724049684788715,"m1",8,"P_BL6","poolC3"
"34","PBANKA_143060",0.190375132638412,"m1",8,"P_BL6","poolC3"
"35","PBANKA_131530",2.16122589101804,"m1",8,"P_BL6","poolC3"
"36","PBANKA_134630",1.46370388864615,"m1",8,"P_BL6","poolC3"
"37","PBANKA_103240",1.48555021534236,"m1",8,"P_BL6","poolC3"
"38","PBANKA_062030",0.277760439423257,"m1",8,"P_BL6","poolC3"
"39","PBANKA_093080",0.0655389800886337,"m1",8,"P_BL6","poolC3"
"40","PBANKA_143440",0.318332189001935,"m1",8,"P_BL6","poolC3"
"41","PBANKA_102460",0.46189376443418,"m1",8,"P_BL6","poolC3"
"42","PBANKA_010110",2.955495911616,"m1",8,"P_BL6","poolC3"
"43","PBANKA_120290",0.17477061356969,"m1",8,"P_BL6","poolC3"
"44","PBANKA_071020",0.449410149179202,"m1",8,"P_BL6","poolC3"
"45","PBANKA_093100",0.115473441108545,"m1",8,"P_BL6","poolC3"
"46","PBANKA_083210",0.535235004057175,"m1",8,"P_BL6","poolC3"
"47","PBANKA_011160",7.09225391673429,"m1",8,"P_BL6","poolC3"
"48","PBANKA_010940",0.0592971724611447,"m1",8,"P_BL6","poolC3"
"49","PBANKA_141230",0.316771737095063,"m1",8,"P_BL6","poolC3"
"50","PBANKA_093380",0.454091504899819,"m1",8,"P_BL6","poolC3"
"51","PBANKA_061640",0.897259846451532,"m1",8,"P_BL6","poolC3"
"52","PBANKA_135820",1.20310842019849,"m1",8,"P_BL6","poolC3"
"53","PBANKA_140450",1.7024530303976,"m1",8,"P_BL6","poolC3"
"54","PBANKA_070850",0.177891517383434,"m1",8,"P_BL6","poolC3"
"55","PBANKA_120740",1.19530616066413,"m1",8,"P_BL6","poolC3"
"56","PBANKA_050720",0.218463266962112,"m1",8,"P_BL6","poolC3"
"57","PBANKA_091240",1.26084514075276,"m1",8,"P_BL6","poolC3"
"58","PBANKA_100010",3.16615691904375,"m1",8,"P_BL6","poolC3"
"59","PBANKA_145980",0.0749016915298671,"m1",8,"P_BL6","poolC3"
"60","PBANKA_110700",0.107671181574184,"m1",8,"P_BL6","poolC3"
"61","PBANKA_121060",0.449410149179202,"m1",8,"P_BL6","poolC3"
"62","PBANKA_133690",0.252793208913301,"m1",8,"P_BL6","poolC3"
"63","PBANKA_120060",0.21690281505524,"m1",8,"P_BL6","poolC3"
"64","PBANKA_050060",0.195056488359029,"m1",8,"P_BL6","poolC3"
"65","PBANKA_080060",0.508707321640347,"m1",8,"P_BL6","poolC3"
"66","PBANKA_083200",0.102989825853567,"m1",8,"P_BL6","poolC3"
"67","PBANKA_112120",0.0436926533924224,"m1",8,"P_BL6","poolC3"
"68","PBANKA_070210",0.455651956806691,"m1",8,"P_BL6","poolC3"
"69","PBANKA_070270",3.86367892141564,"m1",8,"P_BL6","poolC3"
"70","PBANKA_131070",3.37369702265776,"m1",8,"P_BL6","poolC3"
"71","PBANKA_141470",2.41401909993134,"m1",8,"P_BL6","poolC3"
"72","PBANKA_093150",1.21871293926721,"m1",8,"P_BL6","poolC3"
"73","PBANKA_124430",0.246551401285812,"m1",8,"P_BL6","poolC3"
"74","PBANKA_133730",0.21690281505524,"m1",8,"P_BL6","poolC3"
"75","PBANKA_093260",4.98876474627052,"m1",8,"P_BL6","poolC3"
"76","PBANKA_070690",0.251232757006429,"m1",8,"P_BL6","poolC3"
"77","PBANKA_120710",0.482179639223519,"m1",8,"P_BL6","poolC3"
"78","PBANKA_080550",1.758629299045,"m1",8,"P_BL6","poolC3"
"79","PBANKA_080610",0.109231633481056,"m1",8,"P_BL6","poolC3"
"80","PBANKA_041160",0.914424817427127,"m1",8,"P_BL6","poolC3"
"81","PBANKA_140900",0.207540103614007,"m1",8,"P_BL6","poolC3"
"82","PBANKA_081940",0.251232757006429,"m1",8,"P_BL6","poolC3"
"83","PBANKA_132420",0.479058735409775,"m1",8,"P_BL6","poolC3"
"84","PBANKA_132900",1.5058360901317,"m1",8,"P_BL6","poolC3"
"85","PBANKA_143500",0.989326508956994,"m1",8,"P_BL6","poolC3"
"86","PBANKA_102720",0.0873853067848449,"m1",8,"P_BL6","poolC3"
"87","PBANKA_093750",4.44884838649273,"m1",8,"P_BL6","poolC3"
"88","PBANKA_136410",2.90712190250296,"m1",8,"P_BL6","poolC3"
