"","gene","abundance","mice","day","background","pool"
"1","PBANKA_031260",0.0041393869567917,"m1",8,"P_IFNYKO","poolC4"
"2","PBANKA_101810",0.0186272413055626,"m1",8,"P_IFNYKO","poolC4"
"3","PBANKA_144380",0.0151777521749029,"m1",8,"P_IFNYKO","poolC4"
"4","PBANKA_132900",2.88515270888381,"m1",8,"P_IFNYKO","poolC4"
"5","PBANKA_082040",0.0641604978302713,"m1",8,"P_IFNYKO","poolC4"
"6","PBANKA_082940",0.013797956522639,"m1",8,"P_IFNYKO","poolC4"
"7","PBANKA_041050",NA,"m1",8,"P_IFNYKO","poolC4"
"8","PBANKA_143350",NA,"m1",8,"P_IFNYKO","poolC4"
"9","PBANKA_142220",0.430496243506337,"m1",8,"P_IFNYKO","poolC4"
"10","PBANKA_143500",5.50262506122843,"m1",8,"P_IFNYKO","poolC4"
"11","PBANKA_093750",1.32115433704268,"m1",8,"P_IFNYKO","poolC4"
"12","PBANKA_102720",0.055191826090556,"m1",8,"P_IFNYKO","poolC4"
"13","PBANKA_133950",0.0013797956522639,"m1",8,"P_IFNYKO","poolC4"
"14","PBANKA_136410",0.44222450655058,"m1",8,"P_IFNYKO","poolC4"
"15","PBANKA_101700",0.393241760895211,"m1",8,"P_IFNYKO","poolC4"
"16","PBANKA_110130",0.0041393869567917,"m1",8,"P_IFNYKO","poolC4"
"17","PBANKA_131140",0.731981593525999,"m1",8,"P_IFNYKO","poolC4"
"18","PBANKA_031580",0.0931362065278132,"m1",8,"P_IFNYKO","poolC4"
"19","PBANKA_101910",3.99519831113012,"m1",8,"P_IFNYKO","poolC4"
"20","PBANKA_131270",0.0110383652181112,"m1",8,"P_IFNYKO","poolC4"
"21","PBANKA_123730",NA,"m1",8,"P_IFNYKO","poolC4"
"22","PBANKA_051490",1.57779632836377,"m1",8,"P_IFNYKO","poolC4"
"23","PBANKA_041350",0.0614009065257435,"m1",8,"P_IFNYKO","poolC4"
"24","PBANKA_124020",0.0807180456574381,"m1",8,"P_IFNYKO","poolC4"
"25","PBANKA_123360",0.0696796804393269,"m1",8,"P_IFNYKO","poolC4"
"26","PBANKA_135260",7.28739073743179,"m1",8,"P_IFNYKO","poolC4"
"27","PBANKA_121260",0.90583584571125,"m1",8,"P_IFNYKO","poolC4"
"28","PBANKA_113980",0.246983421755238,"m1",8,"P_IFNYKO","poolC4"
"29","PBANKA_030600",NA,"m1",8,"P_IFNYKO","poolC4"
"30","PBANKA_112810",0.0124181608703751,"m1",8,"P_IFNYKO","poolC4"
"31","PBANKA_103520",0.0172474456532987,"m1",8,"P_IFNYKO","poolC4"
"32","PBANKA_101750",NA,"m1",8,"P_IFNYKO","poolC4"
"33","PBANKA_140410",0.0013797956522639,"m1",8,"P_IFNYKO","poolC4"
"34","PBANKA_051300",0.394621556547475,"m1",8,"P_IFNYKO","poolC4"
"35","PBANKA_031480",2.39394545667787,"m1",8,"P_IFNYKO","poolC4"
"36","PBANKA_051500",NA,"m1",8,"P_IFNYKO","poolC4"
"37","PBANKA_080690",0.0510524391337643,"m1",8,"P_IFNYKO","poolC4"
"38","PBANKA_082320",1.18455456746856,"m1",8,"P_IFNYKO","poolC4"
"39","PBANKA_100640",0.616768656561963,"m1",8,"P_IFNYKO","poolC4"
"40","PBANKA_103780",0.102794776093661,"m1",8,"P_IFNYKO","poolC4"
"41","PBANKA_145770",0.845814734837771,"m1",8,"P_IFNYKO","poolC4"
"42","PBANKA_091600",0.0110383652181112,"m1",8,"P_IFNYKO","poolC4"
"43","PBANKA_131720",NA,"m1",8,"P_IFNYKO","poolC4"
"44","PBANKA_112240",NA,"m1",8,"P_IFNYKO","poolC4"
"45","PBANKA_071490",0.0110383652181112,"m1",8,"P_IFNYKO","poolC4"
"46","PBANKA_140160",0.0448433586985767,"m1",8,"P_IFNYKO","poolC4"
"47","PBANKA_103440",0.0041393869567917,"m1",8,"P_IFNYKO","poolC4"
"48","PBANKA_133580",0.346328708718239,"m1",8,"P_IFNYKO","poolC4"
"49","PBANKA_093290",3.41154475022249,"m1",8,"P_IFNYKO","poolC4"
"50","PBANKA_132910",6.16285728083671,"m1",8,"P_IFNYKO","poolC4"
"51","PBANKA_146060",1.06865173267839,"m1",8,"P_IFNYKO","poolC4"
"52","PBANKA_110420",NA,"m1",8,"P_IFNYKO","poolC4"
"53","PBANKA_031590",1.87928167838343,"m1",8,"P_IFNYKO","poolC4"
"54","PBANKA_051760",0.133150280443466,"m1",8,"P_IFNYKO","poolC4"
"55","PBANKA_070700",1.3321927022608,"m1",8,"P_IFNYKO","poolC4"
"56","PBANKA_031180",0.0068989782613195,"m1",8,"P_IFNYKO","poolC4"
"57","PBANKA_030240",0.0289757086975419,"m1",8,"P_IFNYKO","poolC4"
"58","PBANKA_140070",NA,"m1",8,"P_IFNYKO","poolC4"
"59","PBANKA_111060",0.0165575478271668,"m1",8,"P_IFNYKO","poolC4"
"60","PBANKA_143630",1.49224899792341,"m1",8,"P_IFNYKO","poolC4"
"61","PBANKA_052230",3.39567710022146,"m1",8,"P_IFNYKO","poolC4"
"62","PBANKA_143060",1.65368508923828,"m1",8,"P_IFNYKO","poolC4"
"63","PBANKA_144900",0.0151777521749029,"m1",8,"P_IFNYKO","poolC4"
"64","PBANKA_131530",0.298035860889002,"m1",8,"P_IFNYKO","poolC4"
"65","PBANKA_134630",1.08934866746235,"m1",8,"P_IFNYKO","poolC4"
"66","PBANKA_135960",NA,"m1",8,"P_IFNYKO","poolC4"
"67","PBANKA_103240",0.333910547847864,"m1",8,"P_IFNYKO","poolC4"
"68","PBANKA_111430",0.0234565260884863,"m1",8,"P_IFNYKO","poolC4"
"69","PBANKA_062030",0.51673347177283,"m1",8,"P_IFNYKO","poolC4"
"70","PBANKA_093080",0.0110383652181112,"m1",8,"P_IFNYKO","poolC4"
"71","PBANKA_143440",0.191791595664682,"m1",8,"P_IFNYKO","poolC4"
"72","PBANKA_110430",0.0013797956522639,"m1",8,"P_IFNYKO","poolC4"
"73","PBANKA_102460",0.349088300022767,"m1",8,"P_IFNYKO","poolC4"
"74","PBANKA_010110",3.13558561976971,"m1",8,"P_IFNYKO","poolC4"
"75","PBANKA_020790",NA,"m1",8,"P_IFNYKO","poolC4"
"76","PBANKA_120290",0.082787739135834,"m1",8,"P_IFNYKO","poolC4"
"77","PBANKA_071020",0.480168886987837,"m1",8,"P_IFNYKO","poolC4"
"78","PBANKA_093100",0.368405439154461,"m1",8,"P_IFNYKO","poolC4"
"79","PBANKA_111760",0.0013797956522639,"m1",8,"P_IFNYKO","poolC4"
"80","PBANKA_110140",NA,"m1",8,"P_IFNYKO","poolC4"
"81","PBANKA_020900",0.0055191826090556,"m1",8,"P_IFNYKO","poolC4"
"82","PBANKA_011160",5.82135785690139,"m1",8,"P_IFNYKO","poolC4"
"83","PBANKA_010940",0.155227010879689,"m1",8,"P_IFNYKO","poolC4"
"84","PBANKA_141230",0.0213868326100904,"m1",8,"P_IFNYKO","poolC4"
"85","PBANKA_010820",0.0041393869567917,"m1",8,"P_IFNYKO","poolC4"
"86","PBANKA_121220",0.0331150956543336,"m1",8,"P_IFNYKO","poolC4"
"87","PBANKA_093380",0.0558817239166879,"m1",8,"P_IFNYKO","poolC4"
"88","PBANKA_061640",1.41980972617955,"m1",8,"P_IFNYKO","poolC4"
"89","PBANKA_135820",0.241464239146182,"m1",8,"P_IFNYKO","poolC4"
"90","PBANKA_140450",2.36427985015419,"m1",8,"P_IFNYKO","poolC4"
"91","PBANKA_101210",NA,"m1",8,"P_IFNYKO","poolC4"
"92","PBANKA_113280",0.013797956522639,"m1",8,"P_IFNYKO","poolC4"
"93","PBANKA_041590",0.0103484673919792,"m1",8,"P_IFNYKO","poolC4"
"94","PBANKA_080640",NA,"m1",8,"P_IFNYKO","poolC4"
"95","PBANKA_070850",0.742330060917978,"m1",8,"P_IFNYKO","poolC4"
"96","PBANKA_120160",NA,"m1",8,"P_IFNYKO","poolC4"
"97","PBANKA_120740",0.253192502190426,"m1",8,"P_IFNYKO","poolC4"
"98","PBANKA_132170",0.0082787739135834,"m1",8,"P_IFNYKO","poolC4"
"99","PBANKA_092770",0.0055191826090556,"m1",8,"P_IFNYKO","poolC4"
"100","PBANKA_142710",0.0041393869567917,"m1",8,"P_IFNYKO","poolC4"
"101","PBANKA_050720",0.164195682619404,"m1",8,"P_IFNYKO","poolC4"
"102","PBANKA_091240",0.15936639783648,"m1",8,"P_IFNYKO","poolC4"
"103","PBANKA_145980",0.0986553891368688,"m1",8,"P_IFNYKO","poolC4"
"104","PBANKA_110700",2.67818336104423,"m1",8,"P_IFNYKO","poolC4"
"105","PBANKA_102760",0.0462231543508406,"m1",8,"P_IFNYKO","poolC4"
"106","PBANKA_121060",0.869961158752389,"m1",8,"P_IFNYKO","poolC4"
"107","PBANKA_070440",0.0110383652181112,"m1",8,"P_IFNYKO","poolC4"
"108","PBANKA_021550",NA,"m1",8,"P_IFNYKO","poolC4"
"109","PBANKA_051700",NA,"m1",8,"P_IFNYKO","poolC4"
"110","PBANKA_070070",0.0124181608703751,"m1",8,"P_IFNYKO","poolC4"
"111","PBANKA_041850",0.0165575478271668,"m1",8,"P_IFNYKO","poolC4"
"112","PBANKA_100850",NA,"m1",8,"P_IFNYKO","poolC4"
"113","PBANKA_071330",0.0255262195668821,"m1",8,"P_IFNYKO","poolC4"
"114","PBANKA_041450",0.0434635630463128,"m1",8,"P_IFNYKO","poolC4"
"115","PBANKA_080060",0.082097841309702,"m1",8,"P_IFNYKO","poolC4"
"116","PBANKA_083200",0.266300560886933,"m1",8,"P_IFNYKO","poolC4"
"117","PBANKA_135800",0.00620908043518755,"m1",8,"P_IFNYKO","poolC4"
"118","PBANKA_094130",NA,"m1",8,"P_IFNYKO","poolC4"
"119","PBANKA_112120",0.0317353000020697,"m1",8,"P_IFNYKO","poolC4"
"120","PBANKA_070210",0.068299884787063,"m1",8,"P_IFNYKO","poolC4"
"121","PBANKA_070270",6.47676079172675,"m1",8,"P_IFNYKO","poolC4"
"122","PBANKA_131070",7.23978778742868,"m1",8,"P_IFNYKO","poolC4"
"123","PBANKA_141470",1.95999972404087,"m1",8,"P_IFNYKO","poolC4"
"124","PBANKA_093150",1.9282644240388,"m1",8,"P_IFNYKO","poolC4"
"125","PBANKA_011040",0.0096585695658473,"m1",8,"P_IFNYKO","poolC4"
"126","PBANKA_031330",0.00206969347839585,"m1",8,"P_IFNYKO","poolC4"
"127","PBANKA_124430",0.0351847891327294,"m1",8,"P_IFNYKO","poolC4"
"128","PBANKA_112220",NA,"m1",8,"P_IFNYKO","poolC4"
"129","PBANKA_133730",0.054501928264424,"m1",8,"P_IFNYKO","poolC4"
"130","PBANKA_093260",5.36257580252365,"m1",8,"P_IFNYKO","poolC4"
"131","PBANKA_083680",NA,"m1",8,"P_IFNYKO","poolC4"
"132","PBANKA_080040",0.0082787739135834,"m1",8,"P_IFNYKO","poolC4"
"133","PBANKA_050530",NA,"m1",8,"P_IFNYKO","poolC4"
"134","PBANKA_070690",0.0234565260884863,"m1",8,"P_IFNYKO","poolC4"
"135","PBANKA_080550",1.02518816963208,"m1",8,"P_IFNYKO","poolC4"
"136","PBANKA_080610",NA,"m1",8,"P_IFNYKO","poolC4"
"137","PBANKA_041160",0.00620908043518755,"m1",8,"P_IFNYKO","poolC4"
"138","PBANKA_091140",0.0013797956522639,"m1",8,"P_IFNYKO","poolC4"
"139","PBANKA_140900",0.280098517409572,"m1",8,"P_IFNYKO","poolC4"
"140","PBANKA_031230",0.00620908043518755,"m1",8,"P_IFNYKO","poolC4"
"141","PBANKA_081940",0.104174571745924,"m1",8,"P_IFNYKO","poolC4"
"142","PBANKA_051830",0.0055191826090556,"m1",8,"P_IFNYKO","poolC4"
"143","PBANKA_082420",NA,"m1",8,"P_IFNYKO","poolC4"
"144","PBANKA_092500",NA,"m1",8,"P_IFNYKO","poolC4"
"145","PBANKA_123030",NA,"m1",8,"P_IFNYKO","poolC4"
"146","PBANKA_031260",0.00726242782962344,"m1",9,"P_IFNYKO","poolC4"
"147","PBANKA_101810",0.0175508672549233,"m1",9,"P_IFNYKO","poolC4"
"148","PBANKA_144380",0.00847283246789402,"m1",9,"P_IFNYKO","poolC4"
"149","PBANKA_132900",3.01632835857027,"m1",9,"P_IFNYKO","poolC4"
"150","PBANKA_082040",0.0944115617851048,"m1",9,"P_IFNYKO","poolC4"
"151","PBANKA_082940",NA,"m1",9,"P_IFNYKO","poolC4"
"152","PBANKA_041050",NA,"m1",9,"P_IFNYKO","poolC4"
"153","PBANKA_143350",0.00786763014875873,"m1",9,"P_IFNYKO","poolC4"
"154","PBANKA_142220",0.427878039628648,"m1",9,"P_IFNYKO","poolC4"
"155","PBANKA_143500",6.16761683430771,"m1",9,"P_IFNYKO","poolC4"
"156","PBANKA_093750",0.907198276383795,"m1",9,"P_IFNYKO","poolC4"
"157","PBANKA_102720",0.0326809252333055,"m1",9,"P_IFNYKO","poolC4"
"158","PBANKA_133950",0.00121040463827057,"m1",9,"P_IFNYKO","poolC4"
"159","PBANKA_136410",0.288076303908397,"m1",9,"P_IFNYKO","poolC4"
"160","PBANKA_101700",0.31591561058862,"m1",9,"P_IFNYKO","poolC4"
"161","PBANKA_110130",0.00181560695740586,"m1",9,"P_IFNYKO","poolC4"
"162","PBANKA_131140",0.540445670987811,"m1",9,"P_IFNYKO","poolC4"
"163","PBANKA_031580",0.0429693646586054,"m1",9,"P_IFNYKO","poolC4"
"164","PBANKA_101910",3.77706767372333,"m1",9,"P_IFNYKO","poolC4"
"165","PBANKA_131270",0.0550734110413111,"m1",9,"P_IFNYKO","poolC4"
"166","PBANKA_123730",0.00726242782962344,"m1",9,"P_IFNYKO","poolC4"
"167","PBANKA_051490",1.22129828001501,"m1",9,"P_IFNYKO","poolC4"
"168","PBANKA_041350",0.0387329484246584,"m1",9,"P_IFNYKO","poolC4"
"169","PBANKA_124020",0.0466005785734171,"m1",9,"P_IFNYKO","poolC4"
"170","PBANKA_123360",0.104700001210405,"m1",9,"P_IFNYKO","poolC4"
"171","PBANKA_135260",9.83453768594841,"m1",9,"P_IFNYKO","poolC4"
"172","PBANKA_121260",0.757108101238244,"m1",9,"P_IFNYKO","poolC4"
"173","PBANKA_113980",0.17974508878318,"m1",9,"P_IFNYKO","poolC4"
"174","PBANKA_030600",0.00121040463827057,"m1",9,"P_IFNYKO","poolC4"
"175","PBANKA_112810",0.0187612718931939,"m1",9,"P_IFNYKO","poolC4"
"176","PBANKA_103520",0.00302601159567643,"m1",9,"P_IFNYKO","poolC4"
"177","PBANKA_101750",0.00423641623394701,"m1",9,"P_IFNYKO","poolC4"
