"","gene","abundance","mice","day","background","pool"
"1","PBANKA_031580",3.40294383952824,"m1",7,"P_RAG1KO","minipool2"
"2","PBANKA_051490",2.38316346667286,"m1",7,"P_RAG1KO","minipool2"
"3","PBANKA_051500",6.85580293919625,"m1",7,"P_RAG1KO","minipool2"
"4","PBANKA_071020",5.94107677663501,"m1",7,"P_RAG1KO","minipool2"
"5","PBANKA_010940",2.59036983725304,"m1",7,"P_RAG1KO","minipool2"
"6","PBANKA_093380",0.596661481670652,"m1",7,"P_RAG1KO","minipool2"
"7","PBANKA_135820",3.63336661017343,"m1",7,"P_RAG1KO","minipool2"
"8","PBANKA_110700",0.385972651080723,"m1",7,"P_RAG1KO","minipool2"
"9","PBANKA_051700",1.10452023309266,"m1",7,"P_RAG1KO","minipool2"
"10","PBANKA_100850",3.17368188888631,"m1",7,"P_RAG1KO","minipool2"
"11","PBANKA_080060",40.6379866737864,"m1",7,"P_RAG1KO","minipool2"
"12","PBANKA_136410",2.78422677779584,"m1",7,"P_RAG1KO","minipool2"
"13","PBANKA_114590",25.0255380400715,"m1",7,"P_RAG1KO","minipool2"
"14","PBANKA_124020",1.48468878415713,"m1",7,"P_RAG1KO","minipool2"
"15","PBANKA_031580",3.18960882561665,"m1",8,"P_RAG1KO","minipool2"
"16","PBANKA_051490",4.55818154448291,"m1",8,"P_RAG1KO","minipool2"
"17","PBANKA_051500",14.885701382766,"m1",8,"P_RAG1KO","minipool2"
"18","PBANKA_071020",12.7214468506054,"m1",8,"P_RAG1KO","minipool2"
"19","PBANKA_010940",5.36504591299112,"m1",8,"P_RAG1KO","minipool2"
"20","PBANKA_093380",0.860626653190254,"m1",8,"P_RAG1KO","minipool2"
"21","PBANKA_135820",8.94776456420292,"m1",8,"P_RAG1KO","minipool2"
"22","PBANKA_110700",2.31693942065762,"m1",8,"P_RAG1KO","minipool2"
"23","PBANKA_051700",0.864497537687361,"m1",8,"P_RAG1KO","minipool2"
"24","PBANKA_100850",1.61587922840369,"m1",8,"P_RAG1KO","minipool2"
"25","PBANKA_080060",18.229285391712,"m1",8,"P_RAG1KO","minipool2"
"26","PBANKA_136410",8.48497881765983,"m1",8,"P_RAG1KO","minipool2"
"27","PBANKA_114590",12.6569321089869,"m1",8,"P_RAG1KO","minipool2"
"28","PBANKA_124020",5.3031117610374,"m1",8,"P_RAG1KO","minipool2"
"29","PBANKA_031580",2.88943587682725,"m1",9,"P_RAG1KO","minipool2"
"30","PBANKA_051490",6.28824031747626,"m1",9,"P_RAG1KO","minipool2"
"31","PBANKA_051500",22.2434319586075,"m1",9,"P_RAG1KO","minipool2"
"32","PBANKA_071020",18.3794645099714,"m1",9,"P_RAG1KO","minipool2"
"33","PBANKA_010940",7.4044306023007,"m1",9,"P_RAG1KO","minipool2"
"34","PBANKA_093380",1.20862008338775,"m1",9,"P_RAG1KO","minipool2"
"35","PBANKA_135820",10.3712262018385,"m1",9,"P_RAG1KO","minipool2"
"36","PBANKA_110700",3.30436529863867,"m1",9,"P_RAG1KO","minipool2"
"37","PBANKA_051700",0.637966544431607,"m1",9,"P_RAG1KO","minipool2"
"38","PBANKA_100850",0.162756819209323,"m1",9,"P_RAG1KO","minipool2"
"39","PBANKA_080060",8.63515346360577,"m1",9,"P_RAG1KO","minipool2"
"40","PBANKA_136410",10.9026975435776,"m1",9,"P_RAG1KO","minipool2"
"41","PBANKA_114590",1.80439041543176,"m1",9,"P_RAG1KO","minipool2"
"42","PBANKA_124020",5.76782036469584,"m1",9,"P_RAG1KO","minipool2"
"43","PBANKA_031580",2.10914740726355,"m1",10,"P_RAG1KO","minipool2"
"44","PBANKA_051490",8.49485336958633,"m1",10,"P_RAG1KO","minipool2"
"45","PBANKA_051500",26.6828510390367,"m1",10,"P_RAG1KO","minipool2"
"46","PBANKA_071020",17.0130122353855,"m1",10,"P_RAG1KO","minipool2"
"47","PBANKA_010940",6.07496601281802,"m1",10,"P_RAG1KO","minipool2"
"48","PBANKA_093380",1.06816857642261,"m1",10,"P_RAG1KO","minipool2"
"49","PBANKA_135820",9.52223732763643,"m1",10,"P_RAG1KO","minipool2"
"50","PBANKA_110700",3.50553505535055,"m1",10,"P_RAG1KO","minipool2"
"51","PBANKA_051700",0.530200038842494,"m1",10,"P_RAG1KO","minipool2"
"52","PBANKA_100850",0.211691590600117,"m1",10,"P_RAG1KO","minipool2"
"53","PBANKA_080060",7.00524373664789,"m1",10,"P_RAG1KO","minipool2"
"54","PBANKA_136410",10.570984657215,"m1",10,"P_RAG1KO","minipool2"
"55","PBANKA_114590",1.41969314429986,"m1",10,"P_RAG1KO","minipool2"
"56","PBANKA_124020",5.79141580889493,"m1",10,"P_RAG1KO","minipool2"
"57","PBANKA_031580",1.81133246646226,"m1",11,"P_RAG1KO","minipool2"
"58","PBANKA_051490",8.27915389102039,"m1",11,"P_RAG1KO","minipool2"
"59","PBANKA_051500",26.0264663231289,"m1",11,"P_RAG1KO","minipool2"
"60","PBANKA_071020",18.6297015716052,"m1",11,"P_RAG1KO","minipool2"
"61","PBANKA_010940",6.75624334462406,"m1",11,"P_RAG1KO","minipool2"
"62","PBANKA_093380",0.920916742919215,"m1",11,"P_RAG1KO","minipool2"
"63","PBANKA_135820",9.2878279528465,"m1",11,"P_RAG1KO","minipool2"
"64","PBANKA_110700",4.32846922340124,"m1",11,"P_RAG1KO","minipool2"
"65","PBANKA_051700",0.452699340214791,"m1",11,"P_RAG1KO","minipool2"
"66","PBANKA_100850",0.0502999266905324,"m1",11,"P_RAG1KO","minipool2"
"67","PBANKA_080060",4.7715366627604,"m1",11,"P_RAG1KO","minipool2"
"68","PBANKA_136410",12.3282979896082,"m1",11,"P_RAG1KO","minipool2"
"69","PBANKA_114590",0.594502325033845,"m1",11,"P_RAG1KO","minipool2"
"70","PBANKA_124020",5.7625522396845,"m1",11,"P_RAG1KO","minipool2"
"71","PBANKA_031580",2.95170415278513,"m2",7,"P_RAG1KO","minipool2"
"72","PBANKA_051490",0.258327733054988,"m2",7,"P_RAG1KO","minipool2"
"73","PBANKA_051500",1.62670212715253,"m2",7,"P_RAG1KO","minipool2"
"74","PBANKA_071020",1.04808613466405,"m2",7,"P_RAG1KO","minipool2"
"75","PBANKA_010940",2.24344767433547,"m2",7,"P_RAG1KO","minipool2"
"76","PBANKA_093380",0.0562410931743331,"m2",7,"P_RAG1KO","minipool2"
"77","PBANKA_135820",1.30212429281592,"m2",7,"P_RAG1KO","minipool2"
"78","PBANKA_110700",0.219721558926844,"m2",7,"P_RAG1KO","minipool2"
"79","PBANKA_051700",0.849335830819166,"m2",7,"P_RAG1KO","minipool2"
"80","PBANKA_100850",4.88725567296281,"m2",7,"P_RAG1KO","minipool2"
"81","PBANKA_080060",50.1317852734127,"m2",7,"P_RAG1KO","minipool2"
"82","PBANKA_136410",0.631044130193364,"m2",7,"P_RAG1KO","minipool2"
"83","PBANKA_114590",33.6169218963734,"m2",7,"P_RAG1KO","minipool2"
"84","PBANKA_124020",0.177302429329253,"m2",7,"P_RAG1KO","minipool2"
"85","PBANKA_031580",0.264718660644822,"m2",8,"P_RAG1KO","minipool2"
"86","PBANKA_051490",0.970466692936457,"m2",8,"P_RAG1KO","minipool2"
"87","PBANKA_051500",7.44192860679175,"m2",8,"P_RAG1KO","minipool2"
"88","PBANKA_071020",2.75630727572166,"m2",8,"P_RAG1KO","minipool2"
"89","PBANKA_010940",1.17809907752619,"m2",8,"P_RAG1KO","minipool2"
"90","PBANKA_093380",0.0838612550897719,"m2",8,"P_RAG1KO","minipool2"
"91","PBANKA_135820",2.91443120851141,"m2",8,"P_RAG1KO","minipool2"
"92","PBANKA_110700",0.560253806593717,"m2",8,"P_RAG1KO","minipool2"
"93","PBANKA_051700",0.825477655522213,"m2",8,"P_RAG1KO","minipool2"
"94","PBANKA_100850",5.31508593252705,"m2",8,"P_RAG1KO","minipool2"
"95","PBANKA_080060",43.2693764966203,"m2",8,"P_RAG1KO","minipool2"
"96","PBANKA_136410",2.63152576965435,"m2",8,"P_RAG1KO","minipool2"
"97","PBANKA_114590",30.7028179402463,"m2",8,"P_RAG1KO","minipool2"
"98","PBANKA_124020",1.08564962161398,"m2",8,"P_RAG1KO","minipool2"
"99","PBANKA_031580",0.853908998438603,"m2",9,"P_RAG1KO","minipool2"
"100","PBANKA_051490",2.96470984586878,"m2",9,"P_RAG1KO","minipool2"
"101","PBANKA_051500",29.4592125637354,"m2",9,"P_RAG1KO","minipool2"
"102","PBANKA_071020",10.647947184627,"m2",9,"P_RAG1KO","minipool2"
"103","PBANKA_010940",3.60093035912121,"m2",9,"P_RAG1KO","minipool2"
"104","PBANKA_093380",0.469714737380871,"m2",9,"P_RAG1KO","minipool2"
"105","PBANKA_135820",9.04443825356821,"m2",9,"P_RAG1KO","minipool2"
"106","PBANKA_110700",1.6670014059048,"m2",9,"P_RAG1KO","minipool2"
"107","PBANKA_051700",0.854556880834991,"m2",9,"P_RAG1KO","minipool2"
"108","PBANKA_100850",1.28280714484707,"m2",9,"P_RAG1KO","minipool2"
"109","PBANKA_080060",19.4455422451717,"m2",9,"P_RAG1KO","minipool2"
"110","PBANKA_136410",6.86560975451736,"m2",9,"P_RAG1KO","minipool2"
"111","PBANKA_114590",10.0518953799506,"m2",9,"P_RAG1KO","minipool2"
"112","PBANKA_124020",2.79172524603334,"m2",9,"P_RAG1KO","minipool2"
"113","PBANKA_031580",0.529893672651211,"m2",10,"P_RAG1KO","minipool2"
"114","PBANKA_051490",6.98672775716527,"m2",10,"P_RAG1KO","minipool2"
"115","PBANKA_051500",39.4845489180507,"m2",10,"P_RAG1KO","minipool2"
"116","PBANKA_071020",12.3035932169626,"m2",10,"P_RAG1KO","minipool2"
"117","PBANKA_010940",3.44181877038771,"m2",10,"P_RAG1KO","minipool2"
"118","PBANKA_093380",0.402898478547773,"m2",10,"P_RAG1KO","minipool2"
"119","PBANKA_135820",9.81697751438034,"m2",10,"P_RAG1KO","minipool2"
"120","PBANKA_110700",2.01797853532209,"m2",10,"P_RAG1KO","minipool2"
"121","PBANKA_051700",0.898428745735701,"m2",10,"P_RAG1KO","minipool2"
"122","PBANKA_100850",0.630991807564929,"m2",10,"P_RAG1KO","minipool2"
"123","PBANKA_080060",9.15261834209019,"m2",10,"P_RAG1KO","minipool2"
"124","PBANKA_136410",7.89661097138873,"m2",10,"P_RAG1KO","minipool2"
"125","PBANKA_114590",3.85218755447098,"m2",10,"P_RAG1KO","minipool2"
"126","PBANKA_124020",2.58472571528175,"m2",10,"P_RAG1KO","minipool2"
"127","PBANKA_031580",0.398928252456088,"m2",11,"P_RAG1KO","minipool2"
"128","PBANKA_051490",6.19876947504218,"m2",11,"P_RAG1KO","minipool2"
"129","PBANKA_051500",45.8370546789719,"m2",11,"P_RAG1KO","minipool2"
"130","PBANKA_071020",13.3576461248387,"m2",11,"P_RAG1KO","minipool2"
"131","PBANKA_010940",3.36459263669743,"m2",11,"P_RAG1KO","minipool2"
"132","PBANKA_093380",0.348814131189838,"m2",11,"P_RAG1KO","minipool2"
"133","PBANKA_135820",11.081174952863,"m2",11,"P_RAG1KO","minipool2"
"134","PBANKA_110700",2.95028282226853,"m2",11,"P_RAG1KO","minipool2"
"135","PBANKA_051700",0.959610995335914,"m2",11,"P_RAG1KO","minipool2"
"136","PBANKA_100850",0.0297707651086633,"m2",11,"P_RAG1KO","minipool2"
"137","PBANKA_080060",2.34990572591049,"m2",11,"P_RAG1KO","minipool2"
"138","PBANKA_136410",9.46214151037015,"m2",11,"P_RAG1KO","minipool2"
"139","PBANKA_114590",0.327974595613774,"m2",11,"P_RAG1KO","minipool2"
"140","PBANKA_124020",3.33333333333333,"m2",11,"P_RAG1KO","minipool2"
"141","PBANKA_031580",0.93672518226134,"m3",7,"P_RAG1KO","minipool2"
"142","PBANKA_051490",1.16912272475926,"m3",7,"P_RAG1KO","minipool2"
"143","PBANKA_051500",2.71563663421085,"m3",7,"P_RAG1KO","minipool2"
"144","PBANKA_071020",2.4070473535475,"m3",7,"P_RAG1KO","minipool2"
"145","PBANKA_010940",0.939018579062306,"m3",7,"P_RAG1KO","minipool2"
"146","PBANKA_093380",0.0940292688396177,"m3",7,"P_RAG1KO","minipool2"
"147","PBANKA_135820",2.73551273981923,"m3",7,"P_RAG1KO","minipool2"
"148","PBANKA_110700",0.4670884817968,"m3",7,"P_RAG1KO","minipool2"
"149","PBANKA_051700",0.731593579508245,"m3",7,"P_RAG1KO","minipool2"
"150","PBANKA_100850",3.13558307065446,"m3",7,"P_RAG1KO","minipool2"
"151","PBANKA_080060",51.3272396930925,"m3",7,"P_RAG1KO","minipool2"
"152","PBANKA_136410",2.81807502465402,"m3",7,"P_RAG1KO","minipool2"
"153","PBANKA_114590",29.9685804638268,"m3",7,"P_RAG1KO","minipool2"
"154","PBANKA_124020",0.554747203967067,"m3",7,"P_RAG1KO","minipool2"
"155","PBANKA_031580",1.22667736665616,"m3",8,"P_RAG1KO","minipool2"
"156","PBANKA_051490",3.86960206684491,"m3",8,"P_RAG1KO","minipool2"
"157","PBANKA_051500",12.5153027592052,"m3",8,"P_RAG1KO","minipool2"
"158","PBANKA_071020",6.75122933871608,"m3",8,"P_RAG1KO","minipool2"
"159","PBANKA_010940",3.00773429087321,"m3",8,"P_RAG1KO","minipool2"
"160","PBANKA_093380",0.183018952902304,"m3",8,"P_RAG1KO","minipool2"
"161","PBANKA_135820",5.30673075742005,"m3",8,"P_RAG1KO","minipool2"
"162","PBANKA_110700",1.78064748584367,"m3",8,"P_RAG1KO","minipool2"
"163","PBANKA_051700",1.16034835016807,"m3",8,"P_RAG1KO","minipool2"
"164","PBANKA_100850",2.77967711689875,"m3",8,"P_RAG1KO","minipool2"
"165","PBANKA_080060",30.3533043723924,"m3",8,"P_RAG1KO","minipool2"
"166","PBANKA_136410",6.13011132629372,"m3",8,"P_RAG1KO","minipool2"
"167","PBANKA_114590",22.2017957967057,"m3",8,"P_RAG1KO","minipool2"
"168","PBANKA_124020",2.73382001907983,"m3",8,"P_RAG1KO","minipool2"
"169","PBANKA_031580",0.88757035246432,"m3",9,"P_RAG1KO","minipool2"
"170","PBANKA_051490",6.57253781635718,"m3",9,"P_RAG1KO","minipool2"
"171","PBANKA_051500",24.5302713987474,"m3",9,"P_RAG1KO","minipool2"
"172","PBANKA_071020",11.8649965205289,"m3",9,"P_RAG1KO","minipool2"
"173","PBANKA_010940",5.09773040813586,"m3",9,"P_RAG1KO","minipool2"
"174","PBANKA_093380",0.33756974203079,"m3",9,"P_RAG1KO","minipool2"
"175","PBANKA_135820",9.51910046515035,"m3",9,"P_RAG1KO","minipool2"
"176","PBANKA_110700",3.88479898423861,"m3",9,"P_RAG1KO","minipool2"
"177","PBANKA_051700",0.552442344553102,"m3",9,"P_RAG1KO","minipool2"
"178","PBANKA_100850",0.758768877656912,"m3",9,"P_RAG1KO","minipool2"
"179","PBANKA_080060",13.574820837759,"m3",9,"P_RAG1KO","minipool2"
"180","PBANKA_136410",11.4468495525522,"m3",9,"P_RAG1KO","minipool2"
"181","PBANKA_114590",6.25816454846232,"m3",9,"P_RAG1KO","minipool2"
"182","PBANKA_124020",4.7143781513631,"m3",9,"P_RAG1KO","minipool2"
"183","PBANKA_031580",0.583589690561745,"m3",10,"P_RAG1KO","minipool2"
"184","PBANKA_051490",7.85357909159062,"m3",10,"P_RAG1KO","minipool2"
"185","PBANKA_051500",32.5853734198485,"m3",10,"P_RAG1KO","minipool2"
"186","PBANKA_071020",14.4010288757335,"m3",10,"P_RAG1KO","minipool2"
"187","PBANKA_010940",5.3201664814001,"m3",10,"P_RAG1KO","minipool2"
"188","PBANKA_093380",0.439469534420805,"m3",10,"P_RAG1KO","minipool2"
"189","PBANKA_135820",9.92748752682057,"m3",10,"P_RAG1KO","minipool2"
"190","PBANKA_110700",4.61830778378099,"m3",10,"P_RAG1KO","minipool2"
"191","PBANKA_051700",0.51185275185482,"m3",10,"P_RAG1KO","minipool2"
"192","PBANKA_100850",0.171263862678696,"m3",10,"P_RAG1KO","minipool2"
"193","PBANKA_080060",5.78484088617739,"m3",10,"P_RAG1KO","minipool2"
"194","PBANKA_136410",12.3135485872347,"m3",10,"P_RAG1KO","minipool2"
"195","PBANKA_114590",1.48902618721402,"m3",10,"P_RAG1KO","minipool2"
"196","PBANKA_124020",4.0004653206835,"m3",10,"P_RAG1KO","minipool2"
"197","PBANKA_031580",0.322237115105668,"m3",11,"P_RAG1KO","minipool2"
"198","PBANKA_051490",10.1513871802875,"m3",11,"P_RAG1KO","minipool2"
"199","PBANKA_051500",36.4674182472504,"m3",11,"P_RAG1KO","minipool2"
"200","PBANKA_071020",13.0184712557149,"m3",11,"P_RAG1KO","minipool2"
"201","PBANKA_010940",3.88061619815287,"m3",11,"P_RAG1KO","minipool2"
"202","PBANKA_093380",0.313974624974753,"m3",11,"P_RAG1KO","minipool2"
"203","PBANKA_135820",10.5915942933735,"m3",11,"P_RAG1KO","minipool2"
"204","PBANKA_110700",4.74955474358739,"m3",11,"P_RAG1KO","minipool2"
"205","PBANKA_051700",0.577915281934524,"m3",11,"P_RAG1KO","minipool2"
"206","PBANKA_100850",0.0280006609992105,"m3",11,"P_RAG1KO","minipool2"
"207","PBANKA_080060",2.71239189908745,"m3",11,"P_RAG1KO","minipool2"
"208","PBANKA_136410",12.4635073352551,"m3",11,"P_RAG1KO","minipool2"
"209","PBANKA_114590",0.497585516772855,"m3",11,"P_RAG1KO","minipool2"
"210","PBANKA_124020",4.22534564750381,"m3",11,"P_RAG1KO","minipool2"
