"","gene","abundance","mice","day","background","pool"
"1","PBANKA_031260",0.993249168893149,"m1",11,"NP_RAG1KO","poolC5"
"2","PBANKA_101810",0.105035589728947,"m1",11,"NP_RAG1KO","poolC5"
"3","PBANKA_144380",0.0367114682547776,"m1",11,"NP_RAG1KO","poolC5"
"4","PBANKA_082040",NA,"m1",11,"NP_RAG1KO","poolC5"
"5","PBANKA_041050",NA,"m1",11,"NP_RAG1KO","poolC5"
"6","PBANKA_142220",0.0224347861556974,"m1",11,"NP_RAG1KO","poolC5"
"7","PBANKA_101700",0.668964532642614,"m1",11,"NP_RAG1KO","poolC5"
"8","PBANKA_131140",0.00101976300707716,"m1",11,"NP_RAG1KO","poolC5"
"9","PBANKA_031580",0.211090942464971,"m1",11,"NP_RAG1KO","poolC5"
"10","PBANKA_051490",1.3705614815117,"m1",11,"NP_RAG1KO","poolC5"
"11","PBANKA_123360",1.19312271828027,"m1",11,"NP_RAG1KO","poolC5"
"12","PBANKA_135260",21.0489282290796,"m1",11,"NP_RAG1KO","poolC5"
"13","PBANKA_121260",0.00203952601415431,"m1",11,"NP_RAG1KO","poolC5"
"14","PBANKA_113980",0.189675919316351,"m1",11,"NP_RAG1KO","poolC5"
"15","PBANKA_112810",0.0479288613326263,"m1",11,"NP_RAG1KO","poolC5"
"16","PBANKA_103520",NA,"m1",11,"NP_RAG1KO","poolC5"
"17","PBANKA_101750",0.0183557341273888,"m1",11,"NP_RAG1KO","poolC5"
"18","PBANKA_140410",0.0203952601415431,"m1",11,"NP_RAG1KO","poolC5"
"19","PBANKA_051300",0.181517815259734,"m1",11,"NP_RAG1KO","poolC5"
"20","PBANKA_031480",0.416063306887479,"m1",11,"NP_RAG1KO","poolC5"
"21","PBANKA_051500",0.00203952601415431,"m1",11,"NP_RAG1KO","poolC5"
"22","PBANKA_080690",NA,"m1",11,"NP_RAG1KO","poolC5"
"23","PBANKA_082320",0.00203952601415431,"m1",11,"NP_RAG1KO","poolC5"
"24","PBANKA_100640",0.782158226428178,"m1",11,"NP_RAG1KO","poolC5"
"25","PBANKA_103780",NA,"m1",11,"NP_RAG1KO","poolC5"
"26","PBANKA_145770",NA,"m1",11,"NP_RAG1KO","poolC5"
"27","PBANKA_091600",3.3254471660786,"m1",11,"NP_RAG1KO","poolC5"
"28","PBANKA_131720",NA,"m1",11,"NP_RAG1KO","poolC5"
"29","PBANKA_112240",NA,"m1",11,"NP_RAG1KO","poolC5"
"30","PBANKA_071490",NA,"m1",11,"NP_RAG1KO","poolC5"
"31","PBANKA_140160",NA,"m1",11,"NP_RAG1KO","poolC5"
"32","PBANKA_103440",0.00203952601415431,"m1",11,"NP_RAG1KO","poolC5"
"33","PBANKA_093290",5.33743957904183,"m1",11,"NP_RAG1KO","poolC5"
