"","gene","abundance","mice","day","background","pool"
"1","PBANKA_031260",0.046550720889636,"m1",11,"P_RAG1KO","poolC5"
"2","PBANKA_101810",0.786189952802741,"m1",11,"P_RAG1KO","poolC5"
"3","PBANKA_144380",0.0103446046421413,"m1",11,"P_RAG1KO","poolC5"
"4","PBANKA_082040",0.52110945884787,"m1",11,"P_RAG1KO","poolC5"
"5","PBANKA_041050",0.0956875929398073,"m1",11,"P_RAG1KO","poolC5"
"6","PBANKA_142220",0.435766470550204,"m1",11,"P_RAG1KO","poolC5"
"7","PBANKA_101700",0.618090127367945,"m1",11,"P_RAG1KO","poolC5"
"8","PBANKA_131140",1.42626236503524,"m1",11,"P_RAG1KO","poolC5"
"9","PBANKA_031580",2.83054244520592,"m1",11,"P_RAG1KO","poolC5"
"10","PBANKA_051490",2.93398849162734,"m1",11,"P_RAG1KO","poolC5"
"11","PBANKA_123360",1.9835779401306,"m1",11,"P_RAG1KO","poolC5"
"12","PBANKA_135260",1.9874571668714,"m1",11,"P_RAG1KO","poolC5"
"13","PBANKA_121260",0.822396069050236,"m1",11,"P_RAG1KO","poolC5"
"14","PBANKA_113980",0.894808301545225,"m1",11,"P_RAG1KO","poolC5"
"15","PBANKA_112810",0.457748755414754,"m1",11,"P_RAG1KO","poolC5"
"16","PBANKA_103520",0.297407383461563,"m1",11,"P_RAG1KO","poolC5"
"17","PBANKA_101750",0.239218982349518,"m1",11,"P_RAG1KO","poolC5"
"18","PBANKA_140410",0.152582918471585,"m1",11,"P_RAG1KO","poolC5"
"19","PBANKA_051300",0.740932307493373,"m1",11,"P_RAG1KO","poolC5"
"20","PBANKA_031480",4.55809142044352,"m1",11,"P_RAG1KO","poolC5"
"21","PBANKA_051500",4.50248917049202,"m1",11,"P_RAG1KO","poolC5"
"22","PBANKA_080690",0.283183552078619,"m1",11,"P_RAG1KO","poolC5"
"23","PBANKA_082320",0.872826016680675,"m1",11,"P_RAG1KO","poolC5"
"24","PBANKA_100640",0.89222215038469,"m1",11,"P_RAG1KO","poolC5"
"25","PBANKA_103780",1.48962306846835,"m1",11,"P_RAG1KO","poolC5"
"26","PBANKA_145770",1.7637550914851,"m1",11,"P_RAG1KO","poolC5"
"27","PBANKA_091600",0.579297859959915,"m1",11,"P_RAG1KO","poolC5"
"28","PBANKA_131720",0.0362061162474947,"m1",11,"P_RAG1KO","poolC5"
"29","PBANKA_112240",0.0336199650869593,"m1",11,"P_RAG1KO","poolC5"
"30","PBANKA_071490",0.17715135449667,"m1",11,"P_RAG1KO","poolC5"
"31","PBANKA_140160",0.03879226740803,"m1",11,"P_RAG1KO","poolC5"
"32","PBANKA_093290",2.91976466024439,"m1",11,"P_RAG1KO","poolC5"
"33","PBANKA_132910",3.49389021788324,"m1",11,"P_RAG1KO","poolC5"
"34","PBANKA_112490",0.007758453481606,"m1",11,"P_RAG1KO","poolC5"
"35","PBANKA_146060",2.5473588931273,"m1",11,"P_RAG1KO","poolC5"
"36","PBANKA_031590",1.55298377190147,"m1",11,"P_RAG1KO","poolC5"
"37","PBANKA_051760",0.160341371953191,"m1",11,"P_RAG1KO","poolC5"
"38","PBANKA_070700",3.84948600245684,"m1",11,"P_RAG1KO","poolC5"
"39","PBANKA_031180",0.173272127755867,"m1",11,"P_RAG1KO","poolC5"
"40","PBANKA_030240",1.90728648089481,"m1",11,"P_RAG1KO","poolC5"
"41","PBANKA_140070",NA,"m1",11,"P_RAG1KO","poolC5"
"42","PBANKA_111060",0.305165836943169,"m1",11,"P_RAG1KO","poolC5"
"43","PBANKA_143630",3.35811728195513,"m1",11,"P_RAG1KO","poolC5"
"44","PBANKA_052230",2.77752634641495,"m1",11,"P_RAG1KO","poolC5"
"45","PBANKA_143060",2.92881618930626,"m1",11,"P_RAG1KO","poolC5"
"46","PBANKA_144900",0.285769703239154,"m1",11,"P_RAG1KO","poolC5"
"47","PBANKA_131530",2.71416564298183,"m1",11,"P_RAG1KO","poolC5"
"48","PBANKA_134630",3.44087411909226,"m1",11,"P_RAG1KO","poolC5"
"49","PBANKA_135960",1.5077261265921,"m1",11,"P_RAG1KO","poolC5"
"50","PBANKA_103240",1.77797892286804,"m1",11,"P_RAG1KO","poolC5"
"51","PBANKA_111430",0.982737441003427,"m1",11,"P_RAG1KO","poolC5"
"52","PBANKA_062030",2.22667614922092,"m1",11,"P_RAG1KO","poolC5"
"53","PBANKA_093080",0.351716557832805,"m1",11,"P_RAG1KO","poolC5"
"54","PBANKA_143440",1.50255382427103,"m1",11,"P_RAG1KO","poolC5"
"55","PBANKA_110430",NA,"m1",11,"P_RAG1KO","poolC5"
"56","PBANKA_102460",0.069826081334454,"m1",11,"P_RAG1KO","poolC5"
"57","PBANKA_010110",1.83358117281955,"m1",11,"P_RAG1KO","poolC5"
"58","PBANKA_020790",0.0206892092842827,"m1",11,"P_RAG1KO","poolC5"
"59","PBANKA_120290",0.764207667938191,"m1",11,"P_RAG1KO","poolC5"
"60","PBANKA_071020",0.430594168229133,"m1",11,"P_RAG1KO","poolC5"
"61","PBANKA_093100",0.0181030581237473,"m1",11,"P_RAG1KO","poolC5"
"62","PBANKA_111760",9.20540505592552,"m1",11,"P_RAG1KO","poolC5"
"63","PBANKA_110140",0.128014482446499,"m1",11,"P_RAG1KO","poolC5"
