"","gene","abundance","mice","day","background","pool"
"1","PBANKA_031260",0.00940004230019035,"m1",12,"P_BL6","poolC5"
"2","PBANKA_101810",0.039950179775809,"m1",12,"P_BL6","poolC5"
"3","PBANKA_144380",0.00940004230019035,"m1",12,"P_BL6","poolC5"
"4","PBANKA_082040",0.0352501586257138,"m1",12,"P_BL6","poolC5"
"5","PBANKA_041050",0.134733939636062,"m1",12,"P_BL6","poolC5"
"6","PBANKA_142220",2.51059463100917,"m1",12,"P_BL6","poolC5"
"7","PBANKA_101700",0.0344668217673646,"m1",12,"P_BL6","poolC5"
"8","PBANKA_131140",0.00783336858349196,"m1",12,"P_BL6","poolC5"
"9","PBANKA_031580",2.64297856007019,"m1",12,"P_BL6","poolC5"
"10","PBANKA_051490",0.0446502009259042,"m1",12,"P_BL6","poolC5"
"11","PBANKA_123360",0.109667160168887,"m1",12,"P_BL6","poolC5"
"12","PBANKA_135260",0.513085642218723,"m1",12,"P_BL6","poolC5"
"13","PBANKA_121260",0.0188000846003807,"m1",12,"P_BL6","poolC5"
"14","PBANKA_113980",0.0109667160168887,"m1",12,"P_BL6","poolC5"
"15","PBANKA_112810",NA,"m1",12,"P_BL6","poolC5"
"16","PBANKA_103520",0.361901628557328,"m1",12,"P_BL6","poolC5"
"17","PBANKA_101750",NA,"m1",12,"P_BL6","poolC5"
"18","PBANKA_140410",0.0258501163255235,"m1",12,"P_BL6","poolC5"
"19","PBANKA_051300",0.00626669486679357,"m1",12,"P_BL6","poolC5"
"20","PBANKA_031480",0.0250667794671743,"m1",12,"P_BL6","poolC5"
"21","PBANKA_051500",0.00156667371669839,"m1",12,"P_BL6","poolC5"
"22","PBANKA_080690",1.16012188721516,"m1",12,"P_BL6","poolC5"
"23","PBANKA_082320",0.0180167477420315,"m1",12,"P_BL6","poolC5"
"24","PBANKA_100640",0.00705003172514276,"m1",12,"P_BL6","poolC5"
"25","PBANKA_145770",0.0195834214587299,"m1",12,"P_BL6","poolC5"
"26","PBANKA_091600",0.409685176916629,"m1",12,"P_BL6","poolC5"
"27","PBANKA_131720",0.00156667371669839,"m1",12,"P_BL6","poolC5"
"28","PBANKA_112240",0.0141000634502855,"m1",12,"P_BL6","poolC5"
"29","PBANKA_071490",0.0109667160168887,"m1",12,"P_BL6","poolC5"
"30","PBANKA_103440",NA,"m1",12,"P_BL6","poolC5"
"31","PBANKA_093290",0.043866864067555,"m1",12,"P_BL6","poolC5"
"32","PBANKA_132910",0.0446502009259042,"m1",12,"P_BL6","poolC5"
"33","PBANKA_112490",NA,"m1",12,"P_BL6","poolC5"
