"","gene","abundance","mice","day","background","pool"
"1","PBANKA_031260",0.161653249717716,"m1",12,"P_RAG1KO","poolC5"
"2","PBANKA_101810",0.201457316231124,"m1",12,"P_RAG1KO","poolC5"
"3","PBANKA_144380",0.198208004679009,"m1",12,"P_RAG1KO","poolC5"
"4","PBANKA_082040",0.151905315061371,"m1",12,"P_RAG1KO","poolC5"
"5","PBANKA_041050",0.0576752800500394,"m1",12,"P_RAG1KO","poolC5"
"6","PBANKA_142220",0.370421516941098,"m1",12,"P_RAG1KO","poolC5"
"7","PBANKA_101700",0.113725904324021,"m1",12,"P_RAG1KO","poolC5"
"8","PBANKA_131140",0.108851936995849,"m1",12,"P_RAG1KO","poolC5"
"9","PBANKA_031580",0.14621901984517,"m1",12,"P_RAG1KO","poolC5"
"10","PBANKA_051490",0.161653249717716,"m1",12,"P_RAG1KO","poolC5"
"11","PBANKA_123360",0.529637782994728,"m1",12,"P_RAG1KO","poolC5"
"12","PBANKA_135260",0.116975215876136,"m1",12,"P_RAG1KO","poolC5"
"13","PBANKA_121260",0.454903617296085,"m1",12,"P_RAG1KO","poolC5"
"14","PBANKA_113980",0.147843675621228,"m1",12,"P_RAG1KO","poolC5"
"15","PBANKA_112810",0.0804204609148437,"m1",12,"P_RAG1KO","poolC5"
"16","PBANKA_103520",0.103977969667677,"m1",12,"P_RAG1KO","poolC5"
"17","PBANKA_101750",0.0982916744514756,"m1",12,"P_RAG1KO","poolC5"
"18","PBANKA_140410",0.395603681469989,"m1",12,"P_RAG1KO","poolC5"
"19","PBANKA_051300",0.360673582284753,"m1",12,"P_RAG1KO","poolC5"
"20","PBANKA_031480",0.12753547842051,"m1",12,"P_RAG1KO","poolC5"
"21","PBANKA_051500",0.0105602625443734,"m1",12,"P_RAG1KO","poolC5"
"22","PBANKA_080690",0.0763588214747001,"m1",12,"P_RAG1KO","poolC5"
"23","PBANKA_082320",0.357424270732638,"m1",12,"P_RAG1KO","poolC5"
"24","PBANKA_100640",0.400477648798161,"m1",12,"P_RAG1KO","poolC5"
"25","PBANKA_103780",NA,"m1",12,"P_RAG1KO","poolC5"
"26","PBANKA_145770",0.151905315061371,"m1",12,"P_RAG1KO","poolC5"
"27","PBANKA_091600",0.135658757300797,"m1",12,"P_RAG1KO","poolC5"
"28","PBANKA_131720",0.0779834772507575,"m1",12,"P_RAG1KO","poolC5"
"29","PBANKA_112240",0.0771711493627288,"m1",12,"P_RAG1KO","poolC5"
"30","PBANKA_071490",0.124286166868395,"m1",12,"P_RAG1KO","poolC5"
"31","PBANKA_140160",0.0219328529767755,"m1",12,"P_RAG1KO","poolC5"
"32","PBANKA_093290",0.190084725798721,"m1",12,"P_RAG1KO","poolC5"
"33","PBANKA_132910",4.06407642380771,"m1",12,"P_RAG1KO","poolC5"
"34","PBANKA_112490",0.0633615752662405,"m1",12,"P_RAG1KO","poolC5"
"35","PBANKA_146060",0.143782036181084,"m1",12,"P_RAG1KO","poolC5"
"36","PBANKA_031590",0.180336791142377,"m1",12,"P_RAG1KO","poolC5"
"37","PBANKA_051760",0.202269644119152,"m1",12,"P_RAG1KO","poolC5"
"38","PBANKA_070700",0.398040665134075,"m1",12,"P_RAG1KO","poolC5"
"39","PBANKA_031180",0.0844821003549873,"m1",12,"P_RAG1KO","poolC5"
"40","PBANKA_030240",2.70667652291171,"m1",12,"P_RAG1KO","poolC5"
"41","PBANKA_140070",0.225827152871985,"m1",12,"P_RAG1KO","poolC5"
"42","PBANKA_111060",0.0747341656986426,"m1",12,"P_RAG1KO","poolC5"
"43","PBANKA_143630",0.0763588214747001,"m1",12,"P_RAG1KO","poolC5"
"44","PBANKA_052230",0.0926053792352745,"m1",12,"P_RAG1KO","poolC5"
"45","PBANKA_143060",2.43860831986223,"m1",12,"P_RAG1KO","poolC5"
"46","PBANKA_144900",0.0787958051387862,"m1",12,"P_RAG1KO","poolC5"
"47","PBANKA_131530",0.209580595111411,"m1",12,"P_RAG1KO","poolC5"
"48","PBANKA_134630",0.333866761979806,"m1",12,"P_RAG1KO","poolC5"
"49","PBANKA_135960",0.150280659285314,"m1",12,"P_RAG1KO","poolC5"
"50","PBANKA_103240",0.358236598620667,"m1",12,"P_RAG1KO","poolC5"
"51","PBANKA_111430",2.92031875746326,"m1",12,"P_RAG1KO","poolC5"
"52","PBANKA_062030",0.0722971820345564,"m1",12,"P_RAG1KO","poolC5"
"53","PBANKA_093080",0.0430533780655224,"m1",12,"P_RAG1KO","poolC5"
"54","PBANKA_143440",0.0657985589303266,"m1",12,"P_RAG1KO","poolC5"
"55","PBANKA_110430",0.0609245916021543,"m1",12,"P_RAG1KO","poolC5"
"56","PBANKA_102460",0.0828574445789298,"m1",12,"P_RAG1KO","poolC5"
"57","PBANKA_010110",3.01292413669854,"m1",12,"P_RAG1KO","poolC5"
"58","PBANKA_020790",0.0519889848338383,"m1",12,"P_RAG1KO","poolC5"
"59","PBANKA_120290",1.11451386237541,"m1",12,"P_RAG1KO","poolC5"
